month,hour,price,volume,value
1,0,43.25,13.333333333333334,578.5
1,1,43.25,13.333333333333334,578.5
1,2,43.25,13.333333333333334,578.5
1,3,43.25,13.333333333333334,578.5
1,4,43.25,13.333333333333334,578.5
1,5,43.25,13.333333333333334,578.5
1,6,78.40489247311828,4.193548387096774,183.0516129032258
1,7,93.42037634408601,2.3655913978494625,103.68172043010752
1,8,93.42037634408601,2.3655913978494625,103.68172043010752
1,9,93.42037634408601,2.3655913978494625,103.68172043010752
1,10,85.7160752688172,2.3655913978494625,103.68172043010752
1,11,85.7160752688172,2.3655913978494625,103.68172043010752
1,12,78.40489247311828,4.193548387096774,183.0516129032258
1,13,78.40489247311828,4.193548387096774,183.0516129032258
1,14,78.40489247311828,4.193548387096774,183.0516129032258
1,15,78.40489247311828,4.193548387096774,183.0516129032258
1,16,78.40489247311828,4.193548387096774,183.0516129032258
1,17,78.40489247311828,4.193548387096774,183.0516129032258
1,18,93.42037634408601,2.3655913978494625,103.68172043010752
1,19,93.42037634408601,2.3655913978494625,103.68172043010752
1,20,78.40489247311828,4.193548387096774,183.0516129032258
1,21,78.40489247311828,4.193548387096774,183.0516129032258
1,22,43.25,13.333333333333334,578.5
1,23,43.25,13.333333333333334,578.5
2,0,43.055,13.45,568.7418333333334
2,1,43.055,13.45,568.7418333333334
2,2,43.055,13.45,568.7418333333334
2,3,43.055,13.45,568.7418333333334
2,4,43.09609467455621,13.488757396449703,571.2936568047337
2,5,43.09609467455621,13.488757396449703,571.2936568047337
2,6,77.28662721893491,3.9384615384615387,167.45330177514793
2,7,86.08923076923077,1.9100591715976332,80.76807100591716
2,8,86.08923076923077,1.9100591715976332,80.76807100591716
2,9,86.08923076923077,1.9100591715976332,80.76807100591716
2,10,84.43242603550296,1.9100591715976332,80.76807100591716
2,11,84.43242603550296,1.9100591715976332,80.76807100591716
2,12,77.28662721893491,3.9384615384615387,167.45330177514793
2,13,77.28662721893491,3.9384615384615387,167.45330177514793
2,14,77.28662721893491,3.9384615384615387,167.45330177514793
2,15,77.28662721893491,3.9384615384615387,167.45330177514793
2,16,77.28662721893491,3.9384615384615387,167.45330177514793
2,17,77.28662721893491,3.9384615384615387,167.45330177514793
2,18,86.08923076923077,1.9100591715976332,80.76807100591716
2,19,86.08923076923077,1.9100591715976332,80.76807100591716
2,20,77.28662721893491,3.9384615384615387,167.45330177514793
2,21,77.28662721893491,3.9384615384615387,167.45330177514793
2,22,43.09609467455621,13.488757396449703,571.2936568047337
2,23,43.09609467455621,13.488757396449703,571.2936568047337
3,0,46.199666666666666,8.5,360.4933333333333
3,1,46.199666666666666,8.5,360.4933333333333
3,2,46.199666666666666,8.5,360.4933333333333
3,3,46.199666666666666,8.5,360.4933333333333
3,4,46.29341463414634,8.658536585365853,370.13658536585365
3,5,46.29341463414634,8.658536585365853,370.13658536585365
3,6,72.45646341463414,3.292682926829268,146.61707317073171
3,7,88.35506097560976,1.7073170731707317,76.54024390243903
3,8,88.35506097560976,1.7073170731707317,76.54024390243903
3,9,88.35506097560976,1.7073170731707317,76.54024390243903
3,10,78.81847560975609,1.7073170731707317,76.54024390243903
3,11,78.81847560975609,1.7073170731707317,76.54024390243903
3,12,72.45646341463414,3.292682926829268,146.61707317073171
3,13,72.45646341463414,3.292682926829268,146.61707317073171
3,14,72.45646341463414,3.292682926829268,146.61707317073171
3,15,72.45646341463414,3.292682926829268,146.61707317073171
3,16,72.45646341463414,3.292682926829268,146.61707317073171
3,17,72.45646341463414,3.292682926829268,146.61707317073171
3,18,88.35506097560976,1.7073170731707317,76.54024390243903
3,19,88.35506097560976,1.7073170731707317,76.54024390243903
3,20,72.45646341463414,3.292682926829268,146.61707317073171
3,21,72.45646341463414,3.292682926829268,146.61707317073171
3,22,46.29341463414634,8.658536585365853,370.13658536585365
3,23,46.29341463414634,8.658536585365853,370.13658536585365
4,0,40.611666666666665,14.899999999999999,660.2273333333334
4,1,40.611666666666665,14.899999999999999,660.2273333333334
4,2,40.611666666666665,14.899999999999999,660.2273333333334
4,3,40.611666666666665,14.899999999999999,660.2273333333334
4,4,40.61166666666667,14.9,660.2273333333334
4,5,40.61166666666667,14.9,660.2273333333334
4,6,64.90855555555555,5.0777777777777775,226.19133333333335
4,7,76.92133333333334,2.9277777777777776,130.00566666666666
4,8,76.92133333333334,2.9277777777777776,130.00566666666666
4,9,76.92133333333334,2.9277777777777776,130.00566666666666
4,10,70.27133333333333,2.9277777777777776,130.00566666666666
4,11,70.27133333333333,2.9277777777777776,130.00566666666666
4,12,64.90855555555555,5.0777777777777775,226.19133333333335
4,13,64.90855555555555,5.0777777777777775,226.19133333333335
4,14,64.90855555555555,5.0777777777777775,226.19133333333335
4,15,64.90855555555555,5.0777777777777775,226.19133333333335
4,16,64.90855555555555,5.0777777777777775,226.19133333333335
4,17,64.90855555555555,5.0777777777777775,226.19133333333335
4,18,76.92133333333334,2.9277777777777776,130.00566666666666
4,19,76.92133333333334,2.9277777777777776,130.00566666666666
4,20,64.90855555555555,5.0777777777777775,226.19133333333335
4,21,64.90855555555555,5.0777777777777775,226.19133333333335
4,22,40.61166666666667,14.9,660.2273333333334
4,23,40.61166666666667,14.9,660.2273333333334
5,0,39.06166666666667,10.0,348.0166666666667
5,1,39.06166666666667,10.0,348.0166666666667
5,2,39.06166666666667,10.0,348.0166666666667
5,3,39.06166666666667,10.0,348.0166666666667
5,4,39.06166666666667,10.0,348.0166666666667
5,5,39.06166666666667,10.0,348.0166666666667
5,6,68.7952688172043,3.225806451612903,111.77150537634408
