year,month,day,volume,value,price_weight_av,price_max,price_min,price_mean,power_max,power_min,power_mean,date,off_price_mean,standard_price_mean,morning_price_mean,evening_price_mean,off_hour_count,standard_hour_count,morning_hour_count,evening_hour_count,off_volume,standard_volume,morning_volume,evening_volume,off_value,standard_value,morning_value,evening_value
2020,1,23,243.0,19575.0,80.55555555555556,105.0,0.0,36.666666666666664,44.0,0.0,10.125,2020-01-23,0.0,56.81818181818182,85.0,0.0,8,11.0,3.0,2.0,0.0,142.0,101.0,0.0,0.0,10990.0,8585.0,0.0
2020,1,24,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,2020-01-24,0.0,0.0,0.0,0.0,8,11.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,1,25,328.0,10470.0,31.920731707317074,65.0,0.0,13.958333333333334,114.0,0.0,13.666666666666666,2020-01-25,15.882352941176471,9.285714285714286,,,17,7.0,,,310.0,18.0,,,9300.0,1170.0,,
2020,1,26,294.0,9680.0,32.925170068027214,40.0,0.0,11.5,104.0,0.0,14.7,2020-01-26,11.5,,,,20,,,,294.0,,,,9680.0,,,
2020,1,27,554.0,17516.0,31.617328519855597,38.0,0.0,12.583333333333334,172.0,0.0,23.083333333333332,2020-01-27,18.75,13.818181818181818,0.0,0.0,8,11.0,3.0,2.0,442.0,112.0,0.0,0.0,13260.0,4256.0,0.0,0.0
2020,1,28,391.0,24725.0,63.23529411764706,105.0,0.0,14.75,100.0,0.0,19.55,2020-01-28,15.0,5.909090909090909,0.0,85.0,4,11.0,3.0,2.0,134.0,62.0,0.0,195.0,4020.0,4030.0,0.0,16675.0
2020,1,29,1032.0,57729.21,55.93915697674419,105.0,0.0,37.8605,117.0,0.0,51.6,2020-01-29,15.0,47.92818181818182,0.0,85.0,4,11.0,3.0,2.0,200.0,741.0,0.0,91.0,6000.0,43694.21,0.0,8035.0
2020,1,30,1545.0,90235.44,58.40481553398058,105.0,0.0,53.140499999999996,124.0,0.0,77.25,2020-01-30,15.0,58.36363636363637,63.60333333333333,85.0,4,11.0,3.0,2.0,178.0,1019.0,236.0,112.0,5340.0,59635.0,15500.44,9760.0
2020,1,31,208.0,6589.0,31.677884615384617,60.0,0.0,7.85,118.0,0.0,10.4,2020-01-31,15.0,3.3636363636363638,20.0,0.0,4,11.0,3.0,2.0,191.0,7.0,10.0,0.0,5730.0,259.0,600.0,0.0
2020,2,1,277.0,8310.0,30.0,30.0,0.0,7.5,70.0,0.0,11.541666666666666,2020-02-01,10.588235294117647,0.0,,,17,7.0,,,277.0,0.0,,,8310.0,0.0,,
2020,2,2,104.0,2994.87,28.79682692307692,30.0,0.0,4.87875,43.0,0.0,4.333333333333333,2020-02-02,4.87875,,,,24,,,,104.0,,,,2994.87,,,
2020,2,3,297.0,8910.0,30.0,30.0,0.0,7.5,72.0,0.0,12.375,2020-02-03,22.5,0.0,0.0,0.0,8,11.0,3.0,2.0,297.0,0.0,0.0,0.0,8910.0,0.0,0.0,0.0
2020,2,4,174.0,5220.0,30.0,30.0,0.0,8.75,34.0,0.0,7.25,2020-02-04,26.25,0.0,0.0,0.0,8,11.0,3.0,2.0,174.0,0.0,0.0,0.0,5220.0,0.0,0.0,0.0
