date,price,volume,hour,year,month,day,day_of_week,value,cat
2017-05-04,0.4,0.5,4,2017,5,4,3,0.2,off
2017-05-04,0.0,0.0,5,2017,5,4,3,0.0,off
2017-05-04,0.0,0.0,6,2017,5,4,3,0.0,off
2017-05-04,0.0,0.0,7,2017,5,4,3,0.0,off
2017-05-04,1.5,8.0,8,2017,5,4,3,12.0,off
2017-05-04,1.5,7.0,9,2017,5,4,3,10.5,off
2017-05-04,0.0,0.0,10,2017,5,4,3,0.0,off
2017-05-04,0.0,0.0,11,2017,5,4,3,0.0,off
2017-05-04,1.3,2.0,12,2017,5,4,3,2.6,off
2017-05-04,1.3,4.0,13,2017,5,4,3,5.2,off
2017-05-04,1.3,4.5,14,2017,5,4,3,5.8500000000000005,off
2017-05-04,1.3,4.5,15,2017,5,4,3,5.8500000000000005,off
2017-05-04,1.3,5.0,16,2017,5,4,3,6.5,off
2017-05-04,0.0,0.0,17,2017,5,4,3,0.0,off
2017-05-04,0.0,0.0,18,2017,5,4,3,0.0,off
2017-05-04,0.0,0.0,19,2017,5,4,3,0.0,off
2017-05-04,1.5,4.1,20,2017,5,4,3,6.1499999999999995,off
2017-05-04,1.3,2.2,21,2017,5,4,3,2.8600000000000003,off
2017-05-04,0.0,0.0,22,2017,5,4,3,0.0,off
2017-05-04,0.0,0.0,23,2017,5,4,3,0.0,off
2017-05-05,0.0,0.0,0,2017,5,5,4,0.0,off
2017-05-05,0.0,0.0,1,2017,5,5,4,0.0,off
2017-05-05,0.0,0.0,2,2017,5,5,4,0.0,off
2017-05-05,0.0,0.0,3,2017,5,5,4,0.0,off
2017-05-05,0.0,0.0,4,2017,5,5,4,0.0,off
2017-05-05,0.0,0.0,5,2017,5,5,4,0.0,off
2017-05-05,1.4,8.0,6,2017,5,5,4,11.2,off
2017-05-05,1.64,15.5,7,2017,5,5,4,25.419999999999998,off
2017-05-05,1.64,1.5,8,2017,5,5,4,2.46,off
2017-05-05,1.64,2.0,9,2017,5,5,4,3.28,off
2017-05-05,0.0,0.0,10,2017,5,5,4,0.0,off
2017-05-05,0.96,5.5,11,2017,5,5,4,5.279999999999999,off
2017-05-05,1.3,6.5,12,2017,5,5,4,8.450000000000001,off
2017-05-05,1.3,6.0,13,2017,5,5,4,7.800000000000001,off
2017-05-05,1.3,5.5,14,2017,5,5,4,7.15,off
2017-05-05,1.3,4.0,15,2017,5,5,4,5.2,off
2017-05-05,1.19,8.5,16,2017,5,5,4,10.115,off
2017-05-05,1.23,9.5,17,2017,5,5,4,11.685,off
2017-05-05,2.0,10.5,18,2017,5,5,4,21.0,off
2017-05-05,2.0,12.0,19,2017,5,5,4,24.0,off
2017-05-05,1.3,8.0,20,2017,5,5,4,10.4,off
2017-05-05,1.03,14.1,21,2017,5,5,4,14.523,off
2017-05-05,0.0,0.0,22,2017,5,5,4,0.0,off
2017-05-05,0.0,0.0,23,2017,5,5,4,0.0,off
2017-05-06,0.44,1.0,0,2017,5,6,5,0.44,off
2017-05-06,0.44,1.0,1,2017,5,6,5,0.44,off
2017-05-06,0.44,1.0,2,2017,5,6,5,0.44,off
