date,price,volume,hour,year,month,day,day_of_week,value,cat
2017-03-06,29.0,50.0,4,2017,3,6,0,1450.0,off
2017-03-06,29.0,50.0,5,2017,3,6,0,1450.0,standard
2017-03-06,65.0,0.0,6,2017,3,6,0,0.0,morning
2017-03-06,97.21,0.0,7,2017,3,6,0,0.0,morning
2017-03-06,97.21,0.0,8,2017,3,6,0,0.0,morning
2017-03-06,97.21,0.0,9,2017,3,6,0,0.0,standard
2017-03-06,65.0,0.0,10,2017,3,6,0,0.0,standard
2017-03-06,65.0,0.0,11,2017,3,6,0,0.0,standard
2017-03-06,65.0,0.0,12,2017,3,6,0,0.0,standard
2017-03-06,65.0,0.0,13,2017,3,6,0,0.0,standard
2017-03-06,65.0,0.0,14,2017,3,6,0,0.0,standard
2017-03-06,65.0,0.0,15,2017,3,6,0,0.0,standard
2017-03-06,65.0,0.0,16,2017,3,6,0,0.0,standard
2017-03-06,65.0,0.0,17,2017,3,6,0,0.0,standard
2017-03-06,97.21,0.0,18,2017,3,6,0,0.0,evening
2017-03-06,97.21,0.0,19,2017,3,6,0,0.0,evening
2017-03-06,65.0,0.0,20,2017,3,6,0,0.0,off
2017-03-06,65.0,0.0,21,2017,3,6,0,0.0,off
2017-03-06,29.0,50.0,22,2017,3,6,0,1450.0,off
2017-03-06,29.0,50.0,23,2017,3,6,0,1450.0,off
2017-03-07,29.0,50.0,0,2017,3,7,1,1450.0,off
2017-03-07,29.0,50.0,1,2017,3,7,1,1450.0,off
2017-03-07,29.0,50.0,2,2017,3,7,1,1450.0,off
2017-03-07,29.0,50.0,3,2017,3,7,1,1450.0,off
2017-03-07,29.0,50.0,4,2017,3,7,1,1450.0,off
2017-03-07,29.0,50.0,5,2017,3,7,1,1450.0,standard
2017-03-07,65.0,0.0,6,2017,3,7,1,0.0,morning
2017-03-07,97.21,0.0,7,2017,3,7,1,0.0,morning
2017-03-07,97.21,0.0,8,2017,3,7,1,0.0,morning
2017-03-07,97.21,0.0,9,2017,3,7,1,0.0,standard
2017-03-07,65.0,0.0,10,2017,3,7,1,0.0,standard
2017-03-07,65.0,0.0,11,2017,3,7,1,0.0,standard
2017-03-07,65.0,0.0,12,2017,3,7,1,0.0,standard
2017-03-07,65.0,0.0,13,2017,3,7,1,0.0,standard
2017-03-07,65.0,0.0,14,2017,3,7,1,0.0,standard
2017-03-07,65.0,0.0,15,2017,3,7,1,0.0,standard
2017-03-07,65.0,0.0,16,2017,3,7,1,0.0,standard
2017-03-07,65.0,0.0,17,2017,3,7,1,0.0,standard
2017-03-07,97.21,0.0,18,2017,3,7,1,0.0,evening
