,standard,evening,morning,off
0,1.0,1.0,1.0,1.0
1,0.5431130668891436,,,0.74607901507119
2,-0.12462912720713105,,,-0.19245965793382405
3,0.011239995511406677,,,0.2640889079460158
4,0.41606178202131927,,,0.008309509291555153
5,0.17913460536815742,,,-0.22359268963656106
6,0.07700720422748421,,,-0.10372539692108128
7,-0.06457442688920764,,,0.11394467390514261
8,0.13320526689534962,,,-0.2373531748657584
9,-0.04587177681051825,,,-0.0484107768055355
10,-0.04884933084061673,,,-0.0833294998634806
11,0.16926287192290737,,,0.034915761218455764
12,-0.05213942975039909,,,-0.04541951995157008
13,0.00505325853140276,,,-0.0015966440222294175
14,-0.15934460164844638,,,-0.06433872831617866
