,year,month,volume_mean,day_of_week,value_mean,price_max,price_min,price_mean,power_max,power_min,power_mean,price_morning_max,price_evening_max,price_standard,off_price_mean,standard_price_mean,morning_price_mean,evening_price_mean,off_hour_mean,standard_hour_mean,morning_hour_mean,evening_hour_mean,off_value,standard_value,morning_value,evening_value,standard_price_max,off_price_max,morning_price_max,evening_price_max,standard_price_min,off_price_min,morning_price_min,evening_price_min,volume,morning_volume,evening_volume,standard_volume,off_volume,value,off_hour_count,standard_hour_count,morning_hour_count,evening_hour_count,price_weight_mean,off_price_weight_mean,standard_price_weight_mean,morning_price_weight_mean,evening_price_weight_mean,off_power,morning_power,standard_power,evening_power
0,2017,4,105.59333333333332,73.2,4124.475600000002,61.667999999999964,39.05999999999998,53.60604999999995,9.400000000000002,1.5666666666666667,4.561611111111114,62.60999999999995,62.60999999999995,57.89999999999996,39.05999999999997,67.31999999999995,,,11.233333333333333,14.2,,,123734.26800000005,0.0,0.0,0.0,67.32,39.06,,,67.31999999999996,39.05999999999998,,,3167.7999999999997,0.0,0.0,0.0,3167.7999999999997,123734.26800000005,337,355.0,0.0,0.0,39.060000000000024,39.060000000000024,,,,9.399999999999999,,0.0,
1,2017,5,107.09677419354838,65.29032258064517,3970.0774193548395,57.67800000000001,37.070000000000014,50.891763440860224,10.0,1.6129032258064515,4.634408602150536,58.67516129032256,58.67516129032256,55.351290322580624,37.070000000000014,61.87592592592591,,,10.193548387096774,14.666666666666666,,,117141.20000000001,5931.199999999998,0.0,0.0,62.83000000000001,37.07000000000002,,,37.07000000000001,37.07,,,3320.0,0.0,0.0,160.0,3160.0,123072.40000000002,316,396.0,0.0,0.0,37.07000000000001,37.07,37.069999999999986,,,10.0,,0.40404040404040403,
2,2017,6,26.4,78.0,1176.3840000000002,68.36799999999997,64.39999999999996,66.38399999999996,4.4,0.0,1.1733333333333333,74.32,74.32,74.32,44.56,74.31999999999996,,,6.0,16.0,,,2352.7680000000005,0.0,0.0,0.0,74.31999999999996,44.56,,,74.31999999999996,44.56,,,52.8,0.0,0.0,0.0,52.8,2352.7680000000005,12,32.0,0.0,0.0,44.56000000000001,44.56000000000001,,,,4.3999999999999995,,0.0,
3,2017,7,273.3333333333333,81.33333333333333,11540.133333333333,68.40400000000002,42.22000000000002,54.766500000000015,20.0,6.666666666666667,12.333333333333334,64.04,64.04,53.129999999999995,42.220000000000006,74.95000000000002,,,13.666666666666666,11.5,,,34620.4,0.0,0.0,0.0,74.95000000000002,42.22000000000002,,,74.95,42.22,,,820.0,0.0,0.0,0.0,820.0,34620.4,41,23.0,0.0,0.0,42.22,42.22,,,,20.0,,0.0,
4,2017,8,380.8333333333333,78.66666666666667,22038.583333333332,75.40000000000002,33.399999999999984,62.785416666666684,20.0,15.833333333333334,17.20138888888889,77.14999999999999,77.14999999999999,68.39999999999999,33.4,85.9,,,10.166666666666666,14.2,,,40748.0,91483.5,0.0,0.0,85.90000000000002,33.4,,,85.89999999999999,33.399999999999984,,,2285.0,0.0,0.0,1065.0,1220.0,132231.5,61,71.0,0.0,0.0,57.86936542669584,33.4,85.9,,,20.0,,15.0,
5,2017,9,214.0,70.66666666666667,6623.3,56.446000000000026,30.95,48.00045000000003,20.0,2.6666666666666665,9.299999999999999,58.570666666666654,58.570666666666654,53.259,30.950000000000014,62.82,,,10.7,14.26923076923077,,,198699.0,0.0,0.0,0.0,62.82000000000002,30.950000000000006,,,62.82,30.949999999999992,,,6420.0,0.0,0.0,0.0,6420.0,198699.0,321,371.0,0.0,0.0,30.95,30.95,,,,20.0,,0.0,
6,2017,10,214.19354838709677,67.61290322580645,6237.316129032259,54.247999999999976,29.119999999999997,45.89733064516126,20.0,3.225806451612903,9.317204301075266,55.46387096774191,55.46387096774191,51.41096774193546,29.12,60.52999999999998,,,10.709677419354838,14.615384615384615,,,193356.80000000002,0.0,0.0,0.0,60.52999999999999,29.12,,,60.52999999999998,29.119999999999997,,,6640.0,0.0,0.0,0.0,6640.0,193356.80000000002,332,380.0,0.0,0.0,29.12,29.12,,,,20.0,,0.0,
7,2017,11,334.6666666666667,68.4,12981.280000000004,51.62800000000002,27.259999999999994,44.20760555555557,20.0,11.333333333333334,14.436111111111106,53.65866666666668,53.65866666666668,49.597333333333346,27.259999999999994,57.72000000000002,,,10.4,14.615384615384615,,,170102.40000000005,219336.00000000006,0.0,0.0,57.72000000000002,27.26,,,57.72000000000001,27.259999999999994,,,10040.0,0.0,0.0,3800.0,6240.0,389438.40000000014,312,380.0,0.0,0.0,38.78868525896416,27.26000000000001,57.72000000000001,,,20.0,,10.0,
8,2017,12,322.92258064516136,72.25806451612904,11881.127999999999,51.97199999999998,26.740000000000002,43.06958064516128,20.0,10.438709677419357,14.097741935483866,53.19290322580644,53.19290322580644,48.10580645161289,26.740000000000006,58.27999999999998,,,11.0,14.26923076923077,,,182366.79999999993,185948.168,0.0,0.0,58.27999999999999,26.740000000000006,,,58.27999999999998,26.74,,,10010.600000000002,0.0,0.0,3190.599999999998,6820.0,368314.96799999994,341,371.0,0.0,0.0,36.79249675344134,26.73999999999999,58.28000000000004,,,20.0,,8.599999999999994,
9,2018,1,214.19354838709677,65.29032258064517,6331.561290322582,55.25599999999997,29.559999999999985,46.79427956989246,20.0,3.225806451612903,9.268817204301072,56.49935483870968,56.49935483870968,52.35483870967741,29.559999999999974,60.49037037037037,,,10.193548387096774,14.666666666666666,,,186819.20000000007,9459.2,0.0,0.0,61.68,29.56,,,29.56,29.559999999999985,,,6640.0,0.0,0.0,320.0,6320.0,196278.40000000005,316,396.0,0.0,0.0,29.56000000000001,29.56000000000001,29.560000000000002,,,20.0,,0.8080808080808081,
10,2018,2,217.14285714285714,69.0,6781.371428571429,56.80600000000002,31.230000000000008,48.22357738095237,20.0,2.857142857142857,9.369047619047617,58.63285714285717,58.63285714285717,54.06571428571431,31.23000000000001,63.20000000000004,,,10.857142857142858,14.5,,,189878.4,0.0,0.0,0.0,63.20000000000002,31.230000000000008,,,63.199999999999996,31.229999999999997,,,6080.0,0.0,0.0,0.0,6080.0,189878.4,304,348.0,0.0,0.0,31.23,31.23,,,,20.0,,0.0,
11,2018,3,220.0,70.06451612903226,7161.0,58.19,32.54999999999999,49.12639784946236,20.0,3.225806451612903,9.65591397849462,59.43064516129029,59.43064516129029,54.261290322580614,32.54999999999998,63.41296296296293,,,10.483870967741936,14.333333333333334,,,211575.0,10416.0,0.0,0.0,64.60000000000001,32.550000000000004,,,32.550000000000004,32.54999999999999,,,6820.0,0.0,0.0,320.0,6500.0,221991.0,325,387.0,0.0,0.0,32.55,32.55,32.55,,,20.0,,0.8268733850129198,
12,2018,4,229.33333333333334,69.2,7274.453333333334,57.320000000000014,31.720000000000017,47.81777777777779,20.0,4.0,9.938888888888888,57.32000000000002,57.32000000000002,53.053333333333356,31.72000000000002,62.44000000000002,,,10.933333333333334,14.56,,,208083.2,10150.399999999998,0.0,0.0,63.72000000000002,31.720000000000017,,,31.720000000000013,31.72,,,6880.0,0.0,0.0,320.0,6560.0,218233.6,328,364.0,0.0,0.0,31.720000000000002,31.720000000000002,31.71999999999999,,,20.0,,0.8791208791208791,
13,2018,5,107.09677419354838,67.48387096774194,3422.812903225808,54.992000000000004,31.96,47.53136559139786,10.0,1.6129032258064515,4.591397849462364,56.10645161290323,56.10645161290323,52.39161290322582,31.960000000000015,59.683703703703706,,,10.193548387096774,14.666666666666666,,,100993.60000000003,5113.6,0.0,0.0,60.75,31.960000000000008,,,31.959999999999994,31.959999999999997,,,3320.0,0.0,0.0,160.0,3160.0,106107.20000000004,316,396.0,0.0,0.0,31.96000000000001,31.96000000000001,31.96,,,10.0,,0.40404040404040403,
14,2018,6,0.0,70.66666666666667,0.0,62.84199999999997,34.09000000000002,53.31789999999997,0.0,0.0,0.0,65.23799999999999,65.23799999999999,59.247999999999976,34.090000000000025,70.02999999999999,,,10.7,14.26923076923077,,,0.0,0.0,0.0,0.0,70.02999999999999,34.090000000000025,,,70.02999999999999,34.09,,,0.0,0.0,0.0,0.0,0.0,0.0,321,371.0,0.0,0.0,,,,,,0.0,,0.0,
15,2018,7,519.7419354838707,67.61290322580645,46709.20774193546,77.60599999999997,28.549999999999994,61.30345161290322,35.56129032258064,0.0,22.64752688172042,79.9796774193548,79.9796774193548,72.06741935483868,28.549999999999983,89.86999999999995,,,10.709677419354838,14.615384615384615,,,0.0,1447985.4399999992,0.0,0.0,89.87,28.550000000000008,,,89.86999999999998,28.549999999999994,,,16111.999999999993,0.0,0.0,16111.999999999993,0.0,1447985.4399999992,332,380.0,0.0,0.0,89.86999999999999,,89.86999999999999,,,0.0,,42.399999999999984,
16,2018,8,0.0,68.7741935483871,0.0,82.46400000000001,29.799999999999994,66.94440053763444,0.0,0.0,0.0,87.13580645161295,87.13580645161295,78.64161290322585,29.799999999999983,95.63000000000005,,,10.193548387096774,14.666666666666666,,,0.0,0.0,0.0,0.0,95.63000000000002,29.800000000000008,,,95.63,29.799999999999994,,,0.0,0.0,0.0,0.0,0.0,0.0,316,396.0,0.0,0.0,,,,,,0.0,,0.0,
17,2018,9,224.66666666666666,73.2,5625.653333333331,54.416,25.040000000000003,43.940599999999996,20.0,3.3333333333333335,9.705555555555552,55.63999999999999,55.63999999999999,49.51999999999999,25.039999999999996,61.76,,,11.233333333333333,14.2,,,168769.59999999992,0.0,0.0,0.0,61.76,25.040000000000006,,,61.76,25.039999999999996,,,6740.0,0.0,0.0,0.0,6740.0,168769.59999999992,337,355.0,0.0,0.0,25.03999999999999,25.03999999999999,,,,20.0,,0.0,
18,2018,10,0.0,65.29032258064517,0.0,62.64399999999997,27.940000000000005,52.33541935483869,0.0,0.0,0.0,65.72258064516126,65.72258064516126,60.12516129032255,27.940000000000023,71.31999999999995,,,10.193548387096774,14.666666666666666,,,0.0,0.0,0.0,0.0,71.32,27.940000000000012,,,71.31999999999996,27.94,,,0.0,0.0,0.0,0.0,0.0,0.0,316,396.0,0.0,0.0,,,,,,0.0,,0.0,
19,2018,11,0.0,69.06666666666666,0.0,53.860000000000014,27.5,45.60419444444447,0.0,0.0,0.0,56.05666666666669,56.05666666666669,51.66333333333335,27.5,60.45000000000004,,,10.4,14.615384615384615,,,0.0,0.0,0.0,0.0,60.45000000000002,27.5,,,60.449999999999996,27.5,,,0.0,0.0,0.0,0.0,0.0,0.0,312,380.0,0.0,0.0,,,,,,0.0,,0.0,
20,2019,1,0.0,67.48387096774194,0.0,91.67799999999997,23.95,70.695064516129,0.0,0.0,0.0,97.68612903225807,97.68612903225807,84.03129032258063,23.95000000000001,106.84624999999998,,,10.193548387096774,14.666666666666666,,,0.0,0.0,0.0,0.0,108.61,23.95,,,60.988750000000024,23.949999999999992,,,0.0,0.0,0.0,0.0,0.0,0.0,316,396.0,0.0,0.0,,,,,,0.0,,0.0,
21,2019,2,0.0,69.28571428571429,0.0,93.76599999999999,24.67,70.63117857142858,0.0,0.0,0.0,98.70142857142855,98.70142857142855,86.36285714285714,24.669999999999998,111.03999999999998,,,10.857142857142858,14.5,,,0.0,0.0,0.0,0.0,111.03999999999999,24.67000000000001,,,111.03999999999998,24.67,,,0.0,0.0,0.0,0.0,0.0,0.0,304,348.0,0.0,0.0,,,,,,0.0,,0.0,
22,2019,3,0.0,72.25806451612904,0.0,57.4,23.0,45.262903225806454,0.0,0.0,0.0,59.064516129032256,59.064516129032256,52.12903225806452,23.0,66.0,,,11.0,14.26923076923077,,,0.0,0.0,0.0,0.0,66.0,23.0,,,66.0,23.0,,,0.0,0.0,0.0,0.0,0.0,0.0,341,371.0,0.0,0.0,,,,,,0.0,,0.0,
