year,month,hour,price,volume,value
2017,3,0,27.422941176470587,50.0,1323.6294117647062
2017,3,1,27.422941176470587,50.0,1323.6294117647062
2017,3,2,27.422941176470587,50.0,1323.6294117647062
2017,3,3,27.422941176470587,50.0,1323.6294117647062
2017,3,4,27.588947368421056,50.0,1336.9315789473687
2017,3,5,27.588947368421056,50.0,1336.9315789473687
2017,3,6,49.59157894736843,16.31578947368421,520.7473684210526
2017,3,7,81.8415789473684,9.526315789473685,580.3731578947368
2017,3,8,81.8415789473684,9.526315789473685,580.3731578947368
2017,3,9,81.8415789473684,9.526315789473685,580.3731578947368
2017,3,10,53.38368421052633,12.105263157894736,398.37368421052633
2017,3,11,53.38368421052633,12.105263157894736,398.37368421052633
2017,3,12,49.59157894736843,16.31578947368421,520.7473684210526
2017,3,13,49.59157894736843,16.31578947368421,520.7473684210526
2017,3,14,49.59157894736843,16.31578947368421,520.7473684210526
2017,3,15,49.59157894736843,16.31578947368421,520.7473684210526
2017,3,16,49.59157894736843,16.31578947368421,520.7473684210526
2017,3,17,49.59157894736843,16.31578947368421,520.7473684210526
2017,3,18,81.8415789473684,9.526315789473685,580.3731578947368
2017,3,19,81.8415789473684,9.526315789473685,580.3731578947368
2017,3,20,49.59157894736843,16.31578947368421,520.7473684210526
2017,3,21,49.59157894736843,16.31578947368421,520.7473684210526
2017,3,22,27.588947368421056,50.0,1336.9315789473687
2017,3,23,27.588947368421056,50.0,1336.9315789473687
2017,4,0,27.086666666666662,39.333333333333336,994.1333333333332
2017,4,1,27.086666666666662,39.333333333333336,994.1333333333332
2017,4,2,27.086666666666662,39.333333333333336,994.1333333333332
2017,4,3,27.086666666666662,39.333333333333336,994.1333333333332
2017,4,4,26.165,49.0,1201.9
2017,4,5,26.165,49.0,1201.9
2017,4,6,29.695,54.0,1452.4499999999998
2017,4,7,58.574999999999996,52.900000000000006,2996.923
2017,4,8,58.574999999999996,52.900000000000006,2996.923
2017,4,9,58.574999999999996,52.900000000000006,2996.923
2017,4,10,32.585,42.0,1258.35
2017,4,11,32.585,42.0,1258.35
2017,4,12,29.695,54.0,1452.4499999999998
2017,4,13,29.695,54.0,1452.4499999999998
2017,4,14,29.695,54.0,1452.4499999999998
2017,4,15,29.695,54.0,1452.4499999999998
2017,4,16,29.695,54.0,1452.4499999999998
2017,4,17,29.695,54.0,1452.4499999999998
2017,4,18,58.574999999999996,52.900000000000006,2996.923
2017,4,19,58.574999999999996,52.900000000000006,2996.923
2017,4,20,29.695,54.0,1452.4499999999998
2017,4,21,29.695,54.0,1452.4499999999998
2017,4,22,26.165,49.0,1201.9
2017,4,23,26.165,49.0,1201.9
2017,5,0,25.968888888888884,42.933333333333316,1086.7271111111115
2017,5,1,25.968888888888884,42.933333333333316,1086.7271111111115
2017,5,2,25.968888888888884,42.933333333333316,1086.7271111111115
2017,5,3,25.968888888888884,42.933333333333316,1086.7271111111115
2017,5,4,26.026666666666664,42.933333333333316,1089.6160000000007
2017,5,5,26.026666666666664,42.933333333333316,1089.6160000000007
2017,5,6,40.22904761904763,34.195238095238096,1222.4614761904763
2017,5,7,71.96095238095238,53.63809523809523,4178.801523809524
2017,5,8,71.96095238095238,53.63809523809523,4178.801523809524
2017,5,9,71.96095238095238,53.63809523809523,4178.801523809524
2017,5,10,43.1704761904762,32.25714285714286,1247.3772380952382
2017,5,11,43.1704761904762,32.25714285714286,1247.3772380952382
2017,5,12,40.22904761904763,34.195238095238096,1222.4614761904763
2017,5,13,40.22904761904763,34.195238095238096,1222.4614761904763
2017,5,14,40.22904761904763,34.195238095238096,1222.4614761904763
2017,5,15,40.22904761904763,34.195238095238096,1222.4614761904763
2017,5,16,40.22904761904763,34.195238095238096,1222.4614761904763
2017,5,17,40.22904761904763,34.195238095238096,1222.4614761904763
2017,5,18,71.96095238095238,53.63809523809523,4178.801523809524
2017,5,19,71.96095238095238,53.63809523809523,4178.801523809524
2017,5,20,40.22904761904763,34.195238095238096,1222.4614761904763
2017,5,21,40.22904761904763,34.195238095238096,1222.4614761904763
2017,5,22,26.026666666666664,42.933333333333316,1089.6160000000007
2017,5,23,26.026666666666664,42.933333333333316,1089.6160000000007
2017,6,0,30.021428571428572,26.285714285714285,789.5657142857143
2017,6,1,30.021428571428572,26.285714285714285,789.5657142857143
2017,6,2,30.021428571428572,26.285714285714285,789.5657142857143
2017,6,3,30.021428571428572,26.285714285714285,789.5657142857143
2017,6,4,30.025384615384628,28.46153846153846,855.1153846153845
2017,6,5,30.025384615384628,28.46153846153846,855.1153846153845
2017,6,6,56.744615384615386,20.0,1134.8923076923072
2017,6,7,99.95230769230767,10.423076923076923,889.0292307692309
2017,6,8,99.95230769230767,10.423076923076923,889.0292307692309
2017,6,9,99.95230769230767,10.423076923076923,889.0292307692309
2017,6,10,60.783076923076926,20.0,1215.6615384615382
2017,6,11,60.783076923076926,20.0,1215.6615384615382
2017,6,12,56.744615384615386,20.0,1134.8923076923072
2017,6,13,56.744615384615386,20.0,1134.8923076923072
2017,6,14,56.744615384615386,20.0,1134.8923076923072
2017,6,15,56.744615384615386,20.0,1134.8923076923072
2017,6,16,56.744615384615386,20.0,1134.8923076923072
2017,6,17,56.744615384615386,20.0,1134.8923076923072
2017,6,18,99.95230769230767,10.423076923076923,889.0292307692309
2017,6,19,99.95230769230767,10.423076923076923,889.0292307692309
2017,6,20,56.744615384615386,20.0,1134.8923076923072
2017,6,21,56.744615384615386,20.0,1134.8923076923072
2017,6,22,30.025384615384628,28.46153846153846,855.1153846153845
