year,month,node,cat,side,flow_sum,value,hour_count,price_weight_mean,price_mean,power
2017,3,RSA,evening,supply,-200,-17224.0,10,86.12,86.12,-20.0
2017,3,RSA,morning,consume,50,1748.0,5,34.96,34.96,10.0
2017,3,RSA,morning,supply,-200,-17224.0,10,86.12,86.12,-20.0
2017,3,RSA,off,consume,1500,36256.0,45,24.170666666666666,25.968888888888888,33.333333333333336
2017,3,RSA,off,supply,-2880,-83778.40000000001,144,29.089722222222225,29.08972222222222,-20.0
2017,3,RSA,standard,consume,600,18664.0,45,31.106666666666666,33.675555555555555,13.333333333333334
2017,3,RSA,standard,supply,-300,-14429.0,15,48.096666666666664,48.09666666666667,-20.0
2017,3,ZAMC,evening,consume,200,17224.0,10,86.12,86.12,20.0
2017,3,ZAMC,morning,consume,300,20720.0,15,69.06666666666666,69.06666666666666,20.0
2017,3,ZAMC,off,consume,4460,126870.40000000001,189,28.44627802690583,28.346666666666668,23.597883597883598
2017,3,ZAMC,standard,consume,1250,46187.0,60,36.9496,37.280833333333334,20.833333333333332
2017,3,ZAMZ,morning,supply,-150,-5244.000000000001,5,34.96000000000001,69.92,-30.0
2017,3,ZAMZ,off,supply,-3080,-79348.0,113,25.76233766233766,55.5858407079646,-27.256637168141594
2017,3,ZAMZ,standard,supply,-1550,-50422.00000000001,50,32.53032258064517,66.416,-31.0
2017,4,BOT,evening,consume,128,11260.159999999998,4,87.96999999999998,175.94,32.0
2017,4,BOT,morning,consume,148,11979.96,6,80.94567567567567,129.29,24.666666666666668
2017,4,BOT,off,consume,40,1439.6000000000001,4,35.99,35.99,10.0
2017,4,BOT,standard,consume,224,11388.48,18,50.84142857142857,51.54,12.444444444444445
2017,4,RSA,evening,supply,-208,-18297.76,4,87.97,87.97,-52.0
2017,4,RSA,morning,supply,-208,-18297.76,4,87.97,87.97,-52.0
2017,4,RSA,off,consume,1480,34632.0,37,23.4,23.4,40.0
2017,4,RSA,off,supply,-280,-8100.400000000001,14,28.930000000000003,28.93,-20.0
2017,4,RSA,standard,consume,70,2447.2000000000003,7,34.96,34.96,10.0
2017,4,RSA,standard,supply,-144,-10306.08,4,71.57,58.45,-36.0
2017,4,ZAMC,evening,consume,80,7037.6,4,87.97,87.97,20.0
2017,4,ZAMC,morning,consume,120,8477.2,6,70.64333333333335,70.64333333333333,20.0
2017,4,ZAMC,off,consume,1100,28295.600000000002,55,25.72327272727273,25.723272727272725,20.0
