year,month,node,cat,side,flow_sum,value,hour_count,price_weight_mean,price_mean,power
2021,4,BOT,evening,consume,137,13879.68,3,101.31153284671534,140.81333333333333,45.666666666666664
2021,4,BOT,morning,consume,1178,105948.13,25,89.93898981324278,89.1136,47.12
2021,4,BOT,off,consume,1968,69218.43,47,35.171966463414634,36.11,41.87234042553192
2021,4,BOT,standard,consume,4816,319730.29,83,66.38917981727575,75.19530120481927,58.024096385542165
2021,4,ESW,off,consume,186,6231.6,6,33.50322580645162,33.49333333333333,31.0
2021,4,LES,standard,supply,-5,-300.0,1,60.0,60.0,-5.0
2021,4,MOZ,evening,supply,-300,-43594.68,8,145.3156,168.43,-37.5
2021,4,MOZ,morning,supply,-1275,-125160.68999999999,28,98.16524705882352,103.86428571428573,-45.535714285714285
2021,4,MOZ,off,supply,-2104,-73495.03000000001,50,34.93109790874525,37.180600000000005,-42.08
2021,4,MOZ,standard,supply,-1271,-91125.9,34,71.69622344610542,72.36294117647058,-37.38235294117647
2021,4,NAM,morning,supply,-30,-2582.7000000000003,1,86.09,86.09,-30.0
2021,4,NAM,standard,supply,-561,-61037.0,19,108.80035650623886,102.86210526315787,-29.526315789473685
2021,4,RSA,morning,supply,-113,-20340.0,2,180.0,180.0,-56.5
2021,4,ZAMC,evening,consume,183,32535.0,6,177.78688524590163,177.66666666666666,30.5
2021,4,ZAMC,morning,consume,344,54962.38,16,159.77436046511627,126.245625,21.5
2021,4,ZAMC,off,consume,438,26103.74,62,59.597579908675804,61.83887096774193,7.064516129032258
2021,4,ZAMC,standard,consume,656,83621.31000000001,68,127.47150914634148,82.66602941176471,9.647058823529411
2021,4,ZAMZ,evening,supply,-20,-2820.0,1,141.0,282.0,-20.0
2021,4,ZAMZ,morning,supply,-104,-12827.119999999999,11,123.3376923076923,103.1590909090909,-9.454545454545455
2021,4,ZAMZ,off,supply,-488,-28058.74,63,57.49741803278689,61.477936507936505,-7.746031746031746
2021,4,ZAMZ,standard,supply,-3635,-250888.69999999995,94,69.02027510316367,81.18404255319149,-38.670212765957444
2021,5,BOT,evening,consume,50,4500.0,2,90.0,90.0,25.0
2021,5,BOT,morning,consume,1893,164625.0,32,86.96513470681458,86.40625,59.15625
2021,5,BOT,off,consume,1580,55860.0,37,35.35443037974684,35.08108108108108,42.7027027027027
2021,5,BOT,standard,consume,1371,87940.36,36,64.14322392414296,67.7911111111111,38.083333333333336
2021,5,ESW,morning,consume,62,4154.0,2,67.0,67.0,31.0
2021,5,ESW,off,consume,387,11610.0,16,30.0,30.0,24.1875
2021,5,ESW,standard,consume,13,533.0,1,41.0,41.0,13.0
2021,5,MOZ,evening,supply,-64,-7212.0,4,112.6875,143.5,-16.0
2021,5,MOZ,morning,supply,-1955,-168779.0,34,86.33196930946292,85.26470588235294,-57.5
2021,5,MOZ,off,supply,-2067,-71972.5,54,34.81978713110789,34.583333333333336,-38.27777777777778
2021,5,MOZ,standard,supply,-910,-61799.32,26,67.91134065934065,66.58615384615385,-35.0
2021,5,NAM,evening,supply,-52,-13848.0,5,266.3076923076923,250.8,-10.4
2021,5,NAM,off,consume,100,4502.5,2,45.025,44.75,50.0
2021,5,NAM,off,supply,-5,-225.0,2,45.0,45.0,-2.5
2021,5,NAM,standard,supply,-524,-33175.0,21,63.31106870229008,73.0952380952381,-24.952380952380953
2021,5,RSA,evening,supply,-78,-23010.0,2,295.0,295.0,-39.0
2021,5,RSA,standard,supply,-75,-13092.0,8,174.56,125.5,-9.375
2021,5,ZAMC,evening,consume,144,39570.0,8,274.7916666666667,258.0,18.0
2021,5,ZAMC,off,consume,5,225.0,2,45.0,45.0,2.5
2021,5,ZAMC,standard,consume,125,19592.96,16,156.74367999999998,113.7025,7.8125
2021,6,BOT,evening,consume,1199,194445.04,28,162.17267723102586,167.54571428571427,42.82142857142857
