,standard,evening,morning,off
0,1.0,1.0,1.0,1.0
1,0.7366415875838962,0.7151540827036115,0.7285138759870641,0.8022540095268887
2,-0.07459717459677855,-0.18638809603888387,-0.17468371219271914,-0.27041787152331187
3,0.21579347135959095,0.32037303826977437,0.3140803517110227,0.2690484924067911
4,0.22184674570774784,0.1754838389234303,0.20170564242831399,0.1113464796959414
5,0.03641214663092601,0.19940713267284632,0.16125711131925452,0.04304500094051599
6,0.11575289939581816,0.15368970202566068,0.19149157540559342,0.08560993349647225
7,-0.01333109427041279,-0.11653519769070333,-0.1428531883721337,0.022439179712015346
8,-0.1165049653504889,0.040018498039577896,0.020605592902961895,-0.027140069794413847
9,-0.28512623571687024,-0.32956283944975184,-0.3543037914391164,-0.3032180212606247
10,-0.0624110648340847,0.016943794191157026,-0.03345487733303927,-0.021281685193843315
11,0.1270881224292637,0.13222097142926642,0.13102135876099136,0.13287682696273215
12,0.018094480996480127,-0.08558469856632911,-0.11202529192432656,-0.12482098871100386
13,-0.10177231017480287,-0.19725763810402397,-0.12044352046878072,-0.07476678030170487
14,-0.156401192823073,-0.003452879088793501,-0.08244599906779004,0.030432735535826632
