date,hour,price,volume,cat
2017-04-01,4,39.06,9.4,off
2017-04-01,5,39.06,9.4,off
2017-04-01,6,39.06,9.4,off
2017-04-01,7,67.32,0.0,standard
2017-04-01,8,67.32,0.0,standard
2017-04-01,9,67.32,0.0,standard
2017-04-01,10,67.32,0.0,standard
2017-04-01,11,67.32,0.0,standard
2017-04-01,12,39.06,9.4,off
2017-04-01,13,39.06,9.4,off
2017-04-01,14,39.06,9.4,off
2017-04-01,15,39.06,9.4,off
2017-04-01,16,39.06,9.4,off
2017-04-01,17,39.06,9.4,off
2017-04-01,18,67.32,0.0,standard
2017-04-01,19,67.32,0.0,standard
2017-04-01,20,39.06,9.4,off
2017-04-01,21,39.06,9.4,off
2017-04-01,22,39.06,9.4,off
2017-04-01,23,39.06,9.4,off
2017-04-02,0,39.06,9.4,off
2017-04-02,1,39.06,9.4,off
2017-04-02,2,39.06,9.4,off
2017-04-02,3,39.06,9.4,off
2017-04-02,4,39.06,9.4,off
2017-04-02,5,39.06,9.4,off
2017-04-02,6,39.06,9.4,off
2017-04-02,7,39.06,9.4,off
2017-04-02,8,39.06,9.4,off
2017-04-02,9,39.06,9.4,off
2017-04-02,10,39.06,9.4,off
2017-04-02,11,39.06,9.4,off
2017-04-02,12,39.06,9.4,off
2017-04-02,13,39.06,9.4,off
2017-04-02,14,39.06,9.4,off
2017-04-02,15,39.06,9.4,off
2017-04-02,16,39.06,9.4,off
2017-04-02,17,39.06,9.4,off
2017-04-02,18,39.06,9.4,off
2017-04-02,19,39.06,9.4,off
2017-04-02,20,39.06,9.4,off
2017-04-02,21,39.06,9.4,off
2017-04-02,22,39.06,9.4,off
2017-04-02,23,39.06,9.4,off
2017-04-03,4,39.06,9.4,off
2017-04-03,5,39.06,9.4,off
2017-04-03,6,67.32,0.0,standard
2017-04-03,7,67.32,0.0,standard
2017-04-03,8,67.32,0.0,standard
2017-04-03,9,67.32,0.0,standard
2017-04-03,10,67.32,0.0,standard
2017-04-03,11,67.32,0.0,standard
2017-04-03,12,67.32,0.0,standard
2017-04-03,13,67.32,0.0,standard
2017-04-03,14,67.32,0.0,standard
2017-04-03,15,67.32,0.0,standard
2017-04-03,16,67.32,0.0,standard
2017-04-03,17,67.32,0.0,standard
2017-04-03,18,67.32,0.0,standard
2017-04-03,19,67.32,0.0,standard
2017-04-03,20,67.32,0.0,standard
2017-04-03,21,67.32,0.0,standard
2017-04-03,22,39.06,9.4,off
2017-04-03,23,39.06,9.4,off
2017-04-04,4,39.06,9.4,off
2017-04-04,5,39.06,9.4,off
2017-04-04,6,67.32,0.0,standard
2017-04-04,7,67.32,0.0,standard
2017-04-04,8,67.32,0.0,standard
2017-04-04,9,67.32,0.0,standard
2017-04-04,10,67.32,0.0,standard
2017-04-04,11,67.32,0.0,standard
2017-04-04,12,67.32,0.0,standard
2017-04-04,13,67.32,0.0,standard
2017-04-04,14,67.32,0.0,standard
2017-04-04,15,67.32,0.0,standard
2017-04-04,16,67.32,0.0,standard
2017-04-04,17,67.32,0.0,standard
2017-04-04,18,67.32,0.0,standard
2017-04-04,19,67.32,0.0,standard
2017-04-04,20,67.32,0.0,standard
2017-04-04,21,67.32,0.0,standard
2017-04-04,22,39.06,9.4,off
2017-04-04,23,39.06,9.4,off
2017-04-05,0,39.06,9.4,off
2017-04-05,1,39.06,9.4,off
2017-04-05,2,39.06,9.4,off
2017-04-05,3,39.06,9.4,off
2017-04-05,4,39.06,9.4,off
2017-04-05,5,39.06,9.4,off
2017-04-05,6,67.32,0.0,standard
2017-04-05,7,67.32,0.0,standard
2017-04-05,8,67.32,0.0,standard
2017-04-05,9,67.32,0.0,standard
2017-04-05,10,67.32,0.0,standard
2017-04-05,11,67.32,0.0,standard
2017-04-05,12,67.32,0.0,standard
2017-04-05,13,67.32,0.0,standard
2017-04-05,14,67.32,0.0,standard
2017-04-05,15,67.32,0.0,standard
2017-04-05,16,67.32,0.0,standard
2017-04-05,17,67.32,0.0,standard
2017-04-05,18,67.32,0.0,standard
2017-04-05,19,67.32,0.0,standard
2017-04-05,20,67.32,0.0,standard
2017-04-05,21,67.32,0.0,standard
2017-04-05,22,39.06,9.4,off
2017-04-05,23,39.06,9.4,off
2017-04-06,0,39.06,9.4,off
2017-04-06,1,39.06,9.4,off
2017-04-06,2,39.06,9.4,off
2017-04-06,3,39.06,9.4,off
2017-04-06,4,39.06,9.4,off
2017-04-06,5,39.06,9.4,off
2017-04-06,6,67.32,0.0,standard
2017-04-06,7,67.32,0.0,standard
2017-04-06,8,67.32,0.0,standard
2017-04-06,9,67.32,0.0,standard
2017-04-06,10,67.32,0.0,standard
2017-04-06,11,67.32,0.0,standard
2017-04-06,12,67.32,0.0,standard
2017-04-06,13,67.32,0.0,standard
2017-04-06,14,67.32,0.0,standard
2017-04-06,15,67.32,0.0,standard
2017-04-06,16,67.32,0.0,standard
2017-04-06,17,67.32,0.0,standard
2017-04-06,18,67.32,0.0,standard
2017-04-06,19,67.32,0.0,standard
2017-04-06,20,67.32,0.0,standard
2017-04-06,21,67.32,0.0,standard
2017-04-06,22,39.06,9.4,off
2017-04-06,23,39.06,9.4,off
2017-04-07,4,39.06,9.4,off
2017-04-07,5,39.06,9.4,off
2017-04-07,6,67.32,0.0,standard
2017-04-07,7,67.32,0.0,standard
2017-04-07,8,67.32,0.0,standard
2017-04-07,9,67.32,0.0,standard
2017-04-07,10,67.32,0.0,standard
2017-04-07,11,67.32,0.0,standard
2017-04-07,12,67.32,0.0,standard
2017-04-07,13,67.32,0.0,standard
2017-04-07,14,67.32,0.0,standard
2017-04-07,15,67.32,0.0,standard
2017-04-07,16,67.32,0.0,standard
2017-04-07,17,67.32,0.0,standard
2017-04-07,18,67.32,0.0,standard
2017-04-07,19,67.32,0.0,standard
2017-04-07,20,67.32,0.0,standard
2017-04-07,21,67.32,0.0,standard
2017-04-07,22,39.06,9.4,off
2017-04-07,23,39.06,9.4,off
2017-04-08,0,39.06,9.4,off
2017-04-08,1,39.06,9.4,off
2017-04-08,2,39.06,9.4,off
2017-04-08,3,39.06,9.4,off
2017-04-08,4,39.06,9.4,off
2017-04-08,5,39.06,9.4,off
2017-04-08,6,39.06,9.4,off
2017-04-08,7,67.32,0.0,standard
2017-04-08,8,67.32,0.0,standard
2017-04-08,9,67.32,0.0,standard
2017-04-08,10,67.32,0.0,standard
2017-04-08,11,67.32,0.0,standard
2017-04-08,12,39.06,9.4,off
2017-04-08,13,39.06,9.4,off
2017-04-08,14,39.06,9.4,off
2017-04-08,15,39.06,9.4,off
2017-04-08,16,39.06,9.4,off
2017-04-08,17,39.06,9.4,off
2017-04-08,18,67.32,0.0,standard
2017-04-08,19,67.32,0.0,standard
2017-04-08,20,39.06,9.4,off
2017-04-08,21,39.06,9.4,off
2017-04-08,22,39.06,9.4,off
2017-04-08,23,39.06,9.4,off
2017-04-09,0,39.06,9.4,off
2017-04-09,1,39.06,9.4,off
2017-04-09,2,39.06,9.4,off
2017-04-09,3,39.06,9.4,off
2017-04-09,4,39.06,9.4,off
2017-04-09,5,39.06,9.4,off
2017-04-09,6,39.06,9.4,off
2017-04-09,7,39.06,9.4,off
2017-04-09,8,39.06,9.4,off
2017-04-09,9,39.06,9.4,off
2017-04-09,10,39.06,9.4,off
2017-04-09,11,39.06,9.4,off
2017-04-09,12,39.06,9.4,off
2017-04-09,13,39.06,9.4,off
2017-04-09,14,39.06,9.4,off
2017-04-09,15,39.06,9.4,off
2017-04-09,16,39.06,9.4,off
2017-04-09,17,39.06,9.4,off
2017-04-09,18,39.06,9.4,off
2017-04-09,19,39.06,9.4,off
2017-04-09,20,39.06,9.4,off
2017-04-09,21,39.06,9.4,off
2017-04-09,22,39.06,9.4,off
2017-04-09,23,39.06,9.4,off
2017-04-10,4,39.06,9.4,off
2017-04-10,5,39.06,9.4,off
2017-04-10,6,67.32,0.0,standard
2017-04-10,7,67.32,0.0,standard
2017-04-10,8,67.32,0.0,standard
2017-04-10,9,67.32,0.0,standard
2017-04-10,10,67.32,0.0,standard
2017-04-10,11,67.32,0.0,standard
2017-04-10,12,67.32,0.0,standard
2017-04-10,13,67.32,0.0,standard
2017-04-10,14,67.32,0.0,standard
2017-04-10,15,67.32,0.0,standard
2017-04-10,16,67.32,0.0,standard
2017-04-10,17,67.32,0.0,standard
2017-04-10,18,67.32,0.0,standard
2017-04-10,19,67.32,0.0,standard
