year,month,hour,price,volume,zamg,value
2023,12,21,136.62064516129033,77.01612903225806,,8487.802483870966
2023,12,22,106.85870967741936,78.8225806451613,,6763.761032258065
2023,12,23,94.23193548387097,97.80967741935484,,6439.35564516129
2024,1,0,38.08433962264151,181.44905660377358,,6505.124490566038
2024,1,1,35.74962264150943,194.6735849056604,,6518.212169811321
2024,1,2,34.08830188679245,201.40943396226416,,6503.76358490566
2024,1,3,33.15245283018868,202.55849056603773,,6404.452773584905
2024,1,4,35.09169811320754,197.37169811320757,,6468.09520754717
2024,1,5,49.83075471698113,164.46603773584906,,7561.96916981132
2024,1,6,56.64792452830189,156.3056603773585,,8121.902113207547
2024,1,7,54.81471698113207,184.12264150943398,,9850.676320754716
2024,1,8,57.19547169811321,179.20943396226417,,10099.401962264152
2024,1,9,56.93396226415094,171.6943396226415,,9933.045264150944
2024,1,10,49.18905660377359,175.1811320754717,,8740.863886792453
2024,1,11,49.27754716981132,174.78301886792454,,8760.632113207546
2024,1,12,51.02264150943396,169.94716981132078,,8612.534264150943
2024,1,13,51.598679245283016,165.42075471698112,,8208.841528301886
2024,1,14,51.804716981132074,165.24528301886792,,8259.691849056604
2024,1,15,53.40094339622642,155.9018867924528,,7928.077773584905
2024,1,16,73.42018867924529,135.91886792452829,,8683.97862264151
2024,1,17,88.50509433962263,133.5245283018868,,10222.371660377357
2024,1,18,134.62603773584905,88.1056603773585,,10301.280962264153
2024,1,19,162.06132075471697,67.52452830188679,,9705.004698113207
2024,1,20,178.59830188679243,66.0433962264151,,10529.37896226415
2024,1,21,120.32773584905661,85.0811320754717,,9536.421698113207
2024,1,22,81.23792452830187,89.42641509433963,,6464.926113207546
2024,1,23,40.96851851851852,127.44814814814815,,4850.742944444444
2024,2,0,59.72793103448276,281.7586206896552,,15431.11275862069
2024,2,1,57.965172413793105,297.9310344827586,,15962.521034482757
2024,2,2,55.744482758620684,312.37931034482756,,16357.666896551726
2024,2,3,56.48620689655172,311.8965517241379,,16568.84724137931
2024,2,4,60.75241379310344,285.7586206896552,,15961.358620689656
2024,2,5,77.32000000000001,207.13793103448276,,14210.973448275861
2024,2,6,97.4455172413793,208.3448275862069,,17196.435517241378
2024,2,7,93.54655172413793,232.68965517241378,,19991.61551724138
2024,2,8,91.00034482758622,252.86206896551724,,21057.80068965517
2024,2,9,88.35448275862069,245.51724137931035,,20090.896206896552
2024,2,10,95.40586206896552,234.0,,20684.649310344827
2024,2,11,94.52275862068964,234.06896551724137,,20205.096206896553
2024,2,12,96.81379310344828,229.48275862068965,,20266.37551724138
2024,2,13,97.61689655172414,221.13793103448276,,19828.787931034483
2024,2,14,100.52344827586207,217.0344827586207,,19835.99275862069
2024,2,15,102.19689655172414,205.6206896551724,,19109.75827586207
2024,2,16,104.08379310344827,173.79310344827587,,16730.68068965517
2024,2,17,123.35206896551725,153.3448275862069,,17143.470344827587
2024,2,18,145.06103448275863,105.34482758620689,,13357.842413793103
2024,2,19,177.13172413793103,69.3103448275862,,11750.514827586207
2024,2,20,171.6562068965517,72.20689655172414,,11798.638965517242
2024,2,21,148.06724137931033,108.37931034482759,,14588.60275862069
2024,2,22,105.52448275862069,120.06896551724138,,10858.090689655173
2024,2,23,62.997241379310346,206.86206896551724,,12535.264827586207
2024,3,0,109.59548387096774,138.03225806451613,,14308.101290322582
2024,3,1,107.32290322580646,158.51612903225808,,16144.067096774193
2024,3,2,106.26903225806453,171.90322580645162,,17529.232258064516
2024,3,3,106.13967741935484,178.48387096774192,,18242.138387096777
2024,3,4,112.91032258064517,161.83870967741936,,17395.42935483871
2024,3,5,115.66967741935484,118.25806451612904,,12964.433548387096
2024,3,6,140.36870967741936,88.64516129032258,,10742.140000000001
2024,3,7,129.7316129032258,104.38709677419355,,12058.12
2024,3,8,120.94032258064516,121.87096774193549,,13743.383870967742
2024,3,9,117.57387096774194,131.19354838709677,,14525.48
2024,3,10,112.81193548387097,144.32258064516128,,15585.119354838711
2024,3,11,113.95806451612903,140.5483870967742,,15383.066129032257
2024,3,12,119.87387096774194,133.80645161290323,,15316.990967741935
2024,3,13,120.46290322580644,130.67741935483872,,14921.106129032258
2024,3,14,121.82322580645162,120.48387096774194,,13976.762258064517
2024,3,15,125.19516129032259,106.74193548387096,,12532.714516129034
2024,3,16,127.26709677419355,91.09677419354838,,10881.736451612904
2024,3,17,164.31354838709677,76.09677419354838,,11188.945806451613
2024,3,18,177.38129032258064,37.61290322580645,,5778.873548387096
2024,3,19,184.55709677419355,27.483870967741936,,4375.448064516128
2024,3,20,182.75387096774193,30.419354838709676,,5009.112580645161
2024,3,21,176.5435483870968,41.74193548387097,,7173.176129032257
2024,3,22,162.2525806451613,57.32258064516129,,7711.892258064517
2024,3,23,110.88225806451612,88.16129032258064,,9349.145806451614
2024,4,0,78.42733333333334,174.23333333333332,,13155.507666666666
2024,4,1,77.29833333333333,178.06666666666666,,13236.347666666667
2024,4,2,76.653,178.16666666666666,,13072.133333333333
2024,4,3,76.12333333333332,178.66666666666666,,13012.538333333334
2024,4,4,79.00766666666667,174.96666666666667,,12934.046666666667
2024,4,5,83.45100000000001,167.83333333333334,,13140.604333333333
2024,4,6,82.45266666666666,126.46666666666667,,9725.425
2024,4,7,77.25066666666666,77.23333333333333,,5559.439333333333
2024,4,8,83.81066666666668,125.23333333333333,,9861.262666666667
2024,4,9,82.68133333333334,125.16666666666667,,9803.521
2024,4,10,81.86266666666667,131.7,,10625.509666666667
2024,4,11,79.45466666666667,131.7,,10211.810666666666
2024,4,12,83.89066666666666,137.9,,11414.059333333335
2024,4,13,84.708,140.46666666666667,,11647.534333333335
2024,4,14,86.98133333333334,144.4,,12210.397666666666
2024,4,15,78.40066666666667,94.93333333333334,,7335.2446666666665
2024,4,16,86.78033333333333,96.43333333333334,,8058.0019999999995
2024,4,17,90.19833333333332,73.56666666666666,,6400.268666666667
2024,4,18,99.33833333333334,66.2,,5654.354666666667
2024,4,19,112.981,47.2,,4615.365666666667
2024,4,20,106.24866666666667,45.6,,4346.49
2024,4,21,99.37333333333332,49.6,,4420.531333333333
2024,4,22,91.393,146.7,,12258.052666666666
2024,4,23,83.579,147.3,,11865.401000000002
2024,5,0,37.77483870967742,153.61290322580646,,5993.6212903225805
2024,5,1,34.729032258064514,159.1290322580645,,5666.065161290322
2024,5,2,33.68806451612903,152.38709677419354,,5176.170967741935
2024,5,3,34.32709677419354,153.4516129032258,,5314.852580645161
2024,5,4,42.081935483870964,144.83870967741936,,6253.092580645161
2024,5,5,57.82290322580645,100.90322580645162,,5398.486451612904
2024,5,6,57.74322580645161,103.09677419354838,,5547.802903225807
2024,5,7,55.18741935483871,103.87096774193549,,5330.496129032258
2024,5,8,64.90677419354839,100.7741935483871,,5561.582903225807
2024,5,9,68.99,91.6774193548387,,5102.99064516129
2024,5,10,57.72677419354839,93.29032258064517,,4293.5816129032255
2024,5,11,56.12032258064516,97.61290322580645,,4253.494838709677
2024,5,12,58.05032258064516,100.38709677419355,,4546.56935483871
2024,5,13,48.799677419354836,104.90322580645162,,4061.3474193548386
2024,5,14,51.446129032258064,107.35483870967742,,4325.99935483871
2024,5,15,57.40967741935484,106.35483870967742,,4686.35064516129
2024,5,16,75.32709677419355,97.19354838709677,,6112.859354838709
2024,5,17,106.23290322580644,82.87096774193549,,8012.0996774193545
2024,5,18,115.03451612903227,56.67741935483871,,6519.933225806451
2024,5,19,131.47516129032257,46.74193548387097,,6178.345806451613
