year,month,day,volume,zamg,value,price_weight_av,price_max,price_min,price_mean,power_max,power_min,power_mean,date,off_price_mean,standard_price_mean,morning_price_mean,evening_price_mean,off_hour_count,standard_hour_count,morning_hour_count,evening_hour_count,off_volume,standard_volume,morning_volume,evening_volume,off_value,standard_value,morning_value,evening_value
2016,1,1,7873.8,0.0,336882.50800000003,42.785250831872794,60.08,35.09,45.982499999999995,502.9,53.0,328.075,2016-01-01,39.4525,47.88363636363636,47.04666666666666,60.05,8,11.0,3.0,2.0,3851.5,2920.3,993.0,109.0,152306.418,131289.73,46741.0,6545.360000000001
2016,1,2,7319.5,0.0,345982.021,47.26853214017351,118.49,40.03,54.11416666666667,486.0,40.0,304.9791666666667,2016-01-02,50.47470588235294,62.95285714285715,,,17,7.0,,,5969.5,1350.0,,,271567.021,74415.0,,
2016,1,3,7198.7,0.0,351712.733,48.85781224387737,118.47,44.06,54.95916666666667,486.0,40.0,299.9458333333333,2016-01-03,54.95916666666667,,,,24,,,,7198.7,,,,351712.733,,,
2016,1,4,4457.0,0.0,225938.81,50.693024455912045,177.66,46.7,80.16458333333334,486.0,0.0,185.70833333333334,2016-01-04,46.99125,95.47636363636364,80.02,128.86,8,11.0,3.0,2.0,3828.0,464.0,109.0,56.0,179880.68,32852.59,8722.179999999998,4483.360000000001
2016,1,5,3750.4,0.0,179068.882,47.746608895051196,181.4,42.06,84.50333333333333,436.0,0.0,156.26666666666668,2016-01-05,42.22125,102.52090909090909,80.03666666666668,161.235,8,11.0,3.0,2.0,3230.0,368.4,109.0,43.0,136366.42,27912.322,8724.130000000001,6066.009999999999
2016,1,6,4230.0,0.0,208868.88,49.37798581560284,118.23,41.83,70.43625,446.0,27.0,176.25,2016-01-06,42.035,83.25727272727273,80.02666666666666,99.14,8,11.0,3.0,2.0,3358.0,652.0,117.0,103.0,141098.52,48519.87,9363.6,9886.89
2016,1,7,3657.7,0.0,208429.812,56.98384558602401,174.44,48.08,78.83375,390.0,27.0,152.40416666666667,2016-01-07,48.45625,89.02272727272727,80.03333333333335,142.505,8,11.0,3.0,2.0,2874.7,573.7,121.0,88.3,139233.076,47302.884,9684.3,12209.552
2016,1,8,3996.1,0.0,222857.201,55.76867470784015,174.24,47.32,78.45541666666666,440.0,27.0,166.50416666666666,2016-01-08,47.68875,88.79545454545455,80.03333333333335,142.285,8,11.0,3.0,2.0,3202.0,580.4,121.0,92.69999999999999,152599.68,47763.666,9684.3,12809.555
2016,1,9,5905.4,0.0,305033.239,51.65327310597081,115.35,48.01,68.76541666666667,524.9,25.0,246.0583333333333,2016-01-09,55.06117647058824,102.04714285714286,,,17,7.0,,,5416.1,489.3,,,268963.553,36069.686,,
2016,1,10,4702.0,0.0,264909.888,56.339831561037855,115.66,50.18,68.16250000000001,400.0,30.9,195.91666666666666,2016-01-10,68.16250000000001,,,,24,,,,4702.0,,,,264909.888,,,
