year,month,volume_mean,value_mean,price_max,price_min,price_mean,power_max,power_min,power_mean,off_price_mean,standard_price_mean,morning_price_mean,evening_price_mean,off_hour_mean,standard_hour_mean,morning_hour_mean,evening_hour_mean,off_value,standard_value,morning_value,evening_value,standard_price_max,off_price_max,morning_price_max,evening_price_max,standard_price_min,off_price_min,morning_price_min,evening_price_min,price_stdev,standard_price_stdev,off_price_stdev,morning_price_stdev,evening_price_stdev,volume,morning_volume,evening_volume,standard_volume,off_volume,value,off_hour_count,standard_hour_count,morning_hour_count,evening_hour_count,price_weight_mean,off_price_weight_mean,standard_price_weight_mean,morning_price_weight_mean,evening_price_weight_mean,off_power,morning_power,standard_power,evening_power,off_price_diff,morning_price_diff,standard_price_diff,evening_price_diff
2017,3,597.6315789473684,18470.265789473684,65.85249999999999,29.0,49.93866228070175,50.0,9.473684210526315,25.07675438596491,33.15210526315789,56.96382352941176,79.0911111111111,91.10666666666665,11.0,9.647058823529411,3.0,2.0,239477.6,71405.49,22647.980000000003,17403.98,65.22,43.4,86.47333333333331,97.21,38.92,25.968888888888888,69.06666666666668,86.12,11.939181575198132,12.010044432865838,6.05442576270867,7.6056377028967646,4.757117474549759,11355.0,352.0,202.0,2091.0,8710.0,350935.05,209,164.0,45.0,30.0,30.905772787318362,27.4945579793341,34.14896700143472,64.34085227272728,86.15831683168317,41.67464114832536,7.822222222222222,12.75,6.733333333333333,,,,
2017,4,1148.5,38363.365,44.465833333333336,23.399999999999995,34.94441666666667,64.9,37.0,50.40416666666667,26.949444444444442,38.641333333333336,70.64333333333333,87.97,13.75,9.0,3.0,2.0,79951.59999999999,34887.691999999995,20386.784,18227.384,40.482000000000006,30.49888888888889,70.64333333333333,87.97,34.96,23.399999999999995,70.64333333333333,87.97,11.117771949467684,3.1881281864651174,4.098545410947243,0.0,0.0,4594.0,267.2,207.2,833.6,3286.0,153453.46,55,27.0,6.0,4.0,33.40301697866783,24.330979914790017,41.85183781190018,76.29784431137725,87.97,59.74545454545454,44.53333333333333,30.874074074074073,51.8,-6.202660818713451,-8.447777777777773,-18.322490196078427,-3.136666666666656
2017,5,959.395238095238,42475.300904761905,57.07583333333334,23.540000000000003,42.601154761904766,61.290476190476184,30.35238095238095,40.792698412698414,29.272486772486776,47.72972222222222,72.78111111111112,86.21666666666667,11.714285714285714,9.5,3.0,2.0,273417.04600000003,276654.658,180521.805,161387.81,60.161,36.54444444444445,83.15,94.93,24.58,23.54,24.58,24.58,11.685326963739783,10.587475907635936,4.572716159424505,14.500787699823203,17.429192123998124,20147.3,2279.5,1819.0,5854.2,10194.6,891981.319,246,171.0,45.0,30.0,44.27299533932587,26.819791458222983,47.25746609271976,79.19359728010528,88.72336998350742,41.44146341463415,50.65555555555556,34.23508771929824,60.63333333333333,2.323042328042334,2.137777777777785,9.088388888888886,-1.7533333333333303
2017,6,461.03846153846155,22765.595384615382,71.2325,29.95,58.55167307692308,28.46153846153846,10.423076923076923,20.060897435897438,37.13782905982906,66.20434782608696,98.71166666666667,115.68499999999999,10.73076923076923,9.608695652173912,3.0,2.0,225747.68,270597.56,60733.12,34827.12,66.81700000000001,44.04,100.22000000000001,117.81,64.95,29.949999999999996,97.89333333333333,114.32,13.438139522020547,0.5981955904441941,4.621277512563941,0.9216388276624333,1.3246350043452924,11987.0,702.0,302.0,4391.0,6592.0,591905.48,279,221.0,60.0,40.0,49.37895052974055,34.245703883495146,61.62549760874516,86.51441595441595,115.32158940397352,23.627240143369175,11.7,19.868778280542987,7.55,7.865342287342283,25.930555555555557,18.474625603864737,29.46833333333332
2017,7,457.51612903225805,20376.515967741936,70.35499999999999,25.05,52.98112903225806,22.838709677419356,11.580645161290322,20.166263440860217,34.74645161290323,62.734884615384615,92.14428571428572,107.42333333333333,11.419354838709678,9.423076923076923,3.0,2.0,279537.92,275219.975,51390.15,25523.95,66.37899999999999,43.98,98.05,114.63,60.02,25.05,87.74666666666667,101.79,13.851436706400055,2.1290596859068622,5.167387072510492,3.454097750475699,4.207301193560224,14183.0,650.0,230.0,4595.0,8708.0,631671.995,354,245.0,63.0,42.0,44.53726256786293,32.10127698667891,59.89553318824809,79.06176923076923,110.97369565217392,24.598870056497177,10.317460317460318,18.755102040816325,5.476190476190476,-2.39137744692583,-6.567380952380958,-3.4694632107023438,-8.261666666666656
2017,8,451.1290322580645,22166.401612903224,64.28049999999999,28.610000000000003,52.32504032258065,23.419354838709676,14.35483870967742,19.965860215053766,34.91440143369176,59.317851851851856,85.96739130434783,99.80652173913045,10.67741935483871,9.555555555555555,3.0,2.0,231804.6,295459.89,93353.48,66540.48,60.916999999999994,41.924,87.74666666666667,101.79,57.53000000000001,28.61,84.47,97.94,11.697615555813368,0.8436569984621226,4.01766619249315,1.1133151679346103,1.3698427537350764,13985.0,1132.0,672.0,5101.0,7080.0,687158.45,331,258.0,69.0,46.0,49.13539149088309,32.740762711864406,57.92195451872182,82.46773851590106,99.01857142857142,21.389728096676738,16.405797101449274,19.771317829457363,14.608695652173912,0.16794982078852883,-6.176894409937887,-3.4170327635327595,-7.616811594202886
2017,9,432.25,19647.123333333333,63.146,26.929999999999996,50.91538611111111,21.0,12.583333333333334,18.965694444444445,34.08171111111111,59.52869230769231,84.64142857142858,97.49809523809525,11.133333333333333,9.423076923076923,3.0,2.0,224739.19999999998,268964.06,60230.119999999995,35480.32,60.608000000000004,40.678,86.57000000000001,100.04,57.92,26.929999999999996,79.53333333333335,90.34,12.336143367292406,0.9587765441115383,4.629684164066034,2.9375497294000557,4.10717374729585,12967.5,795.0,375.0,4677.5,7120.0,589413.7,334,245.0,63.0,42.0,45.45314825525352,31.56449438202247,57.50166969535008,75.76115723270439,94.61418666666667,21.317365269461078,12.619047619047619,19.091836734693878,8.928571428571429,-0.8326903225806461,-1.3259627329192512,0.2108404558404544,-2.3084265010352
2017,10,631.9483870967742,29780.751225806453,60.9225,26.920000000000005,49.24634139784946,29.032258064516128,22.55483870967742,27.565376344086022,33.63159139784946,59.104499999999994,78.89454545454545,88.67954545454546,11.161290322580646,9.538461538461538,3.0,2.0,320171.84,409098.52800000005,115894.92000000001,78038.0,60.15,40.548,79.73666666666666,89.62,58.339999999999996,26.92,77.69,87.2,12.023817591523846,0.6780354120545599,4.7008395930228195,0.8058874272840757,0.8841271039453207,19590.4,1516.0,880.0,7002.400000000001,10192.0,923203.2880000001,346,248.0,66.0,44.0,47.12529034629206,31.414034536891684,58.42261624585856,76.4478364116095,88.67954545454545,29.45664739884393,22.96969696969697,28.235483870967744,20.0,-0.4501197132616497,-5.746883116883126,-0.42419230769231575,-8.818549783549784
2017,11,655.09,27961.898966666668,59.4385,26.14,48.412533333333336,38.59666666666667,22.30666666666667,28.356666666666666,32.79926666666667,57.33619230769231,76.02030303030303,85.20545454545454,10.866666666666667,9.538461538461538,3.0,2.0,338837.024,299717.045,112834.45,87468.45,58.67,39.578,77.69,87.2,56.837,26.14,75.26666666666667,84.3,11.107016746110167,0.5811833458887646,4.559821724368694,0.8091316850143001,0.9488826876797574,19652.7,1467.0,1027.0,5379.5,11779.2,838856.969,326,248.0,66.0,44.0,42.68405710156874,28.765707688128224,55.71466586113951,76.91509884117247,85.1688899707887,36.132515337423314,22.227272727272727,21.691532258064516,23.34090909090909,-0.8323247311827942,-2.874242424242425,-1.7683076923076868,-3.4740909090909184
2017,12,613.0935483870968,28406.155290322582,64.22,26.61,49.66520698924731,32.80967741935484,20.43548387096774,27.023198924731183,34.22090322580645,60.46738461538462,79.80190476190477,89.24190476190476,11.419354838709678,9.423076923076923,3.0,2.0,326821.132,371012.652,107793.83,74963.2,63.53000000000001,43.160000000000004,83.47666666666667,93.45,57.807,26.61,76.59,85.78,12.563253277376619,1.6589189992744815,5.300381900033936,2.1645293487470503,2.466500798799019,19005.9,1381.0,840.0,6278.9,10506.0,880590.814,354,245.0,63.0,42.0,46.33249748762226,31.108046068913,59.08879771934575,78.0549094858798,89.24190476190476,29.677966101694917,21.92063492063492,25.62816326530612,20.0,1.4216365591397846,3.7816017316017394,3.1311923076923094,4.03645021645022
