,month,value_mean,price_weight_mean,price_max,price_min,price_mean,power_max,power_min,power_mean,off_price_mean,standard_price_mean,morning_price_mean,evening_price_mean,off_value,standard_value,morning_value,evening_value,price_median,off_price_median,standard_price_median,morning_price_median,evening_price_median,price_stdev,off_price_stdev,standard_price_stdev,morning_price_stdev,evening_price_stdev,volume,off_volume,standard_volume,morning_volume,evening_volume,value,off_hour_count,standard_hour_count,morning_hour_count,evening_hour_count,off_power,standard_power,morning_power,evening_power
0,1,14201.03196236559,47.80783544211022,123.37559139784946,38.95086021505376,71.82290501792114,23.26021505376344,4.966129032258065,13.054977598566309,46.73188052568698,81.26379874213836,125.56172932330827,149.07924812030075,285660.2763333333,132369.29883333333,16933.271666666667,5269.144,63.91166666666666,47.172000000000004,67.78099999999999,118.29333333333334,150.0,27.71422249543437,13.108912911732638,23.79052679081646,46.612331673864254,60.795261597954536,9191.85,6665.233333333334,2193.15,256.4666666666667,77.0,440231.9908333334,341.1666666666667,252.0,66.5,44.333333333333336,19.270621837266997,8.811966724674365,3.8981533764142458,1.694127611518916
1,2,11440.262141975309,55.57664253749417,136.55216049382716,42.78055555555555,82.59820884773663,18.564814814814813,2.7222222222222223,9.298199588477367,53.12187791495199,97.53229496402878,141.911768115942,164.32026086956523,226384.70133333336,76356.54566666666,6145.830833333333,0.0,73.80375,55.64,103.997,149.0,170.0,30.68124651479649,14.393408421621235,27.602485872207396,43.7663030037976,55.98063017861186,5786.849999999999,4695.033333333334,1024.1499999999999,67.66666666666667,0.0,308887.07783333334,306.5,219.66666666666666,57.5,38.333333333333336,15.135374974493464,4.587412384388869,1.1467592592592595,0.0
2,3,11418.003531707316,48.09701177969164,132.5990243902439,42.656975609756095,77.21457845528455,21.496585365853658,3.682926829268293,10.949752032520326,50.8688108401084,86.28665536723163,132.92221476510068,158.05570469798658,254857.0754285714,58565.86171428572,12476.026285714286,8485.425714285713,65.85249999999999,50.5,91.0,132.48333333333332,150.0,32.80339314985733,17.947661104674026,30.007588661602963,51.97228809203163,66.39082886288887,7412.628571428571,6166.057142857143,1040.1142857142856,134.74285714285716,71.71428571428571,334384.3891428571,320.14285714285717,240.85714285714286,63.857142857142854,42.57142857142857,20.57751683339306,4.7346822589286495,2.3526005395570615,1.8935817805383022
3,4,15729.211032608697,45.55535349048393,113.96929347826087,40.704565217391306,67.74264266304348,24.26413043478261,5.753804347826088,14.099723731884058,46.61132850241546,74.30092356687899,115.22125641025642,137.5286153846154,259677.712,115146.52885714285,24249.792857142857,14379.513428571428,61.68000000000001,44.5,67.397,111.63333333333333,133.45499999999998,27.790343235560496,15.839413948865547,20.914757982852674,49.9445769266975,66.936199389909,8502.142857142857,5917.857142857143,2044.2714285714287,355.8142857142857,184.20000000000002,413453.54714285716,293.85714285714283,212.71428571428572,55.714285714285715,37.142857142857146,24.776155175105064,12.2340034023763,11.237445887445887,10.976406926406925
4,5,18230.958304347827,42.3001385466303,103.63130434782609,34.57396135265701,60.750874396135266,31.270531400966185,8.247342995169083,18.16772141706924,40.5814460547504,67.29810734463277,105.06804054054054,125.17513513513512,294279.728,156619.36471428574,50198.33085714286,38018.057714285715,58.43833333333333,38.397777777777776,69.298,93.99333333333334,111.5,21.84542348146027,11.76458716338794,15.775329377587214,35.87997955502615,48.490360266316074,12386.671428571428,8339.142857142857,2941.8142857142857,664.1714285714286,441.54285714285714,539115.4812857143,327.57142857142856,240.42857142857142,63.42857142857143,42.285714285714285,25.920343636454334,13.35900618644764,12.396574440052701,12.777381624586594
5,6,19867.91231067961,46.34831736452636,126.41305825242719,35.94781553398058,70.97242475728156,35.90097087378641,6.501456310679611,19.384789644012947,44.141912621359225,80.22634269662922,127.97102908277405,153.1758389261745,384186.308,136707.55428571426,36953.27857142857,26837.135714285716,70.89874999999999,40.0,79.498,125.16000000000001,151.33,24.48606108222446,12.868188019518016,16.42273336699703,32.15357363159159,43.56812574827064,12990.4,9989.828571428572,2403.4285714285716,380.7142857142857,216.42857142857142,584684.2765714285,323.7142857142857,241.85714285714286,63.857142857142854,42.57142857142857,30.506740160746176,10.053983409303443,5.921686250257679,5.018893011750154
6,7,17302.947046296296,45.41321575848147,141.0788425925926,37.23328703703704,76.99588387345678,29.861574074074074,5.623611111111111,16.072349537037038,46.488836419753085,87.60279891304349,144.7523245614035,175.1169736842105,365978.6648571428,112623.97328571428,31701.75642857143,23615.114285714284,74.88341666666666,44.315,83.40799999999999,148.08333333333334,177.32,29.153416071542782,14.39325328388833,20.445309699755235,35.4150458126225,45.20966658105505,11432.842857142856,9075.228571428572,1899.9714285714285,292.35714285714283,165.28571428571428,533919.5088571429,343.42857142857144,249.14285714285714,65.14285714285714,43.42857142857143,26.60315541254386,7.705980680289408,4.597991225475697,3.889455782312925
7,8,17089.729059907833,51.710607178339124,141.470599078341,37.73253456221198,74.94322388632872,25.004608294930875,5.856221198156682,14.864850230414747,45.55152073732719,81.78771657754011,141.09010615711253,173.3004458598726,266150.5738571429,172285.50057142857,52930.115,38415.41142857143,67.6645,44.364444444444445,71.476,122.10666666666667,146.82,30.955406121536576,14.41432788451455,24.15738168447374,51.33560366333181,66.88851616916581,10503.328571428572,7172.271428571429,2590.9857142857145,473.64285714285717,266.42857142857144,529781.6008571428,337.57142857142856,254.28571428571428,67.28571428571429,44.857142857142854,21.19936184638649,10.209897910080333,6.9727084509693205,5.79192546583851
8,9,20475.293591133006,49.10476437877025,122.64832512315272,36.16886699507389,68.68198316912972,33.042364532019704,6.892610837438424,18.724954844006568,43.59389162561576,76.81864367816091,125.14997685185183,150.75076388888888,355581.11899999995,176741.46657142855,38295.58571428571,23165.342857142856,65.90833333333333,40.025999999999996,78.39500000000001,116.0,135.0,26.39768856841009,14.240958788625932,18.76111320999053,44.46385620593279,61.002711335820834,12464.114285714286,8897.07142857143,2799.9,493.57142857142856,273.57142857142856,593783.5141428572,324.2857142857143,235.71428571428572,61.714285714285715,41.142857142857146,26.449417917233113,11.533972727241695,7.956637806637807,6.772619047619048
9,10,16180.074231182796,47.737957168787155,109.03274193548387,35.59892473118279,66.96417159498208,21.795698924731184,7.056989247311828,14.715757168458783,43.896248506571084,78.8977358490566,112.68742424242424,130.14257575757574,268986.9776666667,184396.01266666668,32531.39416666667,15667.916666666666,59.909708333333334,40.799,72.49199999999999,85.33333333333333,95.0,26.540130019580626,12.658035136582521,21.59025506074466,43.46293664546243,56.43163913625851,10447.933333333334,6860.900000000001,2972.7833333333333,435.9166666666667,178.33333333333334,501582.3011666667,342.5,251.5,66.0,44.0,19.890073802720636,11.77599317296311,6.52140974967062,4.021739130434782
