date,hour,price,volume,cat
2016-01-01,0,40.1,477.5,off
2016-01-01,1,40.08,486.6,off
2016-01-01,2,40.06,495.6,off
2016-01-01,3,40.08,496.6,off
2016-01-01,4,40.07,502.9,off
2016-01-01,5,35.09,410.1,off
2016-01-01,6,35.1,413.3,standard
2016-01-01,7,48.03,350.0,morning
2016-01-01,8,45.1,323.0,morning
2016-01-01,9,48.01,320.0,morning
2016-01-01,10,48.01,320.0,standard
2016-01-01,11,48.02,315.0,standard
2016-01-01,12,48.03,310.0,standard
2016-01-01,13,45.1,323.0,standard
2016-01-01,14,45.09,323.0,standard
2016-01-01,15,45.09,323.0,standard
2016-01-01,16,56.08,100.0,standard
2016-01-01,17,56.09,80.0,standard
2016-01-01,18,60.02,53.0,standard
2016-01-01,19,60.08,53.0,evening
2016-01-01,20,60.02,56.0,evening
2016-01-01,21,40.09,360.0,standard
2016-01-01,22,40.08,486.6,off
2016-01-01,23,40.06,495.6,off
2016-01-02,0,43.95,479.0,off
2016-01-02,1,43.8,479.0,off
2016-01-02,2,43.8,479.0,off
2016-01-02,3,43.86,486.0,off
2016-01-02,4,43.56,486.0,off
2016-01-02,5,42.23,482.0,off
2016-01-02,6,40.03,403.1,off
2016-01-02,7,52.0,265.0,standard
2016-01-02,8,52.1,215.0,standard
2016-01-02,9,56.01,195.0,standard
2016-01-02,10,56.05,140.0,standard
2016-01-02,11,56.01,195.0,standard
2016-01-02,12,50.06,280.8,off
2016-01-02,13,50.05,285.6,off
2016-01-02,14,50.31,263.0,off
2016-01-02,15,50.49,263.0,off
2016-01-02,16,56.07,115.0,off
2016-01-02,17,56.06,120.0,off
2016-01-02,18,113.28,40.0,off
2016-01-02,19,118.49,40.0,standard
2016-01-02,20,50.01,300.0,standard
2016-01-02,21,42.65,356.0,off
2016-01-02,22,44.16,476.0,off
2016-01-02,23,43.71,476.0,off
2016-01-03,0,44.81,476.0,off
2016-01-03,1,44.44,476.0,off
2016-01-03,2,44.06,476.0,off
2016-01-03,3,44.44,486.0,off
2016-01-03,4,44.44,486.0,off
2016-01-03,5,48.56,439.0,off
2016-01-03,6,48.04,345.0,off
2016-01-03,7,50.08,275.0,off
2016-01-03,8,52.01,260.0,off
2016-01-03,9,56.01,200.0,off
2016-01-03,10,51.27,263.0,off
2016-01-03,11,51.27,263.0,off
2016-01-03,12,51.27,263.0,off
2016-01-03,13,50.03,296.1,off
2016-01-03,14,50.03,296.1,off
2016-01-03,15,51.09,263.0,off
2016-01-03,16,56.06,121.2,off
2016-01-03,17,56.06,121.2,off
2016-01-03,18,105.64,53.0,off
2016-01-03,19,118.47,40.0,off
2016-01-03,20,60.04,56.0,off
2016-01-03,21,50.03,292.1,off
2016-01-03,22,45.69,476.0,off
2016-01-03,23,45.18,476.0,off
2016-01-04,0,47.06,476.0,off
2016-01-04,1,46.84,476.0,off
2016-01-04,2,46.84,476.0,off
2016-01-04,3,46.91,486.0,off
2016-01-04,4,46.89,486.0,off
2016-01-04,5,46.7,476.0,off
2016-01-04,6,62.9,63.0,standard
2016-01-04,7,80.02,63.0,morning
2016-01-04,8,80.02,23.0,morning
2016-01-04,9,80.02,23.0,morning
2016-01-04,10,80.02,23.0,standard
2016-01-04,11,80.02,23.0,standard
2016-01-04,12,80.02,23.0,standard
2016-01-04,13,80.02,23.0,standard
2016-01-04,14,80.02,23.0,standard
2016-01-04,15,80.02,23.0,standard
2016-01-04,16,105.51,63.0,standard
2016-01-04,17,168.05,0.0,standard
2016-01-04,18,177.66,0.0,standard
2016-01-04,19,177.66,0.0,evening
2016-01-04,20,80.06,56.0,evening
2016-01-04,21,56.0,200.0,standard
2016-01-04,22,47.56,476.0,off
2016-01-04,23,47.13,476.0,off
2016-01-05,0,42.16,406.0,off
2016-01-05,1,42.14,416.0,off
2016-01-05,2,42.14,426.0,off
2016-01-05,3,42.18,436.0,off
2016-01-05,4,42.28,436.0,off
2016-01-05,5,42.26,356.0,off
2016-01-05,6,80.03,63.0,standard
2016-01-05,7,80.04,63.0,morning
2016-01-05,8,80.02,23.0,morning
2016-01-05,9,80.05,23.0,morning
2016-01-05,10,148.4,0.0,standard
2016-01-05,11,111.89,2.5,standard
2016-01-05,12,80.05,23.0,standard
2016-01-05,13,80.05,23.0,standard
2016-01-05,14,80.05,23.0,standard
2016-01-05,15,80.05,23.0,standard
2016-01-05,16,111.14,54.0,standard
2016-01-05,17,118.63,6.9,standard
2016-01-05,18,181.4,0.0,standard
2016-01-05,19,181.4,0.0,evening
2016-01-05,20,141.07,43.0,evening
2016-01-05,21,56.04,150.0,standard
2016-01-05,22,42.55,378.0,off
2016-01-05,23,42.06,376.0,off
2016-01-06,0,41.91,426.0,off
2016-01-06,1,41.91,436.0,off
2016-01-06,2,41.87,436.0,off
2016-01-06,3,41.91,446.0,off
2016-01-06,4,42.0,446.0,off
2016-01-06,5,42.86,356.0,off
2016-01-06,6,80.02,63.0,standard
2016-01-06,7,80.04,63.0,morning
2016-01-06,8,80.02,27.0,morning
2016-01-06,9,80.02,27.0,morning
2016-01-06,10,80.01,27.0,standard
2016-01-06,11,80.01,27.0,standard
2016-01-06,12,80.01,27.0,standard
2016-01-06,13,80.01,27.0,standard
2016-01-06,14,80.01,27.0,standard
2016-01-06,15,80.02,27.0,standard
2016-01-06,16,80.04,67.0,standard
