month,hour,price,volume,zamg,value
1,0,47.182019230769214,156.6350961538462,153.09580645161287,6351.30495673077
1,1,44.98134615384614,166.43749999999997,152.82483870967735,6411.631538461535
1,2,43.85509615384616,172.3048076923077,151.52387096774186,6464.798259615389
1,3,43.442884615384614,173.3086538461538,154.57225806451606,6449.582173076922
1,4,44.902451923076974,175.34615384615384,176.71096774193552,6751.007264423078
1,5,63.397067307692296,141.60865384615383,270.0400000000001,6263.779225961539
1,6,76.24471153846153,150.17451923076925,269.6435483870968,9199.52094230769
1,7,78.70716346153847,155.4658653846154,256.2,10891.231062499992
1,8,80.27471153846153,152.67596153846154,206.45967741935485,10921.126875
1,9,74.62043269230777,151.52355769230772,163.3745161290323,10915.644389423078
1,10,63.89278846153851,149.59471153846152,145.49741935483868,9188.6636201923
1,11,64.02591346153847,149.07548076923078,142.68451612903223,9160.173341346152
1,12,63.49240384615382,148.09807692307695,140.7112903225806,8882.563927884616
1,13,63.41322115384612,146.8639423076923,140.74387096774186,8710.273634615385
1,14,64.46076923076922,146.19759615384618,155.46548387096772,8803.430624999999
1,15,66.34346153846158,144.67596153846154,178.07580645161292,8907.095197115383
1,16,72.19264423076925,143.65144230769232,221.46870967741938,9336.73939423077
1,17,99.34937499999998,136.61057692307693,306.74322580645156,10092.373552884615
1,18,130.37807692307697,102.29567307692307,326.101935483871,10890.928812499998
1,19,186.05961538461528,67.49230769230768,330.1835483870968,10565.212350961536
1,20,200.18024038461544,61.1105769230769,322.2977419354839,10558.23728365384
1,21,122.45913461538474,86.71490384615382,242.0858064516129,8309.541000000001
1,22,64.71365384615386,109.4028846153846,163.90741935483877,6049.114605769232
1,23,49.809186602870824,134.96124401913877,161.96677419354836,5706.2492296650735
2,0,46.703380281690144,142.11338028169013,,6822.102401408451
2,1,44.38788732394366,148.4323943661972,,6903.864612676057
2,2,43.23211267605638,151.52042253521128,,6925.729147887327
2,3,43.065211267605655,152.13098591549294,,6954.62451408451
2,4,46.17676056338029,146.2985915492958,,6978.668098591553
2,5,57.11676056338028,111.1718309859155,,6073.771267605633
2,6,73.92753521126764,136.12957746478875,,9200.747084507042
2,7,84.69443661971835,151.3218309859155,,12119.053457746479
2,8,91.00549295774647,152.3176056338028,,12645.436830985918
2,9,105.57626760563382,147.51619718309863,,13449.017887323953
2,10,83.80802816901412,140.00774647887323,,10920.676140845071
2,11,82.83464788732395,140.6281690140845,,10774.954035211264
2,12,81.1722535211268,133.48239436619718,,10179.584154929575
2,13,80.51521126760566,132.3443661971831,,10111.75988732394
2,14,80.61577464788733,131.64647887323943,,10058.636718309855
2,15,81.52401408450706,128.67112676056337,,9904.239190140846
2,16,86.94985915492957,124.43661971830986,,9962.64729577465
2,17,99.48887323943666,118.88732394366197,,10689.514119718313
2,18,106.6233098591549,90.03239436619718,,8900.727830985912
2,19,213.4128873239437,55.228873239436616,,10550.042112676052
2,20,209.11176056338036,49.24014084507043,,9280.912338028167
2,21,136.67908450704215,82.50774647887324,,9690.13928169014
2,22,69.61718309859157,94.23169014084506,,6017.485007042251
2,23,50.092605633802805,118.26830985915494,,6120.328295774648
3,0,63.254387096774245,120.6793548387097,,7689.818658064518
3,1,59.44541935483873,132.93870967741935,,8087.339548387097
3,2,58.16064516129033,138.51225806451615,,8381.022993548386
3,3,58.10967741935482,141.18967741935484,,8573.970838709678
3,4,61.04309677419357,130.99354838709678,,8317.44970967742
3,5,64.9465806451613,103.17483870967742,,6464.883103225807
3,6,82.6688387096774,114.64709677419354,,8127.630645161292
3,7,94.31451612903228,104.41419354838712,,8934.76356129032
3,8,100.13206451612908,102.15548387096776,,9399.381161290326
3,9,110.32000000000001,99.04,,10190.533851612909
3,10,85.1194838709678,104.74967741935484,,8501.877877419356
3,11,86.20303225806455,103.61806451612902,,8470.440838709676
3,12,85.39870967741943,102.02451612903226,,8305.102722580643
3,13,84.92245161290327,102.42774193548388,,8308.603767741935
3,14,84.8718064516129,100.84387096774194,,8075.164819354839
3,15,84.87496774193548,100.45225806451614,,7847.177954838706
3,16,87.02999999999994,99.02967741935484,,7860.583780645165
3,17,94.49548387096776,103.75225806451611,,8520.019974193548
3,18,119.63980645161284,70.06193548387095,,6974.864012903226
3,19,199.17464516129036,49.79483870967741,,8618.35577419354
3,20,187.42774193548394,50.24645161290322,,7915.137574193549
3,21,145.0233548387097,67.50064516129031,,8257.90431612904
3,22,79.56154838709675,86.64903225806452,,5749.892864516128
3,23,64.72890322580645,108.5283870967742,,6684.645458064519
4,0,47.80413333333331,120.46733333333333,,5644.5853866666685
4,1,44.39053333333333,131.31133333333335,,5876.726120000001
4,2,43.03093333333333,134.33666666666664,,5833.441893333334
4,3,42.32773333333332,136.32600000000002,,5803.608180000001
4,4,43.82226666666665,132.65666666666667,,5721.316506666669
4,5,48.77379999999999,138.53066666666666,,6223.5532600000015
4,6,53.71780000000004,152.81866666666667,,7583.736773333332
4,7,70.28973333333336,131.31466666666668,,8068.3384000000015
4,8,79.98979999999999,138.11199999999997,,9015.205080000002
4,9,81.03433333333332,135.16533333333336,,8992.645746666667
4,10,60.99626666666665,131.29600000000002,,7596.0189733333345
4,11,60.51900000000003,129.94800000000004,,7419.79104
4,12,59.69893333333332,129.68066666666667,,7296.106926666667
4,13,59.78486666666667,129.876,,7339.469066666666
4,14,60.18600000000001,130.04533333333333,,7427.904500000003
4,15,58.78206666666665,119.96599999999998,,6475.694660000001
4,16,59.181200000000004,128.77333333333334,,6950.573619999996
4,17,62.61760000000002,123.4226666666667,,6807.879640000003
