,standard,evening,morning,off
0,1.0,1.0,1.0,1.0
1,0.695688054422376,0.8024908020139973,0.7833303472567487,0.5747907678526022
2,-0.011454297581420752,0.08930957068960356,-0.19950957471200179,-0.10995359870857453
3,0.14604042438823717,0.2018469251608949,0.1533734635546474,0.16940154632374047
4,-0.006421849448554578,0.2478596748998933,-0.0369326621326236,0.1990774938251023
5,-0.04999352453952729,0.11735918501271522,-0.286579241863493,-0.11289214879047167
6,-0.19694916886616062,-0.01166605582531488,-0.09154766180691257,-0.14037293520936162
7,0.10809225835094559,-0.008729327145843907,0.3443717601139565,0.08114468695551774
8,0.26530657454960305,0.20660824545322062,0.17407680790234245,0.21816554874868785
9,-0.14932433825762975,0.03494042805315909,-0.13603306873703247,-0.17872955852918698
10,-0.03060915374250631,-0.2340360245895987,0.08085434896387261,-0.06754243192692931
11,0.2650723506232126,0.19824244308256994,0.16334893071793213,0.17835080935364678
12,-0.11511203396330966,-0.2236060842351041,-0.1097576357546405,-0.1276095140648142
13,-0.01769354661492201,0.1111007861239997,-0.140955882907421,0.15376753190271503
14,-0.12295281055560907,-0.013629366437723897,0.10440344055255045,-0.055801352445560996
