Month,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
1,0,0,0,0,0,0,95.66134664,466.8414633,590.1716852,619.3248247,652.5942252,590.9838123,567.0501657,587.1901773,543.8081251,514.1571405,488.2960825,404.674799,118.2368126,0,0,0,0,0
2,0,0,0,0,0,0,0,359.1020431,485.9366492,555.5088748,566.263997,534.675403,519.0669868,538.1714435,514.2897137,505.2765857,471.8291848,348.4368482,19.67183325,0,0,0,0,0
3,0,0,0,0,0,0,0,463.0181615,603.3418658,624.32089,645.1960806,624.0965353,619.3915749,598.2595815,604.0770448,581.8631424,550.518372,444.6887485,7.79122893,0,0,0,0,0
4,0,0,0,0,0,0,0,456.9207183,575.5849174,624.7250994,645.199789,628.0932021,626.4272289,606.5162075,595.4338241,562.7030605,515.7684156,377.9246657,0,0,0,0,0,0
5,0,0,0,0,0,0,0,452.259331,594.8006245,637.7988632,644.4052765,648.0032964,651.4770868,633.9662905,624.8771415,608.6846612,493.9893163,46.31813286,0,0,0,0,0,0
6,0,0,0,0,0,0,0,393.953979,565.0254104,613.5259032,622.25627,606.9973651,606.9417399,605.3527149,586.1231015,572.0536477,444.3781748,3.999448073,0,0,0,0,0,0
7,0,0,0,0,0,0,0,390.6860016,569.8490377,617.4011217,638.6777405,643.7071809,637.4530602,641.8428113,634.5559171,607.1178862,532.8499711,234.2643797,0,0,0,0,0,0
8,0,0,0,0,0,0,0,442.0048351,589.8879969,638.153937,655.4338889,652.21412,642.1923227,639.3878882,621.899342,584.3579302,526.1832973,361.0832254,0,0,0,0,0,0
9,0,0,0,0,0,0,0,462.8188381,589.2585057,622.1756135,630.3979373,606.4077385,605.4166838,602.4880198,576.7808581,530.6898613,464.7722078,326.1673206,0,0,0,0,0,0
10,0,0,0,0,0,0,202.2178054,516.5963032,625.4676951,647.62041,658.5285013,640.2463696,639.3934507,633.1513821,614.0701025,568.1200227,498.7573185,347.2668659,0,0,0,0,0,0
11,0,0,0,0,0,0,313.6831834,473.2244489,546.7163932,562.5528726,589.2316202,572.3651485,577.0534213,568.1172414,527.6814679,505.7373474,445.9792519,353.6535599,0,0,0,0,0,0
12,0,0,0,0,0,0,299.6712089,484.8408338,566.2148614,590.4674255,617.9286335,597.0562242,576.7085454,581.340266,552.4782314,497.7746076,440.3314453,318.4993941,2.217589196,0,0,0,0,0
