date,hour,price,zamg,volume
2024-10-01,0,117.99,159,111
2024-10-01,1,117.83,159,111
2024-10-01,2,117.67,159,111
2024-10-01,3,117.52,159,111
2024-10-01,4,127.23,204.17,176
2024-10-01,5,324.8,324.8,36
2024-10-01,6,314.95,314.95,1
2024-10-01,7,314.93,314.93,1
2024-10-01,8,314.93,314.93,1
2024-10-01,9,251,251,0
2024-10-01,10,261.51,261.51,67
2024-10-01,11,189.87,189.87,1
2024-10-01,12,189.89,189.89,1
2024-10-01,13,189.89,189.89,1
2024-10-01,14,189.9,189.9,1
2024-10-01,15,189.9,189.9,1
2024-10-01,16,260.85,260.85,60
2024-10-01,17,271.47,271.47,173.6
2024-10-01,18,373.67,373.67,1
2024-10-01,19,373.67,373.67,1
2024-10-01,20,311.17,311.17,193.9
2024-10-01,21,306.22,306.22,35
2024-10-01,22,133.55,222.12,146
2024-10-01,23,130.04,222.4,161
2024-10-02,0,114.34,192.67,41
2024-10-02,1,113.72,192.67,41
2024-10-02,2,113.72,192.67,41
2024-10-02,3,113.88,192.67,41
2024-10-02,4,115.28,207.25,151
2024-10-02,5,313.25,313.25,67.5
2024-10-02,6,312.05,312.05,47.2
2024-10-02,7,310.75,310.75,51
2024-10-02,8,311.9,311.9,37.2
2024-10-02,9,165,300.45,0
2024-10-02,10,256.51,307.5,51
2024-10-02,11,181,181,66
2024-10-02,12,182.98,182.98,66
2024-10-02,13,183.05,183.05,66
2024-10-02,14,184.69,184.69,51
2024-10-02,15,184.69,184.69,51
2024-10-02,16,269.94,269.94,60
2024-10-02,17,311.61,311.61,61
2024-10-02,18,373.66,373.66,21
2024-10-02,19,373.67,373.67,1
2024-10-02,20,373.63,373.63,64.8
2024-10-02,21,233.39,233.39,16
2024-10-02,22,117.08,224.07,86
2024-10-02,23,116.77,225,66
2024-10-03,0,109.98,192.93,106.1
2024-10-03,1,109.24,192.93,106.1
2024-10-03,2,109.11,192.93,106.1
2024-10-03,3,109.8,192.93,106.1
2024-10-03,4,114.53,230.11,116.1
2024-10-03,5,314.5,314.5,58.6
2024-10-03,6,313.57,313.57,34.3
2024-10-03,7,315.96,315.96,48.7
2024-10-03,8,315.96,315.96,48.7
2024-10-03,9,179.99,240.45,0
2024-10-03,10,193.34,193.34,86.5
2024-10-03,11,183.29,184.67,42.1
2024-10-03,12,180,180,41
2024-10-03,13,180,180,41
2024-10-03,14,181.39,181.39,36.7
2024-10-03,15,183.19,183.19,31.1
2024-10-03,16,179.94,179.94,10
2024-10-03,17,286.03,286.03,123.9
2024-10-03,18,373.65,373.65,31.1
2024-10-03,19,373.66,373.66,21.1
2024-10-03,20,373.62,373.62,78.5
2024-10-03,21,233.47,233.47,21.1
2024-10-03,22,116.4,224.53,86.1
2024-10-03,23,115.15,223.47,86.1
2024-10-04,0,110.96,192.09,119.5
2024-10-04,1,110.42,192.09,116.5
2024-10-04,2,110.53,192.09,121.5
2024-10-04,3,111.39,192.09,127.5
2024-10-04,4,117.31,228.26,162.5
2024-10-04,5,322.88,322.88,42.4
2024-10-04,6,312.93,312.93,61.5
2024-10-04,7,267.57,267.57,20
2024-10-04,8,201,201,26.5
2024-10-04,9,165,240.45,0
2024-10-04,10,158.95,158.95,41
2024-10-04,11,150.04,154.5,0
2024-10-04,12,150.04,150.1,2
2024-10-04,13,150.03,150.1,2
2024-10-04,14,150.03,150.1,2
2024-10-04,15,150.02,150.1,2
2024-10-04,16,150.09,150.09,21.5
2024-10-04,17,288.49,288.49,171.4
2024-10-04,18,378.11,378.11,11.5
2024-10-04,19,378.11,378.11,11.5
2024-10-04,20,378.08,378.08,68.1
2024-10-04,21,230.69,230.69,76.5
2024-10-04,22,116.46,192.09,86.5
2024-10-04,23,113.62,192.09,86.5
2024-10-05,0,110.47,200,141.7
2024-10-05,1,109.29,200,131.7
2024-10-05,2,108.36,200,121.7
2024-10-05,3,108.61,200,121.7
2024-10-05,4,111.27,232.17,121.7
2024-10-05,5,111,342.51,11.7
2024-10-05,6,111.14,316.99,11.7
2024-10-05,7,174.3,331.28,11.7
2024-10-05,8,185.13,331.28,11.7
2024-10-05,9,178.94,313.66,21.7
2024-10-05,10,174.3,313.77,21.7
2024-10-05,11,101.86,187.08,11.7
2024-10-05,12,103.35,191,1.7
2024-10-05,13,103.41,191,1.7
2024-10-05,14,103.72,191,1.7
2024-10-05,15,104.21,191,1.7
2024-10-05,16,116.96,336.64,16.7
2024-10-05,17,126.01,126.01,236.7
2024-10-05,18,371.3,371.3,11.7
2024-10-05,19,371.3,371.3,11.7
2024-10-05,20,150,150,401.7
2024-10-05,21,112.94,112.94,360
2024-10-05,22,146.63,221.46,186.7
2024-10-05,23,115.74,224.99,191.7
