date,hour,price,zamg,volume
2025-07-01,0,52.8,100,192.4
2025-07-01,1,52.8,100,192.4
2025-07-01,2,52.8,100,192.4
2025-07-01,3,52.5,100,192.4
2025-07-01,4,53.6,100.1,192.8
2025-07-01,5,72,113,99.7
2025-07-01,6,102,105,117.4
2025-07-01,7,102,105,165
2025-07-01,8,100,100.1,145
2025-07-01,9,92.6,100.1,135
2025-07-01,10,100,100,115
2025-07-01,11,100,100,115
2025-07-01,12,100,100,115
2025-07-01,13,100,100,115
2025-07-01,14,100,100,115
2025-07-01,15,111.6,111.6,8.4
2025-07-01,16,111.6,111.6,5
2025-07-01,17,106,106,140
2025-07-01,18,272.8,272.8,108
2025-07-01,19,250.1,250.1,121.4
2025-07-01,20,104.9,104.9,60
2025-07-01,21,106,106,50
2025-07-01,22,55.1,100,222.4
2025-07-01,23,54.3,100,212.4
2025-07-02,0,50.1,65,258.7
2025-07-02,1,50.1,65,258.7
2025-07-02,2,50.1,65,258.7
2025-07-02,3,50.1,65,258.7
2025-07-02,4,50.1,72,258.7
2025-07-02,5,70.1,120.1,126
2025-07-02,6,91,110.1,195
2025-07-02,7,103.4,106,155
2025-07-02,8,91,106,145
2025-07-02,9,77.2,106,130
2025-07-02,10,80.1,81,115
2025-07-02,11,80.2,81,115
2025-07-02,12,80.2,81,115
2025-07-02,13,80.2,81,115
2025-07-02,14,80.3,81,115
2025-07-02,15,105,105,73
2025-07-02,16,109.8,111,95
2025-07-02,17,201.5,201.5,99.5
2025-07-02,18,277.8,277.8,103.5
2025-07-02,19,280,280,118.5
2025-07-02,20,190.1,190.1,106.9
2025-07-02,21,82.7,106,125
2025-07-02,22,55,72,326.6
2025-07-02,23,51.6,72,286.6
2025-07-03,0,51.5,110,258
2025-07-03,1,51.3,110,216
2025-07-03,2,51.3,110.1,186
2025-07-03,3,51,110,201
2025-07-03,4,51.6,110.1,216
2025-07-03,5,57.4,140,245
2025-07-03,6,90.1,90.1,252
2025-07-03,7,103.4,103.4,158
2025-07-03,8,90.1,90.1,152
2025-07-03,9,80.1,92.5,230
2025-07-03,10,82,110,173
2025-07-03,11,82,110,178
2025-07-03,12,82,101,188
2025-07-03,13,82,102.6,188
2025-07-03,14,82,110,188
2025-07-03,15,82,110,187
2025-07-03,16,87.7,140.1,87
2025-07-03,17,165,165,49
2025-07-03,18,220,220,103.2
2025-07-03,19,248.9,248.9,94
2025-07-03,20,110.1,110.1,60
2025-07-03,21,110,110,200.1
2025-07-03,22,55,110,286
2025-07-03,23,54.4,110,281
2025-07-04,0,50.1,120,229.2
2025-07-04,1,50.1,120,236.7
2025-07-04,2,50.1,120.1,222
2025-07-04,3,50.1,120.1,226.1
2025-07-04,4,50.4,120.1,228.2
2025-07-04,5,86.6,165,99.6
2025-07-04,6,106,120.1,165
2025-07-04,7,120,120,175
2025-07-04,8,120,120,179
2025-07-04,9,78.3,106,200
2025-07-04,10,79.4,104.9,189
2025-07-04,11,79.4,104.9,189
2025-07-04,12,79.4,99,199
2025-07-04,13,79.3,98.8,199
2025-07-04,14,79.4,101,197
2025-07-04,15,80.5,113,159
2025-07-04,16,80.5,150.1,64
2025-07-04,17,106,106,121
2025-07-04,18,224.5,224.5,118
2025-07-04,19,224.5,224.5,98
2025-07-04,20,165,165,69
2025-07-04,21,82,120.1,88
2025-07-04,22,56.1,107.5,306
2025-07-04,23,53.3,110,301
2025-07-05,0,50.7,105,281
2025-07-05,1,50.3,105.1,251
2025-07-05,2,50.2,105.1,249.2
2025-07-05,3,50.1,120,243
2025-07-05,4,51,120,229.5
2025-07-05,5,113.1,165.1,119
