date,hour,price,zamg,volume
2025-02-01,0,91.1,102,257
2025-02-01,1,89,102,257
2025-02-01,2,89,102,257
2025-02-01,3,81.6,82,257
2025-02-01,4,92,92,227.4
2025-02-01,5,104.4,121,177
2025-02-01,6,102,121,178.1
2025-02-01,7,100,100,177
2025-02-01,8,100,100,162.9
2025-02-01,9,130.2,130.2,162
2025-02-01,10,122.2,122.2,150
2025-02-01,11,112,112,161.2
2025-02-01,12,96.6,96.6,170
2025-02-01,13,97.5,97.5,172
2025-02-01,14,100.4,100.4,179
2025-02-01,15,102,102,182.9
2025-02-01,16,102.2,159,176
2025-02-01,17,195,195,179
2025-02-01,18,239.9,239.9,48
2025-02-01,19,240,240,48
2025-02-01,20,200.1,200.1,50
2025-02-01,21,195,195,48
2025-02-01,22,113.8,113.8,198
2025-02-01,23,126,126,180
2025-02-02,0,120.1,120.1,200
2025-02-02,1,102,102,257
2025-02-02,2,92,102,257
2025-02-02,3,85.6,85.6,246
2025-02-02,4,98.2,98.2,226
2025-02-02,5,102,121,198.1
2025-02-02,6,100.8,121,198.1
2025-02-02,7,90.1,100,197
2025-02-02,8,92,100,185.8
2025-02-02,9,90.1,102,197
2025-02-02,10,90,90,207.4
2025-02-02,11,90,90,207.3
2025-02-02,12,90,90,192
2025-02-02,13,90.6,90.6,195
2025-02-02,14,92,92,197.6
2025-02-02,15,90.9,90.9,209
2025-02-02,16,92,159,175
2025-02-02,17,165.1,165.1,270
2025-02-02,18,250.1,250.1,50
2025-02-02,19,289.9,289.9,48
2025-02-02,20,250.1,250.1,50
2025-02-02,21,195,195,48
2025-02-02,22,126.1,126.1,115
2025-02-02,23,104.2,104.2,197.2
2025-02-03,0,99.9,102,277
2025-02-03,1,99.9,102,277
2025-02-03,2,99.9,102,277
2025-02-03,3,99.9,99.9,246
2025-02-03,4,104.4,104.4,219.6
2025-02-03,5,219.9,219.9,48
2025-02-03,6,219.9,219.9,46
2025-02-03,7,219.9,219.9,37
2025-02-03,8,219.9,219.9,25
2025-02-03,9,112,153.1,157
2025-02-03,10,130,130,153
2025-02-03,11,130,130,150
2025-02-03,12,130,130,150
2025-02-03,13,130,130,150
2025-02-03,14,130,130,155
2025-02-03,15,130,130,164
2025-02-03,16,130,165,172
2025-02-03,17,300,300,162.1
2025-02-03,18,300.1,300.1,166.1
2025-02-03,19,300.1,300.1,131.6
2025-02-03,20,300.1,300.1,50
2025-02-03,21,220,220,48
2025-02-03,22,97.3,97.3,226
2025-02-03,23,96.8,96.8,223
2025-02-04,0,81,90,308.1
2025-02-04,1,81,90,308.1
2025-02-04,2,81,90,308.1
2025-02-04,3,80.1,81,308.1
2025-02-04,4,80.1,81,308.1
2025-02-04,5,200.1,200.1,70
2025-02-04,6,200.1,200.1,50
2025-02-04,7,214.9,214.9,40
2025-02-04,8,200.1,200.1,35
2025-02-04,9,122,153.1,144.8
2025-02-04,10,129.6,129.6,157.6
2025-02-04,11,131.7,131.7,152.8
2025-02-04,12,129.3,129.3,151.4
2025-02-04,13,130.2,130.2,152
2025-02-04,14,132.7,132.7,153.4
2025-02-04,15,137.2,137.2,165
2025-02-04,16,139.3,158.9,178
2025-02-04,17,300.1,300.1,160
2025-02-04,18,300.1,300.1,166
2025-02-04,19,300.1,300.1,146
2025-02-04,20,300.1,300.1,86
2025-02-04,21,148.9,148.9,46
2025-02-04,22,80.1,81,308.1
2025-02-04,23,80.1,81,308.1
2025-02-05,0,57.8,85,407
2025-02-05,1,57.8,85,397
2025-02-05,2,57.8,85,392
2025-02-05,3,57.8,85,402
2025-02-05,4,60,85,437
2025-02-05,5,200.1,200.1,131.9
2025-02-05,6,200.1,200.1,156.2
2025-02-05,7,200,200,153.3
2025-02-05,8,200.1,200.1,116.3
2025-02-05,9,100.1,100.1,125.9
2025-02-05,10,100.1,100.1,35.9
2025-02-05,11,125,125,100
2025-02-05,12,125,125,100
2025-02-05,13,125,125,100
2025-02-05,14,125,125,102
2025-02-05,15,125,125,111
2025-02-05,16,125,125,125
2025-02-05,17,300.1,300.1,143
2025-02-05,18,300.1,300.1,143
2025-02-05,19,300.1,300.1,143
2025-02-05,20,300.1,300.1,80
2025-02-05,21,126.1,126.1,46
2025-02-05,22,69,80.1,542
2025-02-05,23,60,80.1,472
2025-02-06,0,67.7,71,517
2025-02-06,1,66,71,497
2025-02-06,2,66,71,497
2025-02-06,3,65.5,71,502
2025-02-06,4,66.2,71,531
2025-02-06,5,200.1,200.1,196.3
2025-02-06,6,200.1,200.1,225.6
2025-02-06,7,200.1,200.1,210.4
2025-02-06,8,200.1,200.1,191
2025-02-06,9,100.1,100.1,124.8
2025-02-06,10,100.1,100.1,89.7
2025-02-06,11,120.1,120.1,115
2025-02-06,12,126.5,126.5,110.8
2025-02-06,13,120.1,120.1,110
2025-02-06,14,120.1,120.1,110
2025-02-06,15,122.6,122.6,120
2025-02-06,16,134.7,134.7,128
2025-02-06,17,300.1,300.1,120
2025-02-06,18,300.1,300.1,120
2025-02-06,19,300.1,300.1,120
2025-02-06,20,349.2,349.2,40
2025-02-06,21,141.5,141.5,42
2025-02-06,22,69.5,71,483.7
2025-02-06,23,66,71,422
2025-02-07,0,98.3,98.3,254
2025-02-07,1,98.3,98.3,254
2025-02-07,2,94.8,94.8,254
2025-02-07,3,93.1,93.1,254
2025-02-07,4,93.1,93.1,254
2025-02-07,5,200.1,200.1,194.6
2025-02-07,6,200,200,204.1
2025-02-07,7,200,200,186.3
2025-02-07,8,200.1,200.1,140.6
2025-02-07,9,100.1,100.1,108.4
2025-02-07,10,100,100,108.3
