date,hourlyid,market,tradedate,hour,price,volume,date,year,month,day,day_of_week,month_no,hour_ref
2018-03-01,45316,1,2018-03-01,11,61.92,160.0,2018-03-01,2018,3,1,3,2018.03,weekday_11
2018-03-01,45324,1,2018-03-01,19,95.95,106.6,2018-03-01,2018,3,1,3,2018.03,weekday_19
2018-03-02,45336,1,2018-03-02,7,79.91,265.5,2018-03-02,2018,3,2,4,2018.03,weekday_7
2018-03-02,45344,1,2018-03-02,15,67.85,152.0,2018-03-02,2018,3,2,4,2018.03,weekday_15
2018-03-03,45354,1,2018-03-03,1,27.29,91.0,2018-03-03,2018,3,3,5,2018.03,weekend_1
2018-03-03,45364,1,2018-03-03,11,56.39,195.0,2018-03-03,2018,3,3,5,2018.03,weekend_11
2018-03-03,45376,1,2018-03-03,23,21.97,104.0,2018-03-03,2018,3,3,5,2018.03,weekend_23
2018-03-04,45384,1,2018-03-04,7,21.97,95.0,2018-03-04,2018,3,4,6,2018.03,weekend_7
2018-03-04,45395,1,2018-03-04,18,21.97,88.0,2018-03-04,2018,3,4,6,2018.03,weekend_18
2018-03-05,45406,1,2018-03-05,5,27.33,130.0,2018-03-05,2018,3,5,0,2018.03,weekday_5
2018-03-05,45414,1,2018-03-05,13,60.0,99.0,2018-03-05,2018,3,5,0,2018.03,weekday_13
2018-03-06,45426,1,2018-03-06,1,28.43,79.0,2018-03-06,2018,3,6,1,2018.03,weekday_1
2018-03-06,45435,1,2018-03-06,10,64.88,185.0,2018-03-06,2018,3,6,1,2018.03,weekday_10
2018-03-06,45445,1,2018-03-06,20,70.15,210.0,2018-03-06,2018,3,6,1,2018.03,weekday_20
2018-03-07,45456,1,2018-03-07,7,70.15,169.0,2018-03-07,2018,3,7,2,2018.03,weekday_7
2018-03-07,45465,1,2018-03-07,16,63.22,180.0,2018-03-07,2018,3,7,2,2018.03,weekday_16
2018-03-08,45476,1,2018-03-08,3,27.07,134.0,2018-03-08,2018,3,8,3,2018.03,weekday_3
2018-03-08,45485,1,2018-03-08,12,63.7,210.0,2018-03-08,2018,3,8,3,2018.03,weekday_12
2018-03-08,45494,1,2018-03-08,21,67.79,209.0,2018-03-08,2018,3,8,3,2018.03,weekday_21
2018-03-09,45504,1,2018-03-09,7,59.92,144.0,2018-03-09,2018,3,9,4,2018.03,weekday_7
2018-03-09,45515,1,2018-03-09,18,78.5,65.0,2018-03-09,2018,3,9,4,2018.03,weekday_18
2018-03-10,45525,1,2018-03-10,4,22.03,66.0,2018-03-10,2018,3,10,5,2018.03,weekend_4
