date,hourlyid,market,tradedate,hour,price,volume,date,year,month,day,day_of_week,month_no,hour_ref
2017-12-01,43149,1,2017-12-01,4,28.64,319.0,2017-12-01,2017,12,1,4,2017.12,weekday_4
2017-12-01,43158,1,2017-12-01,13,61.97,190.1,2017-12-01,2017,12,1,4,2017.12,weekday_13
2017-12-02,43170,1,2017-12-02,1,28.93,316.0,2017-12-02,2017,12,2,5,2017.12,weekend_1
2017-12-02,43179,1,2017-12-02,10,61.92,191.0,2017-12-02,2017,12,2,5,2017.12,weekend_10
2017-12-02,43190,1,2017-12-02,21,29.64,293.0,2017-12-02,2017,12,2,5,2017.12,weekend_21
2017-12-03,43199,1,2017-12-03,6,28.17,209.0,2017-12-03,2017,12,3,6,2017.12,weekend_6
2017-12-03,43208,1,2017-12-03,15,27.9,242.0,2017-12-03,2017,12,3,6,2017.12,weekend_15
2017-12-04,43218,1,2017-12-04,1,28.28,262.0,2017-12-04,2017,12,4,0,2017.12,weekday_1
2017-12-04,43227,1,2017-12-04,10,62.53,164.8,2017-12-04,2017,12,4,0,2017.12,weekday_10
2017-12-01,43155,1,2017-12-01,10,61.98,195.4,2017-12-01,2017,12,1,4,2017.12,weekday_10
2017-12-01,43165,1,2017-12-01,20,62.52,182.6,2017-12-01,2017,12,1,4,2017.12,weekday_20
2017-12-02,43174,1,2017-12-02,5,30.01,327.7,2017-12-02,2017,12,2,5,2017.12,weekend_5
2017-12-02,43183,1,2017-12-02,14,29.78,371.0,2017-12-02,2017,12,2,5,2017.12,weekend_14
2017-12-02,43191,1,2017-12-02,22,29.99,378.0,2017-12-02,2017,12,2,5,2017.12,weekend_22
2017-12-03,43203,1,2017-12-03,10,28.38,249.0,2017-12-03,2017,12,3,6,2017.12,weekend_10
2017-12-03,43214,1,2017-12-03,21,30.36,350.0,2017-12-03,2017,12,3,6,2017.12,weekend_21
2017-12-04,43222,1,2017-12-04,5,30.03,359.5,2017-12-04,2017,12,4,0,2017.12,weekday_5
2017-12-04,43231,1,2017-12-04,14,62.67,174.3,2017-12-04,2017,12,4,0,2017.12,weekday_14
2017-12-01,43150,1,2017-12-01,5,29.23,345.0,2017-12-01,2017,12,1,4,2017.12,weekday_5
2017-12-01,43159,1,2017-12-01,14,61.95,207.9,2017-12-01,2017,12,1,4,2017.12,weekday_14
2017-12-01,43168,1,2017-12-01,23,29.08,356.0,2017-12-01,2017,12,1,4,2017.12,weekday_23
2017-12-02,43177,1,2017-12-02,8,50.1,201.0,2017-12-02,2017,12,2,5,2017.12,weekend_8
2017-12-02,43186,1,2017-12-02,17,27.98,218.0,2017-12-02,2017,12,2,5,2017.12,weekend_17
2017-12-03,43197,1,2017-12-03,4,28.19,248.0,2017-12-03,2017,12,3,6,2017.12,weekend_4
2017-12-03,43209,1,2017-12-03,16,28.25,254.0,2017-12-03,2017,12,3,6,2017.12,weekend_16
2017-12-04,43220,1,2017-12-04,3,28.22,255.0,2017-12-04,2017,12,4,0,2017.12,weekday_3
2017-12-04,43228,1,2017-12-04,11,62.64,180.2,2017-12-04,2017,12,4,0,2017.12,weekday_11
2017-12-04,43239,1,2017-12-04,22,30.05,363.4,2017-12-04,2017,12,4,0,2017.12,weekday_22
2017-12-01,43146,1,2017-12-01,1,27.09,308.0,2017-12-01,2017,12,1,4,2017.12,weekday_1
2017-12-01,43156,1,2017-12-01,11,61.96,210.7,2017-12-01,2017,12,1,4,2017.12,weekday_11
2017-12-01,43166,1,2017-12-01,21,61.94,256.6,2017-12-01,2017,12,1,4,2017.12,weekday_21
2017-12-02,43178,1,2017-12-02,9,60.06,214.0,2017-12-02,2017,12,2,5,2017.12,weekend_9
2017-12-02,43187,1,2017-12-02,18,61.91,121.0,2017-12-02,2017,12,2,5,2017.12,weekend_18
2017-12-03,43198,1,2017-12-03,5,29.12,254.0,2017-12-03,2017,12,3,6,2017.12,weekend_5
2017-12-03,43210,1,2017-12-03,17,28.45,284.0,2017-12-03,2017,12,3,6,2017.12,weekend_17
2017-12-04,43219,1,2017-12-04,2,28.15,256.0,2017-12-04,2017,12,4,0,2017.12,weekday_2
2017-12-04,43230,1,2017-12-04,13,62.68,156.2,2017-12-04,2017,12,4,0,2017.12,weekday_13
2017-12-04,43238,1,2017-12-04,21,62.58,171.2,2017-12-04,2017,12,4,0,2017.12,weekday_21
2017-12-05,43249,1,2017-12-05,8,68.03,133.0,2017-12-05,2017,12,5,1,2017.12,weekday_8
2017-12-01,43145,1,2017-12-01,0,27.09,319.0,2017-12-01,2017,12,1,4,2017.12,weekday_0
2017-12-01,43154,1,2017-12-01,9,65.08,175.0,2017-12-01,2017,12,1,4,2017.12,weekday_9
2017-12-01,43163,1,2017-12-01,18,80.07,103.0,2017-12-01,2017,12,1,4,2017.12,weekday_18
2017-12-02,43171,1,2017-12-02,2,28.85,317.0,2017-12-02,2017,12,2,5,2017.12,weekend_2
2017-12-02,43185,1,2017-12-02,16,29.41,346.0,2017-12-02,2017,12,2,5,2017.12,weekend_16
2017-12-02,43192,1,2017-12-02,23,29.94,351.0,2017-12-02,2017,12,2,5,2017.12,weekend_23
2017-12-03,43201,1,2017-12-03,8,27.83,242.0,2017-12-03,2017,12,3,6,2017.12,weekend_8
2017-12-03,43211,1,2017-12-03,18,35.09,239.5,2017-12-03,2017,12,3,6,2017.12,weekend_18
2017-12-04,43221,1,2017-12-04,4,28.73,268.0,2017-12-04,2017,12,4,0,2017.12,weekday_4
2017-12-04,43232,1,2017-12-04,15,62.67,177.6,2017-12-04,2017,12,4,0,2017.12,weekday_15
2017-12-05,43245,1,2017-12-05,4,28.18,257.0,2017-12-05,2017,12,5,1,2017.12,weekday_4
2017-12-05,43255,1,2017-12-05,14,62.52,174.3,2017-12-05,2017,12,5,1,2017.12,weekday_14
2017-12-05,43264,1,2017-12-05,23,28.8,284.0,2017-12-05,2017,12,5,1,2017.12,weekday_23
2017-12-01,43151,1,2017-12-01,6,61.91,223.0,2017-12-01,2017,12,1,4,2017.12,weekday_6
2017-12-01,43161,1,2017-12-01,16,61.97,206.9,2017-12-01,2017,12,1,4,2017.12,weekday_16
2017-12-02,43172,1,2017-12-02,3,28.73,312.0,2017-12-02,2017,12,2,5,2017.12,weekend_3
2017-12-02,43181,1,2017-12-02,12,27.96,188.0,2017-12-02,2017,12,2,5,2017.12,weekend_12
2017-12-03,43193,1,2017-12-03,0,28.79,274.0,2017-12-03,2017,12,3,6,2017.12,weekend_0
2017-12-03,43202,1,2017-12-03,9,27.96,247.0,2017-12-03,2017,12,3,6,2017.12,weekend_9
2017-12-03,43212,1,2017-12-03,19,37.05,263.3,2017-12-03,2017,12,3,6,2017.12,weekend_19
2017-12-04,43224,1,2017-12-04,7,64.05,104.0,2017-12-04,2017,12,4,0,2017.12,weekday_7
2017-12-04,43235,1,2017-12-04,18,82.04,83.0,2017-12-04,2017,12,4,0,2017.12,weekday_18
2017-12-05,43242,1,2017-12-05,1,28.08,265.0,2017-12-05,2017,12,5,1,2017.12,weekday_1
2017-12-05,43251,1,2017-12-05,10,62.51,162.7,2017-12-05,2017,12,5,1,2017.12,weekday_10
2017-12-05,43261,1,2017-12-05,20,62.71,87.8,2017-12-05,2017,12,5,1,2017.12,weekday_20
2017-12-01,43153,1,2017-12-01,8,65.1,175.0,2017-12-01,2017,12,1,4,2017.12,weekday_8
2017-12-01,43164,1,2017-12-01,19,86.1,105.3,2017-12-01,2017,12,1,4,2017.12,weekday_19
2017-12-02,43173,1,2017-12-02,4,28.9,321.0,2017-12-02,2017,12,2,5,2017.12,weekend_4
2017-12-02,43182,1,2017-12-02,13,29.88,374.0,2017-12-02,2017,12,2,5,2017.12,weekend_13
2017-12-03,43194,1,2017-12-03,1,28.43,263.0,2017-12-03,2017,12,3,6,2017.12,weekend_1
2017-12-03,43205,1,2017-12-03,12,28.23,238.0,2017-12-03,2017,12,3,6,2017.12,weekend_12
2017-12-03,43213,1,2017-12-03,20,30.09,315.1,2017-12-03,2017,12,3,6,2017.12,weekend_20
2017-12-04,43225,1,2017-12-04,8,64.07,124.0,2017-12-04,2017,12,4,0,2017.12,weekday_8
2017-12-04,43234,1,2017-12-04,17,62.66,176.0,2017-12-04,2017,12,4,0,2017.12,weekday_17
2017-12-05,43243,1,2017-12-05,2,28.06,258.0,2017-12-05,2017,12,5,1,2017.12,weekday_2
2017-12-05,43252,1,2017-12-05,11,62.52,172.3,2017-12-05,2017,12,5,1,2017.12,weekday_11
2017-12-05,43262,1,2017-12-05,21,62.51,173.8,2017-12-05,2017,12,5,1,2017.12,weekday_21
