date,hourlyid,market,tradedate,hour,price,volume,date,year,month,day,day_of_week,month_no,hour_ref
2019-12-02,60692,1,2019-12-02,3,42.02,92.0,2019-12-02,2019,12,2,0,2019.12,weekday_3
2019-12-02,60701,1,2019-12-02,12,109.76,80.0,2019-12-02,2019,12,2,0,2019.12,weekday_12
2019-12-02,60711,1,2019-12-02,22,44.57,395.8,2019-12-02,2019,12,2,0,2019.12,weekday_22
2019-12-03,60723,1,2019-12-03,10,100.94,141.0,2019-12-03,2019,12,3,1,2019.12,weekday_10
2019-12-03,60732,1,2019-12-03,19,275.6,12.0,2019-12-03,2019,12,3,1,2019.12,weekday_19
2019-12-04,60739,1,2019-12-04,2,41.96,207.0,2019-12-04,2019,12,4,2,2019.12,weekday_2
2019-12-04,60749,1,2019-12-04,12,98.96,106.0,2019-12-04,2019,12,4,2,2019.12,weekday_12
2019-12-04,60759,1,2019-12-04,22,44.82,283.5,2019-12-04,2019,12,4,2,2019.12,weekday_22
2019-12-05,60769,1,2019-12-05,8,99.86,205.0,2019-12-05,2019,12,5,3,2019.12,weekday_8
2019-12-05,60779,1,2019-12-05,18,249.95,60.0,2019-12-05,2019,12,5,3,2019.12,weekday_18
2019-12-06,60791,1,2019-12-06,6,90.21,314.0,2019-12-06,2019,12,6,4,2019.12,weekday_6
2019-12-06,60802,1,2019-12-06,17,105.02,235.0,2019-12-06,2019,12,6,4,2019.12,weekday_17
2019-12-07,60813,1,2019-12-07,4,45.59,213.0,2019-12-07,2019,12,7,5,2019.12,weekend_4
2019-12-07,60822,1,2019-12-07,13,105.03,230.0,2019-12-07,2019,12,7,5,2019.12,weekend_13
2019-12-07,60831,1,2019-12-07,22,60.06,119.0,2019-12-07,2019,12,7,5,2019.12,weekend_22
2019-12-08,60842,1,2019-12-08,9,56.52,305.0,2019-12-08,2019,12,8,6,2019.12,weekend_9
2019-12-08,60853,1,2019-12-08,20,105.07,108.0,2019-12-08,2019,12,8,6,2019.12,weekend_20
2019-12-09,60861,1,2019-12-09,4,45.83,290.0,2019-12-09,2019,12,9,0,2019.12,weekday_4
2019-12-09,60869,1,2019-12-09,12,105.01,281.0,2019-12-09,2019,12,9,0,2019.12,weekday_12
2019-12-09,60879,1,2019-12-09,22,46.25,198.0,2019-12-09,2019,12,9,0,2019.12,weekday_22
2019-12-10,60891,1,2019-12-10,10,105.03,237.0,2019-12-10,2019,12,10,1,2019.12,weekday_10
2019-12-10,60900,1,2019-12-10,19,230.29,91.1,2019-12-10,2019,12,10,1,2019.12,weekday_19
2019-12-11,60911,1,2019-12-11,6,90.72,319.0,2019-12-11,2019,12,11,2,2019.12,weekday_6
2019-12-11,60923,1,2019-12-11,18,235.96,77.0,2019-12-11,2019,12,11,2,2019.12,weekday_18
2019-12-12,60933,1,2019-12-12,4,45.47,262.0,2019-12-12,2019,12,12,3,2019.12,weekday_4
2019-12-12,60941,1,2019-12-12,12,105.01,250.0,2019-12-12,2019,12,12,3,2019.12,weekday_12
2019-12-12,60951,1,2019-12-12,22,46.13,198.0,2019-12-12,2019,12,12,3,2019.12,weekday_22
2019-12-13,60963,1,2019-12-13,10,105.05,173.0,2019-12-13,2019,12,13,4,2019.12,weekday_10
2019-12-13,60972,1,2019-12-13,19,234.99,63.2,2019-12-13,2019,12,13,4,2019.12,weekday_19
2019-12-14,60982,1,2019-12-14,5,44.02,240.0,2019-12-14,2019,12,14,5,2019.12,weekend_5
2019-12-14,60992,1,2019-12-14,15,105.02,223.0,2019-12-14,2019,12,14,5,2019.12,weekend_15
2019-12-15,61003,1,2019-12-15,2,44.0,209.6,2019-12-15,2019,12,15,6,2019.12,weekend_2
2019-12-15,61011,1,2019-12-15,10,103.99,261.0,2019-12-15,2019,12,15,6,2019.12,weekend_10
2019-12-15,61021,1,2019-12-15,20,105.07,97.0,2019-12-15,2019,12,15,6,2019.12,weekend_20
