date,hourlyid,market,tradedate,hour,price,volume,date,year,month,day,day_of_week,month_no,hour_ref
2019-08-01,57743,1,2019-08-01,6,210.05,166.0,2019-08-01,2019,8,1,3,2019.08,weekday_6
2019-08-01,57753,1,2019-08-01,16,105.29,147.0,2019-08-01,2019,8,1,3,2019.08,weekday_16
2019-08-02,57763,1,2019-08-02,2,54.04,554.5,2019-08-02,2019,8,2,4,2019.08,weekday_2
2019-08-02,57774,1,2019-08-02,13,103.02,107.7,2019-08-02,2019,8,2,4,2019.08,weekday_13
2019-08-02,57783,1,2019-08-02,22,54.08,481.0,2019-08-02,2019,8,2,4,2019.08,weekday_22
2019-08-03,57794,1,2019-08-03,9,104.65,139.0,2019-08-03,2019,8,3,5,2019.08,weekend_9
2019-08-03,57803,1,2019-08-03,18,103.98,76.0,2019-08-03,2019,8,3,5,2019.08,weekend_18
2019-08-04,57814,1,2019-08-04,5,54.09,442.3,2019-08-04,2019,8,4,6,2019.08,weekend_5
2019-08-04,57824,1,2019-08-04,15,54.44,322.0,2019-08-04,2019,8,4,6,2019.08,weekend_15
2019-08-05,57833,1,2019-08-05,0,54.02,584.5,2019-08-05,2019,8,5,0,2019.08,weekday_0
2019-08-05,57844,1,2019-08-05,11,103.08,104.2,2019-08-05,2019,8,5,0,2019.08,weekday_11
2019-08-05,57853,1,2019-08-05,20,106.45,52.0,2019-08-05,2019,8,5,0,2019.08,weekday_20
2019-08-06,57864,1,2019-08-06,7,204.95,336.0,2019-08-06,2019,8,6,1,2019.08,weekday_7
2019-08-06,57873,1,2019-08-06,16,103.09,204.0,2019-08-06,2019,8,6,1,2019.08,weekday_16
2019-08-07,57884,1,2019-08-07,3,52.79,581.0,2019-08-07,2019,8,7,2,2019.08,weekday_3
2019-08-07,57893,1,2019-08-07,12,101.16,135.0,2019-08-07,2019,8,7,2,2019.08,weekday_12
2019-08-07,57904,1,2019-08-07,23,53.92,614.1,2019-08-07,2019,8,7,2,2019.08,weekday_23
2019-08-08,57913,1,2019-08-08,8,206.23,176.0,2019-08-08,2019,8,8,3,2019.08,weekday_8
2019-08-08,57924,1,2019-08-08,19,113.53,112.0,2019-08-08,2019,8,8,3,2019.08,weekday_19
2019-08-09,57933,1,2019-08-09,4,54.02,672.7,2019-08-09,2019,8,9,4,2019.08,weekday_4
2019-08-09,57943,1,2019-08-09,14,101.87,148.4,2019-08-09,2019,8,9,4,2019.08,weekday_14
2019-08-10,57954,1,2019-08-10,1,52.49,420.0,2019-08-10,2019,8,10,5,2019.08,weekend_1
2019-08-10,57963,1,2019-08-10,10,128.39,50.0,2019-08-10,2019,8,10,5,2019.08,weekend_10
2019-08-10,57974,1,2019-08-10,21,55.97,148.4,2019-08-10,2019,8,10,5,2019.08,weekend_21
2019-08-11,57983,1,2019-08-11,6,52.99,214.0,2019-08-11,2019,8,11,6,2019.08,weekend_6
2019-08-11,57994,1,2019-08-11,17,59.91,81.0,2019-08-11,2019,8,11,6,2019.08,weekend_17
2019-08-12,58003,1,2019-08-12,2,52.25,376.1,2019-08-12,2019,8,12,0,2019.08,weekday_2
2019-08-12,58014,1,2019-08-12,13,103.82,109.4,2019-08-12,2019,8,12,0,2019.08,weekday_13
2019-08-12,58023,1,2019-08-12,22,52.92,417.2,2019-08-12,2019,8,12,0,2019.08,weekday_22
2019-08-13,58033,1,2019-08-13,8,202.94,165.2,2019-08-13,2019,8,13,1,2019.08,weekday_8
2019-08-13,58044,1,2019-08-13,19,121.67,10.0,2019-08-13,2019,8,13,1,2019.08,weekday_19
2019-08-14,58053,1,2019-08-14,4,52.86,434.6,2019-08-14,2019,8,14,2,2019.08,weekday_4
2019-08-14,58063,1,2019-08-14,14,100.22,133.0,2019-08-14,2019,8,14,2,2019.08,weekday_14
2019-08-15,58073,1,2019-08-15,0,50.41,377.0,2019-08-15,2019,8,15,3,2019.08,weekday_0
2019-08-15,58083,1,2019-08-15,10,99.57,163.0,2019-08-15,2019,8,15,3,2019.08,weekday_10
2019-08-15,58093,1,2019-08-15,20,101.86,126.2,2019-08-15,2019,8,15,3,2019.08,weekday_20
2019-08-16,58103,1,2019-08-16,6,199.92,95.0,2019-08-16,2019,8,16,4,2019.08,weekday_6
2019-08-16,58114,1,2019-08-16,17,199.97,124.0,2019-08-16,2019,8,16,4,2019.08,weekday_17
2019-08-17,58124,1,2019-08-17,3,50.21,353.0,2019-08-17,2019,8,17,5,2019.08,weekend_3
2019-08-17,58133,1,2019-08-17,12,53.99,162.2,2019-08-17,2019,8,17,5,2019.08,weekend_12
2019-08-17,58143,1,2019-08-17,22,50.51,311.0,2019-08-17,2019,8,17,5,2019.08,weekend_22
2019-08-18,58154,1,2019-08-18,9,52.98,185.8,2019-08-18,2019,8,18,6,2019.08,weekend_9
2019-08-18,58162,1,2019-08-18,17,54.05,228.9,2019-08-18,2019,8,18,6,2019.08,weekend_17
2019-08-19,58174,1,2019-08-19,5,54.0,376.5,2019-08-19,2019,8,19,0,2019.08,weekday_5
2019-08-19,58182,1,2019-08-19,13,100.04,131.0,2019-08-19,2019,8,19,0,2019.08,weekday_13
2019-08-20,58193,1,2019-08-20,0,51.24,385.0,2019-08-20,2019,8,20,1,2019.08,weekday_0
2019-08-20,58204,1,2019-08-20,11,101.5,227.4,2019-08-20,2019,8,20,1,2019.08,weekday_11
2019-08-20,58214,1,2019-08-20,21,99.77,188.0,2019-08-20,2019,8,20,1,2019.08,weekday_21
2019-08-21,58223,1,2019-08-21,6,206.24,110.1,2019-08-21,2019,8,21,2,2019.08,weekday_6
2019-08-21,58231,1,2019-08-21,14,99.96,224.6,2019-08-21,2019,8,21,2,2019.08,weekday_14
2019-08-21,58239,1,2019-08-21,22,51.32,493.7,2019-08-21,2019,8,21,2,2019.08,weekday_22
2019-08-22,58253,1,2019-08-22,12,100.9,249.0,2019-08-22,2019,8,22,3,2019.08,weekday_12
2019-08-22,58264,1,2019-08-22,23,50.29,391.0,2019-08-22,2019,8,22,3,2019.08,weekday_23
2019-08-23,58273,1,2019-08-23,8,220.44,133.6,2019-08-23,2019,8,23,4,2019.08,weekday_8
2019-08-23,58284,1,2019-08-23,19,195.0,50.5,2019-08-23,2019,8,23,4,2019.08,weekday_19
2019-08-24,58292,1,2019-08-24,3,48.92,277.0,2019-08-24,2019,8,24,5,2019.08,weekend_3
2019-08-24,58302,1,2019-08-24,13,50.93,199.7,2019-08-24,2019,8,24,5,2019.08,weekend_13
2019-08-24,58312,1,2019-08-24,23,50.04,324.0,2019-08-24,2019,8,24,5,2019.08,weekend_23
2019-08-25,58320,1,2019-08-25,7,51.66,217.0,2019-08-25,2019,8,25,6,2019.08,weekend_7
2019-08-25,58329,1,2019-08-25,16,51.9,255.0,2019-08-25,2019,8,25,6,2019.08,weekend_16
2019-08-26,58339,1,2019-08-26,2,48.68,284.0,2019-08-26,2019,8,26,0,2019.08,weekday_2
2019-08-26,58353,1,2019-08-26,16,103.65,112.2,2019-08-26,2019,8,26,0,2019.08,weekday_16
2019-08-27,58364,1,2019-08-27,3,50.21,418.0,2019-08-27,2019,8,27,1,2019.08,weekday_3
2019-08-27,58374,1,2019-08-27,13,100.2,244.0,2019-08-27,2019,8,27,1,2019.08,weekday_13
2019-08-27,58383,1,2019-08-27,22,51.5,470.0,2019-08-27,2019,8,27,1,2019.08,weekday_22
2019-08-28,58390,1,2019-08-28,5,52.72,293.2,2019-08-28,2019,8,28,2,2019.08,weekday_5
2019-08-28,58400,1,2019-08-28,15,100.06,243.0,2019-08-28,2019,8,28,2,2019.08,weekday_15
2019-08-29,58410,1,2019-08-29,1,50.32,557.0,2019-08-29,2019,8,29,3,2019.08,weekday_1
2019-08-29,58420,1,2019-08-29,11,98.07,202.0,2019-08-29,2019,8,29,3,2019.08,weekday_11
2019-08-29,58431,1,2019-08-29,22,51.13,544.9,2019-08-29,2019,8,29,3,2019.08,weekday_22
2019-08-30,58440,1,2019-08-30,7,202.21,152.5,2019-08-30,2019,8,30,4,2019.08,weekday_7
2019-08-30,58450,1,2019-08-30,17,230.97,94.0,2019-08-30,2019,8,30,4,2019.08,weekday_17
2019-08-31,58460,1,2019-08-31,3,50.22,525.0,2019-08-31,2019,8,31,5,2019.08,weekend_3
2019-08-31,58470,1,2019-08-31,13,49.2,184.0,2019-08-31,2019,8,31,5,2019.08,weekend_13
2019-08-31,58480,1,2019-08-31,23,50.61,517.0,2019-08-31,2019,8,31,5,2019.08,weekend_23
2019-08-01,57739,1,2019-08-01,2,54.03,577.7,2019-08-01,2019,8,1,3,2019.08,weekday_2
2019-08-01,57750,1,2019-08-01,13,103.01,117.9,2019-08-01,2019,8,1,3,2019.08,weekday_13
2019-08-01,57759,1,2019-08-01,22,54.06,507.8,2019-08-01,2019,8,1,3,2019.08,weekday_22
2019-08-02,57769,1,2019-08-02,8,219.15,156.5,2019-08-02,2019,8,2,4,2019.08,weekday_8
2019-08-02,57780,1,2019-08-02,19,112.21,60.0,2019-08-02,2019,8,2,4,2019.08,weekday_19
2019-08-03,57790,1,2019-08-03,5,54.38,339.5,2019-08-03,2019,8,3,5,2019.08,weekend_5
2019-08-03,57799,1,2019-08-03,14,53.89,287.0,2019-08-03,2019,8,3,5,2019.08,weekend_14
2019-08-04,57809,1,2019-08-04,0,54.05,572.1,2019-08-04,2019,8,4,6,2019.08,weekend_0
2019-08-04,57816,1,2019-08-04,7,54.84,273.0,2019-08-04,2019,8,4,6,2019.08,weekend_7
2019-08-04,57827,1,2019-08-04,18,94.51,130.0,2019-08-04,2019,8,4,6,2019.08,weekend_18
2019-08-05,57838,1,2019-08-05,5,56.86,130.0,2019-08-05,2019,8,5,0,2019.08,weekday_5
2019-08-05,57848,1,2019-08-05,15,100.83,82.0,2019-08-05,2019,8,5,0,2019.08,weekday_15
2019-08-05,57855,1,2019-08-05,22,54.04,564.1,2019-08-05,2019,8,5,0,2019.08,weekday_22
2019-08-06,57865,1,2019-08-06,8,204.95,330.0,2019-08-06,2019,8,6,1,2019.08,weekday_8
2019-08-06,57875,1,2019-08-06,18,216.05,152.0,2019-08-06,2019,8,6,1,2019.08,weekday_18
2019-08-07,57887,1,2019-08-07,6,209.07,192.2,2019-08-07,2019,8,7,2,2019.08,weekday_6
2019-08-07,57897,1,2019-08-07,16,102.47,177.0,2019-08-07,2019,8,7,2,2019.08,weekday_16
2019-08-08,57911,1,2019-08-08,6,214.3,175.5,2019-08-08,2019,8,8,3,2019.08,weekday_6
2019-08-08,57922,1,2019-08-08,17,231.53,135.0,2019-08-08,2019,8,8,3,2019.08,weekday_17
2019-08-09,57932,1,2019-08-09,3,53.65,730.5,2019-08-09,2019,8,9,4,2019.08,weekday_3
2019-08-09,57942,1,2019-08-09,13,101.88,139.8,2019-08-09,2019,8,9,4,2019.08,weekday_13
2019-08-09,57950,1,2019-08-09,21,101.88,90.5,2019-08-09,2019,8,9,4,2019.08,weekday_21
2019-08-10,57960,1,2019-08-10,7,108.5,86.0,2019-08-10,2019,8,10,5,2019.08,weekend_7
2019-08-10,57969,1,2019-08-10,16,55.9,158.1,2019-08-10,2019,8,10,5,2019.08,weekend_16
2019-08-11,57978,1,2019-08-11,1,50.49,221.0,2019-08-11,2019,8,11,6,2019.08,weekend_1
2019-08-11,57988,1,2019-08-11,11,55.93,159.2,2019-08-11,2019,8,11,6,2019.08,weekend_11
2019-08-11,57995,1,2019-08-11,18,89.18,40.0,2019-08-11,2019,8,11,6,2019.08,weekend_18
2019-08-12,58009,1,2019-08-12,8,202.95,182.0,2019-08-12,2019,8,12,0,2019.08,weekday_8
2019-08-12,58016,1,2019-08-12,15,105.44,113.3,2019-08-12,2019,8,12,0,2019.08,weekday_15
2019-08-13,58027,1,2019-08-13,2,51.87,384.0,2019-08-13,2019,8,13,1,2019.08,weekday_2
2019-08-13,58036,1,2019-08-13,11,102.3,129.0,2019-08-13,2019,8,13,1,2019.08,weekday_11
2019-08-13,58046,1,2019-08-13,21,99.97,77.9,2019-08-13,2019,8,13,1,2019.08,weekday_21
2019-08-14,58059,1,2019-08-14,10,103.22,63.9,2019-08-14,2019,8,14,2,2019.08,weekday_10
2019-08-14,58067,1,2019-08-14,18,232.93,102.0,2019-08-14,2019,8,14,2,2019.08,weekday_18
2019-08-15,58077,1,2019-08-15,4,51.55,499.0,2019-08-15,2019,8,15,3,2019.08,weekday_4
2019-08-15,58088,1,2019-08-15,15,99.28,171.0,2019-08-15,2019,8,15,3,2019.08,weekday_15
2019-08-16,58099,1,2019-08-16,2,50.86,351.0,2019-08-16,2019,8,16,4,2019.08,weekday_2
2019-08-16,58109,1,2019-08-16,12,100.03,209.1,2019-08-16,2019,8,16,4,2019.08,weekday_12
2019-08-16,58119,1,2019-08-16,22,52.19,413.4,2019-08-16,2019,8,16,4,2019.08,weekday_22
2019-08-17,58129,1,2019-08-17,8,93.33,53.0,2019-08-17,2019,8,17,5,2019.08,weekend_8
2019-08-17,58139,1,2019-08-17,18,126.32,40.0,2019-08-17,2019,8,17,5,2019.08,weekend_18
2019-08-18,58149,1,2019-08-18,4,50.44,362.0,2019-08-18,2019,8,18,6,2019.08,weekend_4
2019-08-18,58159,1,2019-08-18,14,50.59,232.0,2019-08-18,2019,8,18,6,2019.08,weekend_14
2019-08-19,58171,1,2019-08-19,2,50.15,359.0,2019-08-19,2019,8,19,0,2019.08,weekday_2
2019-08-19,58179,1,2019-08-19,10,100.09,81.0,2019-08-19,2019,8,19,0,2019.08,weekday_10
2019-08-19,58190,1,2019-08-19,21,100.09,86.3,2019-08-19,2019,8,19,0,2019.08,weekday_21
2019-08-20,58200,1,2019-08-20,7,199.99,184.0,2019-08-20,2019,8,20,1,2019.08,weekday_7
2019-08-20,58212,1,2019-08-20,19,125.48,27.1,2019-08-20,2019,8,20,1,2019.08,weekday_19
2019-08-21,58221,1,2019-08-21,4,51.12,491.7,2019-08-21,2019,8,21,2,2019.08,weekday_4
2019-08-21,58229,1,2019-08-21,12,100.37,212.3,2019-08-21,2019,8,21,2,2019.08,weekday_12
2019-08-22,58242,1,2019-08-22,1,49.63,371.0,2019-08-22,2019,8,22,3,2019.08,weekday_1
2019-08-22,58251,1,2019-08-22,10,101.56,199.9,2019-08-22,2019,8,22,3,2019.08,weekday_10
2019-08-22,58259,1,2019-08-22,18,230.97,52.0,2019-08-22,2019,8,22,3,2019.08,weekday_18
2019-08-23,58269,1,2019-08-23,4,53.26,314.0,2019-08-23,2019,8,23,4,2019.08,weekday_4
2019-08-23,58280,1,2019-08-23,15,103.77,102.3,2019-08-23,2019,8,23,4,2019.08,weekday_15
2019-08-24,58290,1,2019-08-24,1,49.23,294.0,2019-08-24,2019,8,24,5,2019.08,weekend_1
2019-08-24,58301,1,2019-08-24,12,51.3,185.0,2019-08-24,2019,8,24,5,2019.08,weekend_12
2019-08-24,58309,1,2019-08-24,20,54.04,187.7,2019-08-24,2019,8,24,5,2019.08,weekend_20
2019-08-25,58321,1,2019-08-25,8,53.87,203.0,2019-08-25,2019,8,25,6,2019.08,weekend_8
2019-08-25,58334,1,2019-08-25,21,52.76,285.0,2019-08-25,2019,8,25,6,2019.08,weekend_21
2019-08-26,58342,1,2019-08-26,5,52.36,287.9,2019-08-26,2019,8,26,0,2019.08,weekday_5
2019-08-26,58352,1,2019-08-26,15,102.51,116.0,2019-08-26,2019,8,26,0,2019.08,weekday_15
2019-08-27,58362,1,2019-08-27,1,50.34,433.0,2019-08-27,2019,8,27,1,2019.08,weekday_1
2019-08-27,58373,1,2019-08-27,12,101.04,251.0,2019-08-27,2019,8,27,1,2019.08,weekday_12
2019-08-27,58384,1,2019-08-27,23,50.91,457.0,2019-08-27,2019,8,27,1,2019.08,weekday_23
