date,hourlyid,market,tradedate,hour,price,volume,date,year,month,day,day_of_week,month_no,hour_ref
2020-04-01,63594,1,2020-04-01,1,33.96,85.0,2020-04-01,2020,4,1,2,2020.04,weekday_1
2020-04-01,63596,1,2020-04-01,3,33.96,85.0,2020-04-01,2020,4,1,2,2020.04,weekday_3
2020-04-01,63606,1,2020-04-01,13,83.45,69.0,2020-04-01,2020,4,1,2,2020.04,weekday_13
2020-04-02,63617,1,2020-04-02,0,30.97,85.0,2020-04-02,2020,4,2,3,2020.04,weekday_0
2020-04-02,63628,1,2020-04-02,11,80.92,69.0,2020-04-02,2020,4,2,3,2020.04,weekday_11
2020-04-02,63635,1,2020-04-02,18,101.65,60.0,2020-04-02,2020,4,2,3,2020.04,weekday_18
2020-04-01,63600,1,2020-04-01,7,100.93,78.0,2020-04-01,2020,4,1,2,2020.04,weekday_7
2020-04-01,63613,1,2020-04-01,20,100.0,50.0,2020-04-01,2020,4,1,2,2020.04,weekday_20
2020-04-02,63621,1,2020-04-02,4,30.95,85.0,2020-04-02,2020,4,2,3,2020.04,weekday_4
2020-04-02,63630,1,2020-04-02,13,80.91,69.0,2020-04-02,2020,4,2,3,2020.04,weekday_13
2020-04-01,63593,1,2020-04-01,0,33.97,85.0,2020-04-01,2020,4,1,2,2020.04,weekday_0
2020-04-01,63601,1,2020-04-01,8,100.91,77.0,2020-04-01,2020,4,1,2,2020.04,weekday_8
2020-04-01,63611,1,2020-04-01,18,149.25,60.0,2020-04-01,2020,4,1,2,2020.04,weekday_18
2020-04-02,63620,1,2020-04-02,3,30.95,85.0,2020-04-02,2020,4,2,3,2020.04,weekday_3
2020-04-02,63629,1,2020-04-02,12,80.92,70.0,2020-04-02,2020,4,2,3,2020.04,weekday_12
2020-04-02,63639,1,2020-04-02,22,41.23,36.0,2020-04-02,2020,4,2,3,2020.04,weekday_22
2020-04-03,63650,1,2020-04-03,9,69.54,77.0,2020-04-03,2020,4,3,4,2020.04,weekday_9
2020-04-01,63597,1,2020-04-01,4,32.44,85.0,2020-04-01,2020,4,1,2,2020.04,weekday_4
2020-04-01,63607,1,2020-04-01,14,82.88,69.0,2020-04-01,2020,4,1,2,2020.04,weekday_14
2020-04-02,63618,1,2020-04-02,1,30.95,85.0,2020-04-02,2020,4,2,3,2020.04,weekday_1
2020-04-02,63627,1,2020-04-02,10,80.92,68.0,2020-04-02,2020,4,2,3,2020.04,weekday_10
2020-04-02,63638,1,2020-04-02,21,76.46,67.0,2020-04-02,2020,4,2,3,2020.04,weekday_21
2020-04-03,63646,1,2020-04-03,5,27.93,78.8,2020-04-03,2020,4,3,4,2020.04,weekday_5
2020-04-03,63658,1,2020-04-03,17,69.42,71.0,2020-04-03,2020,4,3,4,2020.04,weekday_17
2020-04-01,63595,1,2020-04-01,2,33.96,85.0,2020-04-01,2020,4,1,2,2020.04,weekday_2
2020-04-01,63604,1,2020-04-01,11,83.45,69.0,2020-04-01,2020,4,1,2,2020.04,weekday_11
2020-04-01,63614,1,2020-04-01,21,95.15,67.0,2020-04-01,2020,4,1,2,2020.04,weekday_21
2020-04-02,63624,1,2020-04-02,7,98.81,78.0,2020-04-02,2020,4,2,3,2020.04,weekday_7
2020-04-02,63636,1,2020-04-02,19,123.68,60.0,2020-04-02,2020,4,2,3,2020.04,weekday_19
2020-04-03,63645,1,2020-04-03,4,27.92,76.0,2020-04-03,2020,4,3,4,2020.04,weekday_4
2020-04-03,63655,1,2020-04-03,14,69.4,70.0,2020-04-03,2020,4,3,4,2020.04,weekday_14
2020-04-04,63665,1,2020-04-04,0,23.63,68.0,2020-04-04,2020,4,4,5,2020.04,weekend_0
2020-04-01,63599,1,2020-04-01,6,53.93,66.0,2020-04-01,2020,4,1,2,2020.04,weekday_6
2020-04-01,63610,1,2020-04-01,17,83.94,71.0,2020-04-01,2020,4,1,2,2020.04,weekday_17
2020-04-02,63619,1,2020-04-02,2,30.95,85.0,2020-04-02,2020,4,2,3,2020.04,weekday_2
2020-04-02,63631,1,2020-04-02,14,80.91,69.0,2020-04-02,2020,4,2,3,2020.04,weekday_14
2020-04-03,63642,1,2020-04-03,1,27.92,76.0,2020-04-03,2020,4,3,4,2020.04,weekday_1
2020-04-03,63653,1,2020-04-03,12,69.42,71.0,2020-04-03,2020,4,3,4,2020.04,weekday_12
2020-04-03,63663,1,2020-04-03,22,29.88,77.0,2020-04-03,2020,4,3,4,2020.04,weekday_22
2020-04-04,63670,1,2020-04-04,5,23.62,85.0,2020-04-04,2020,4,4,5,2020.04,weekend_5
2020-04-01,63602,1,2020-04-01,9,100.9,77.0,2020-04-01,2020,4,1,2,2020.04,weekday_9
2020-04-01,63612,1,2020-04-01,19,200.05,60.0,2020-04-01,2020,4,1,2,2020.04,weekday_19
2020-04-02,63623,1,2020-04-02,6,50.96,66.0,2020-04-02,2020,4,2,3,2020.04,weekday_6
2020-04-02,63632,1,2020-04-02,15,80.92,70.0,2020-04-02,2020,4,2,3,2020.04,weekday_15
2020-04-02,63640,1,2020-04-02,23,34.05,61.0,2020-04-02,2020,4,2,3,2020.04,weekday_23
