date,hourlyid,market,tradedate,hour,price,volume,date,year,month,day,day_of_week,month_no,hour_ref
2019-07-01,56996,1,2019-07-01,3,52.05,570.0,2019-07-01,2019,7,1,0,2019.07,weekday_3
2019-07-01,57005,1,2019-07-01,12,111.54,192.6,2019-07-01,2019,7,1,0,2019.07,weekday_12
2019-07-01,57015,1,2019-07-01,22,52.25,484.4,2019-07-01,2019,7,1,0,2019.07,weekday_22
2019-07-02,57026,1,2019-07-02,9,119.07,102.0,2019-07-02,2019,7,2,1,2019.07,weekday_9
2019-07-02,57035,1,2019-07-02,18,211.99,130.0,2019-07-02,2019,7,2,1,2019.07,weekday_18
2019-07-03,57044,1,2019-07-03,3,51.38,807.0,2019-07-03,2019,7,3,2,2019.07,weekday_3
2019-07-03,57054,1,2019-07-03,13,108.83,103.0,2019-07-03,2019,7,3,2,2019.07,weekday_13
2019-07-03,57064,1,2019-07-03,23,51.92,787.9,2019-07-03,2019,7,3,2,2019.07,weekday_23
2019-07-04,57078,1,2019-07-04,13,105.57,88.0,2019-07-04,2019,7,4,3,2019.07,weekday_13
2019-07-05,57089,1,2019-07-05,0,50.03,677.2,2019-07-05,2019,7,5,4,2019.07,weekday_0
2019-07-05,57097,1,2019-07-05,8,214.06,191.0,2019-07-05,2019,7,5,4,2019.07,weekday_8
2019-07-05,57107,1,2019-07-05,18,214.07,161.0,2019-07-05,2019,7,5,4,2019.07,weekday_18
2019-07-06,57116,1,2019-07-06,3,48.74,414.0,2019-07-06,2019,7,6,5,2019.07,weekend_3
2019-07-06,57126,1,2019-07-06,13,51.58,218.0,2019-07-06,2019,7,6,5,2019.07,weekend_13
2019-07-06,57136,1,2019-07-06,23,48.95,447.0,2019-07-06,2019,7,6,5,2019.07,weekend_23
2019-07-07,57144,1,2019-07-07,7,46.98,104.0,2019-07-07,2019,7,7,6,2019.07,weekend_7
2019-07-07,57154,1,2019-07-07,17,90.04,74.0,2019-07-07,2019,7,7,6,2019.07,weekend_17
2019-07-08,57165,1,2019-07-08,4,50.62,435.0,2019-07-08,2019,7,8,0,2019.07,weekday_4
2019-07-08,57175,1,2019-07-08,14,103.44,197.5,2019-07-08,2019,7,8,0,2019.07,weekday_14
2019-07-09,57186,1,2019-07-09,1,49.52,652.5,2019-07-09,2019,7,9,1,2019.07,weekday_1
2019-07-09,57196,1,2019-07-09,11,103.08,135.9,2019-07-09,2019,7,9,1,2019.07,weekday_11
2019-07-09,57207,1,2019-07-09,22,49.57,578.6,2019-07-09,2019,7,9,1,2019.07,weekday_22
2019-07-10,57216,1,2019-07-10,7,213.94,253.0,2019-07-10,2019,7,10,2,2019.07,weekday_7
2019-07-10,57227,1,2019-07-10,18,213.97,186.0,2019-07-10,2019,7,10,2,2019.07,weekday_18
2019-07-11,57234,1,2019-07-11,1,48.02,661.1,2019-07-11,2019,7,11,3,2019.07,weekday_1
2019-07-11,57246,1,2019-07-11,13,103.05,209.9,2019-07-11,2019,7,11,3,2019.07,weekday_13
2019-07-11,57253,1,2019-07-11,20,104.69,105.6,2019-07-11,2019,7,11,3,2019.07,weekday_20
2019-07-12,57265,1,2019-07-12,8,214.1,207.3,2019-07-12,2019,7,12,4,2019.07,weekday_8
2019-07-12,57277,1,2019-07-12,20,108.88,110.0,2019-07-12,2019,7,12,4,2019.07,weekday_20
2019-07-13,57287,1,2019-07-13,6,63.31,84.8,2019-07-13,2019,7,13,5,2019.07,weekend_6
2019-07-13,57296,1,2019-07-13,15,55.95,176.4,2019-07-13,2019,7,13,5,2019.07,weekend_15
2019-07-14,57305,1,2019-07-14,0,54.92,213.0,2019-07-14,2019,7,14,6,2019.07,weekend_0
2019-07-14,57317,1,2019-07-14,12,55.96,180.5,2019-07-14,2019,7,14,6,2019.07,weekend_12
2019-07-14,57326,1,2019-07-14,21,56.13,125.0,2019-07-14,2019,7,14,6,2019.07,weekend_21
2019-07-15,57337,1,2019-07-15,8,215.93,203.0,2019-07-15,2019,7,15,0,2019.07,weekday_8
2019-07-15,57346,1,2019-07-15,17,215.98,161.0,2019-07-15,2019,7,15,0,2019.07,weekday_17
2019-07-16,57357,1,2019-07-16,4,54.02,364.9,2019-07-16,2019,7,16,1,2019.07,weekday_4
2019-07-16,57366,1,2019-07-16,13,104.09,171.0,2019-07-16,2019,7,16,1,2019.07,weekday_13
2019-07-17,57377,1,2019-07-17,0,54.04,347.6,2019-07-17,2019,7,17,2,2019.07,weekday_0
2019-07-17,57385,1,2019-07-17,8,219.97,178.6,2019-07-17,2019,7,17,2,2019.07,weekday_8
2019-07-17,57394,1,2019-07-17,17,228.74,153.0,2019-07-17,2019,7,17,2,2019.07,weekday_17
2019-07-18,57404,1,2019-07-18,3,54.06,375.0,2019-07-18,2019,7,18,3,2019.07,weekday_3
2019-07-18,57416,1,2019-07-18,15,112.73,199.0,2019-07-18,2019,7,18,3,2019.07,weekday_15
2019-07-19,57426,1,2019-07-19,1,54.05,394.3,2019-07-19,2019,7,19,4,2019.07,weekday_1
2019-07-19,57437,1,2019-07-19,12,112.97,227.0,2019-07-19,2019,7,19,4,2019.07,weekday_12
2019-07-19,57445,1,2019-07-19,20,115.01,165.0,2019-07-19,2019,7,19,4,2019.07,weekday_20
2019-07-20,57456,1,2019-07-20,7,104.0,134.0,2019-07-20,2019,7,20,5,2019.07,weekend_7
2019-07-20,57465,1,2019-07-20,16,57.98,217.0,2019-07-20,2019,7,20,5,2019.07,weekend_16
2019-07-21,57473,1,2019-07-21,0,56.05,409.4,2019-07-21,2019,7,21,6,2019.07,weekend_0
2019-07-21,57483,1,2019-07-21,10,400.0,166.0,2019-07-21,2019,7,21,6,2019.07,weekend_10
2019-07-22,57497,1,2019-07-22,0,54.26,325.7,2019-07-22,2019,7,22,0,2019.07,weekday_0
2019-07-22,57505,1,2019-07-22,8,222.42,248.6,2019-07-22,2019,7,22,0,2019.07,weekday_8
2019-07-22,57517,1,2019-07-22,20,122.97,164.9,2019-07-22,2019,7,22,0,2019.07,weekday_20
2019-07-23,57526,1,2019-07-23,5,59.98,421.0,2019-07-23,2019,7,23,1,2019.07,weekday_5
2019-07-23,57536,1,2019-07-23,15,108.94,193.0,2019-07-23,2019,7,23,1,2019.07,weekday_15
2019-07-24,57545,1,2019-07-24,0,53.98,363.4,2019-07-24,2019,7,24,2,2019.07,weekday_0
2019-07-24,57554,1,2019-07-24,9,110.97,209.0,2019-07-24,2019,7,24,2,2019.07,weekday_9
2019-07-24,57565,1,2019-07-24,20,111.86,153.0,2019-07-24,2019,7,24,2,2019.07,weekday_20
2019-07-25,57573,1,2019-07-25,4,53.99,364.6,2019-07-25,2019,7,25,3,2019.07,weekday_4
2019-07-25,57584,1,2019-07-25,15,105.0,166.3,2019-07-25,2019,7,25,3,2019.07,weekday_15
2019-07-26,57593,1,2019-07-26,0,54.07,359.3,2019-07-26,2019,7,26,4,2019.07,weekday_0
2019-07-26,57603,1,2019-07-26,10,112.2,181.0,2019-07-26,2019,7,26,4,2019.07,weekday_10
2019-07-01,56994,1,2019-07-01,1,52.05,579.9,2019-07-01,2019,7,1,0,2019.07,weekday_1
2019-07-01,57006,1,2019-07-01,13,110.09,215.0,2019-07-01,2019,7,1,0,2019.07,weekday_13
2019-07-01,57016,1,2019-07-01,23,52.08,522.1,2019-07-01,2019,7,1,0,2019.07,weekday_23
2019-07-02,57025,1,2019-07-02,8,211.96,180.0,2019-07-02,2019,7,2,1,2019.07,weekday_8
2019-07-02,57034,1,2019-07-02,17,211.97,152.0,2019-07-02,2019,7,2,1,2019.07,weekday_17
2019-07-03,57047,1,2019-07-03,6,213.98,176.0,2019-07-03,2019,7,3,2,2019.07,weekday_6
2019-07-03,57055,1,2019-07-03,14,108.52,107.7,2019-07-03,2019,7,3,2,2019.07,weekday_14
2019-07-04,57066,1,2019-07-04,1,50.94,755.0,2019-07-04,2019,7,4,3,2019.07,weekday_1
2019-07-04,57077,1,2019-07-04,12,108.79,88.0,2019-07-04,2019,7,4,3,2019.07,weekday_12
2019-07-04,57084,1,2019-07-04,19,151.01,97.5,2019-07-04,2019,7,4,3,2019.07,weekday_19
2019-07-05,57094,1,2019-07-05,5,55.09,384.5,2019-07-05,2019,7,5,4,2019.07,weekday_5
2019-07-05,57105,1,2019-07-05,16,104.04,95.0,2019-07-05,2019,7,5,4,2019.07,weekday_16
2019-07-06,57115,1,2019-07-06,2,48.74,424.0,2019-07-06,2019,7,6,5,2019.07,weekend_2
2019-07-06,57124,1,2019-07-06,11,102.96,165.4,2019-07-06,2019,7,6,5,2019.07,weekend_11
2019-07-06,57134,1,2019-07-06,21,52.54,161.4,2019-07-06,2019,7,6,5,2019.07,weekend_21
2019-07-07,57145,1,2019-07-07,8,53.97,93.0,2019-07-07,2019,7,7,6,2019.07,weekend_8
2019-07-07,57155,1,2019-07-07,18,90.03,40.0,2019-07-07,2019,7,7,6,2019.07,weekend_18
2019-07-08,57166,1,2019-07-08,5,55.17,309.7,2019-07-08,2019,7,8,0,2019.07,weekday_5
2019-07-08,57177,1,2019-07-08,16,103.46,163.2,2019-07-08,2019,7,8,0,2019.07,weekday_16
