date,hourlyid,market,tradedate,hour,price,volume,date,year,month,day,day_of_week,month_no,hour_ref
2021-01-01,70194,1,2021-01-01,1,50.16,154.0,2021-01-01,2021,1,1,4,2021.01,weekday_1
2021-01-01,70204,1,2021-01-01,11,50.07,76.0,2021-01-01,2021,1,1,4,2021.01,weekday_11
2021-01-01,70214,1,2021-01-01,21,50.19,120.0,2021-01-01,2021,1,1,4,2021.01,weekday_21
2021-01-02,70224,1,2021-01-02,7,60.02,71.0,2021-01-02,2021,1,2,5,2021.01,weekend_7
2021-01-02,70234,1,2021-01-02,17,50.03,76.0,2021-01-02,2021,1,2,5,2021.01,weekend_17
2021-01-03,70244,1,2021-01-03,3,50.05,131.0,2021-01-03,2021,1,3,6,2021.01,weekend_3
2021-01-03,70254,1,2021-01-03,13,50.02,71.0,2021-01-03,2021,1,3,6,2021.01,weekend_13
2021-01-03,70264,1,2021-01-03,23,51.72,190.4,2021-01-03,2021,1,3,6,2021.01,weekend_23
2021-01-04,70275,1,2021-01-04,10,60.05,85.0,2021-01-04,2021,1,4,0,2021.01,weekday_10
2021-01-04,70285,1,2021-01-04,20,60.05,50.0,2021-01-04,2021,1,4,0,2021.01,weekday_20
2021-01-05,70297,1,2021-01-05,8,102.39,81.0,2021-01-05,2021,1,5,1,2021.01,weekday_8
2021-01-05,70306,1,2021-01-05,17,60.06,72.0,2021-01-05,2021,1,5,1,2021.01,weekday_17
2021-01-06,70317,1,2021-01-06,4,48.71,95.5,2021-01-06,2021,1,6,2,2021.01,weekday_4
2021-01-06,70325,1,2021-01-06,12,60.1,76.0,2021-01-06,2021,1,6,2,2021.01,weekday_12
2021-01-06,70334,1,2021-01-06,21,198.04,74.0,2021-01-06,2021,1,6,2,2021.01,weekday_21
2021-01-07,70344,1,2021-01-07,7,101.03,93.0,2021-01-07,2021,1,7,3,2021.01,weekday_7
2021-01-07,70355,1,2021-01-07,18,90.13,60.0,2021-01-07,2021,1,7,3,2021.01,weekday_18
2021-01-08,70366,1,2021-01-08,5,50.08,98.0,2021-01-08,2021,1,8,4,2021.01,weekday_5
2021-01-08,70374,1,2021-01-08,13,60.05,88.0,2021-01-08,2021,1,8,4,2021.01,weekday_13
2021-01-09,70385,1,2021-01-09,0,46.74,190.0,2021-01-09,2021,1,9,5,2021.01,weekend_0
2021-01-09,70397,1,2021-01-09,12,50.05,72.0,2021-01-09,2021,1,9,5,2021.01,weekend_12
2021-01-09,70405,1,2021-01-09,20,50.06,30.0,2021-01-09,2021,1,9,5,2021.01,weekend_20
2021-01-10,70414,1,2021-01-10,5,50.04,151.0,2021-01-10,2021,1,10,6,2021.01,weekend_5
2021-01-10,70423,1,2021-01-10,14,50.04,72.0,2021-01-10,2021,1,10,6,2021.01,weekend_14
2021-01-11,70433,1,2021-01-11,0,46.97,159.0,2021-01-11,2021,1,11,0,2021.01,weekday_0
2021-01-11,70443,1,2021-01-11,10,60.04,81.0,2021-01-11,2021,1,11,0,2021.01,weekday_10
2021-01-11,70455,1,2021-01-11,22,49.33,167.0,2021-01-11,2021,1,11,0,2021.01,weekday_22
2021-01-12,70465,1,2021-01-12,8,100.01,82.0,2021-01-12,2021,1,12,1,2021.01,weekday_8
2021-01-12,70476,1,2021-01-12,19,95.07,82.0,2021-01-12,2021,1,12,1,2021.01,weekday_19
2021-01-13,70485,1,2021-01-13,4,45.56,202.0,2021-01-13,2021,1,13,2,2021.01,weekday_4
2021-01-13,70493,1,2021-01-13,12,60.05,75.0,2021-01-13,2021,1,13,2,2021.01,weekday_12
2021-01-13,70503,1,2021-01-13,22,46.03,187.0,2021-01-13,2021,1,13,2,2021.01,weekday_22
2021-01-14,70516,1,2021-01-14,11,60.04,72.0,2021-01-14,2021,1,14,3,2021.01,weekday_11
2021-01-14,70527,1,2021-01-14,22,55.31,55.0,2021-01-14,2021,1,14,3,2021.01,weekday_22
2021-01-15,70537,1,2021-01-15,8,95.07,47.0,2021-01-15,2021,1,15,4,2021.01,weekday_8
2021-01-15,70547,1,2021-01-15,18,90.02,60.0,2021-01-15,2021,1,15,4,2021.01,weekday_18
2021-01-16,70556,1,2021-01-16,3,46.69,180.0,2021-01-16,2021,1,16,5,2021.01,weekend_3
2021-01-16,70565,1,2021-01-16,12,50.06,75.0,2021-01-16,2021,1,16,5,2021.01,weekend_12
2021-01-16,70576,1,2021-01-16,23,46.65,119.0,2021-01-16,2021,1,16,5,2021.01,weekend_23
2021-01-17,70586,1,2021-01-17,9,46.54,50.0,2021-01-17,2021,1,17,6,2021.01,weekend_9
