,0,1,2
0,Date:Time,Price(USD/MWh),Turnover(MWh)
1,(2020/07/01) 00-01,19.99,265
2,(2020/07/01) 01-02,19.98,263
3,(2020/07/01) 02-03,19.98,254
4,(2020/07/01) 03-04,19.98,260
5,(2020/07/01) 04-05,19.99,285
6,(2020/07/01) 05-06,19.97,208
7,(2020/07/01) 06-07,29.94,110
8,(2020/07/01) 07-08,64.96,154.9
9,(2020/07/01) 08-09,64.97,153.3
10,(2020/07/01) 09-10,64.96,105.6
11,(2020/07/01) 10-11,59.97,86.3
12,(2020/07/01) 11-12,59.96,80
13,(2020/07/01) 12-13,59.95,79.4
14,(2020/07/01) 13-14,59.95,77.8
15,(2020/07/01) 14-15,59.95,78.9
16,(2020/07/01) 15-16,59.94,79
17,(2020/07/01) 16-17,59.96,88.6
18,(2020/07/01) 17-18,209.98,69.1
19,(2020/07/01) 18-19,209.97,75.6
20,(2020/07/01) 19-20,133.94,60
21,(2020/07/01) 20-21,64.9,170
22,(2020/07/01) 21-22,59.95,91.4
23,(2020/07/01) 22-23,20.29,293
24,(2020/07/01) 23-24,19.98,290
25,(2020/07/02) 00-01,19.99,273
26,(2020/07/02) 01-02,19.98,265
27,(2020/07/02) 02-03,19.98,263
28,(2020/07/02) 03-04,19.98,270
29,(2020/07/02) 04-05,20,337
30,(2020/07/02) 05-06,20.43,305
31,(2020/07/02) 06-07,30,273
32,(2020/07/02) 07-08,64.97,185
33,(2020/07/02) 08-09,64.98,166.6
34,(2020/07/02) 09-10,64.97,126.6
35,(2020/07/02) 10-11,59.97,101.8
36,(2020/07/02) 11-12,59.97,99.9
37,(2020/07/02) 12-13,59.96,96.4
38,(2020/07/02) 13-14,59.95,91.9
39,(2020/07/02) 14-15,59.95,85.5
40,(2020/07/02) 15-16,59.95,87.9
41,(2020/07/02) 16-17,59.96,105.4
42,(2020/07/02) 17-18,209.98,71.4
43,(2020/07/02) 18-19,209.98,69.9
44,(2020/07/02) 19-20,133.97,73.6
45,(2020/07/02) 20-21,64.94,145
46,(2020/07/02) 21-22,59.96,106.5
47,(2020/07/02) 22-23,20.26,287
48,(2020/07/02) 23-24,20,331
49,(2020/07/03) 00-01,20.16,270
50,(2020/07/03) 01-02,20.1,287
51,(2020/07/03) 02-03,19.99,282
52,(2020/07/03) 03-04,20,286
53,(2020/07/03) 04-05,20.11,286
54,(2020/07/03) 05-06,24.86,257
55,(2020/07/03) 06-07,34.95,188.5
56,(2020/07/03) 07-08,69.92,144
57,(2020/07/03) 08-09,69.93,143
58,(2020/07/03) 09-10,64.97,119
59,(2020/07/03) 10-11,59.96,110
60,(2020/07/03) 11-12,59.95,104
61,(2020/07/03) 12-13,59.95,100
62,(2020/07/03) 13-14,58.99,101.1
63,(2020/07/03) 14-15,59,102.1
64,(2020/07/03) 15-16,59,102.1
65,(2020/07/03) 16-17,59.92,106
66,(2020/07/03) 17-18,231.54,63
67,(2020/07/03) 18-19,209.94,89
68,(2020/07/03) 19-20,132.96,60
69,(2020/07/03) 20-21,64.95,126.2
70,(2020/07/03) 21-22,59.98,81
71,(2020/07/03) 22-23,20.36,256
72,(2020/07/03) 23-24,20.19,306
73,(2020/07/04) 00-01,18.98,115
74,(2020/07/04) 01-02,18.98,114
75,(2020/07/04) 02-03,18.97,112
76,(2020/07/04) 03-04,18.97,114
77,(2020/07/04) 04-05,18.98,118
78,(2020/07/04) 05-06,19.91,159
79,(2020/07/04) 06-07,19.92,192
80,(2020/07/04) 07-08,29,137
81,(2020/07/04) 08-09,35.45,201
82,(2020/07/04) 09-10,34.18,175
83,(2020/07/04) 10-11,34.49,168
84,(2020/07/04) 11-12,33.23,181
85,(2020/07/04) 12-13,19.96,212
86,(2020/07/04) 13-14,19.95,215
87,(2020/07/04) 14-15,19.94,202
88,(2020/07/04) 15-16,19.94,205
89,(2020/07/04) 16-17,19.96,215
90,(2020/07/04) 17-18,22.41,173
91,(2020/07/04) 18-19,59.97,101
92,(2020/07/04) 19-20,59.95,134
93,(2020/07/04) 20-21,19.99,219
94,(2020/07/04) 21-22,19.95,185
95,(2020/07/04) 22-23,19.93,176
96,(2020/07/04) 23-24,18.98,112
97,(2020/07/05) 00-01,18.98,107
98,(2020/07/05) 01-02,18.97,104
99,(2020/07/05) 02-03,18.97,103
100,(2020/07/05) 03-04,18.97,100
101,(2020/07/05) 04-05,18.97,103
102,(2020/07/05) 05-06,18.99,127
103,(2020/07/05) 06-07,18.98,151
104,(2020/07/05) 07-08,19,181
105,(2020/07/05) 08-09,19.93,215
106,(2020/07/05) 09-10,19.92,193
107,(2020/07/05) 10-11,19.9,177
108,(2020/07/05) 11-12,19.5,175
109,(2020/07/05) 12-13,19.91,177
110,(2020/07/05) 13-14,19.91,181
111,(2020/07/05) 14-15,19.91,175
112,(2020/07/05) 15-16,19.91,179
