,0,1,2
0,Date:Time,Price(USD/MWh),Turnover(MWh)
1,(2022/03/01) 00-01,61.78,157
2,(2022/03/01) 01-02,60.64,181
3,(2022/03/01) 02-03,55.03,237.7
4,(2022/03/01) 03-04,55.02,239.8
5,(2022/03/01) 04-05,61.78,157.9
6,(2022/03/01) 05-06,81.68,97
7,(2022/03/01) 06-07,80.18,106.5
8,(2022/03/01) 07-08,81.87,108
9,(2022/03/01) 08-09,81.49,71.9
10,(2022/03/01) 09-10,85.05,50
11,(2022/03/01) 10-11,122.53,29
12,(2022/03/01) 11-12,122.53,29
13,(2022/03/01) 12-13,121.11,37
14,(2022/03/01) 13-14,84.83,39
15,(2022/03/01) 14-15,121.42,34
16,(2022/03/01) 15-16,121.11,34
17,(2022/03/01) 16-17,82.73,49
18,(2022/03/01) 17-18,80.17,61.6
19,(2022/03/01) 18-19,83.65,82.6
20,(2022/03/01) 19-20,319.23,55
21,(2022/03/01) 20-21,318.97,55
22,(2022/03/01) 21-22,317.12,68
23,(2022/03/01) 22-23,84.6,5
24,(2022/03/01) 23-24,54.65,257
25,(2022/03/02) 00-01,61.72,139
26,(2022/03/02) 01-02,60.45,157
27,(2022/03/02) 02-03,58.3,187
28,(2022/03/02) 03-04,55.1,188
29,(2022/03/02) 04-05,62.51,128
30,(2022/03/02) 05-06,82.62,82
31,(2022/03/02) 06-07,82.2,118
32,(2022/03/02) 07-08,84.91,107.5
33,(2022/03/02) 08-09,220,55
34,(2022/03/02) 09-10,220.06,55
35,(2022/03/02) 10-11,121.68,39
36,(2022/03/02) 11-12,121.85,37
37,(2022/03/02) 12-13,123.1,19
38,(2022/03/02) 13-14,123.6,14
39,(2022/03/02) 14-15,124.5,5
40,(2022/03/02) 15-16,124.5,5
41,(2022/03/02) 16-17,123,20
42,(2022/03/02) 17-18,85.04,71.5
43,(2022/03/02) 18-19,161.04,61
44,(2022/03/02) 19-20,324.15,5
45,(2022/03/02) 20-21,324.05,5
46,(2022/03/02) 21-22,322.4,5
47,(2022/03/02) 22-23,123.95,5
48,(2022/03/02) 23-24,84.26,10
49,(2022/03/03) 00-01,82.86,44
50,(2022/03/03) 01-02,81.89,64
51,(2022/03/03) 02-03,81.36,75
52,(2022/03/03) 03-04,81.02,82
53,(2022/03/03) 04-05,81.15,80
54,(2022/03/03) 05-06,85.14,66
55,(2022/03/03) 06-07,183.94,105
56,(2022/03/03) 07-08,183.24,98
57,(2022/03/03) 08-09,202.1,65
58,(2022/03/03) 09-10,228.8,53
59,(2022/03/03) 10-11,121.86,39.2
60,(2022/03/03) 11-12,121.86,39.2
61,(2022/03/03) 12-13,121.59,34.1
62,(2022/03/03) 13-14,121.59,34.1
63,(2022/03/03) 14-15,121.31,36.9
64,(2022/03/03) 15-16,121.59,34.1
65,(2022/03/03) 16-17,121.75,32.5
66,(2022/03/03) 17-18,82.07,82.2
67,(2022/03/03) 18-19,162,70
68,(2022/03/03) 19-20,326.59,5
69,(2022/03/03) 20-21,326.47,5
70,(2022/03/03) 21-22,326.18,5
71,(2022/03/03) 22-23,123.03,5
72,(2022/03/03) 23-24,68.05,128
73,(2022/03/04) 00-01,55.88,177
74,(2022/03/04) 01-02,55.59,173
75,(2022/03/04) 02-03,55.42,171
76,(2022/03/04) 03-04,55.3,171
77,(2022/03/04) 04-05,81.06,108.5
78,(2022/03/04) 05-06,89.99,77
79,(2022/03/04) 06-07,180.88,111
80,(2022/03/04) 07-08,84.6,98.4
81,(2022/03/04) 08-09,208,62
82,(2022/03/04) 09-10,234.4,28
83,(2022/03/04) 10-11,125.02,8
84,(2022/03/04) 11-12,125.02,8
85,(2022/03/04) 12-13,124.56,15
86,(2022/03/04) 13-14,124.5,15
87,(2022/03/04) 14-15,125.01,9
88,(2022/03/04) 15-16,124.8,12
89,(2022/03/04) 16-17,122.8,32
90,(2022/03/04) 17-18,82.89,77.1
91,(2022/03/04) 18-19,149.25,77
92,(2022/03/04) 19-20,319.44,5
93,(2022/03/04) 20-21,319.44,5
94,(2022/03/04) 21-22,318.88,9
95,(2022/03/04) 22-23,89.93,93
96,(2022/03/04) 23-24,56.36,159
97,(2022/03/05) 00-01,79.21,130
98,(2022/03/05) 01-02,55.03,171
99,(2022/03/05) 02-03,54.91,161
100,(2022/03/05) 03-04,54.78,159
101,(2022/03/05) 04-05,54.96,174
102,(2022/03/05) 05-06,79.11,135
103,(2022/03/05) 06-07,81.34,139.5
104,(2022/03/05) 07-08,45.07,106
105,(2022/03/05) 08-09,45.08,117
106,(2022/03/05) 09-10,45.09,111
107,(2022/03/05) 10-11,83.72,81
108,(2022/03/05) 11-12,119.6,56
109,(2022/03/05) 12-13,200.04,60
110,(2022/03/05) 13-14,200.01,82
111,(2022/03/05) 14-15,124.1,89
112,(2022/03/05) 15-16,122.6,94
113,(2022/03/05) 16-17,121.4,101
114,(2022/03/05) 17-18,200.02,110
115,(2022/03/05) 18-19,45.08,108.5
116,(2022/03/05) 19-20,156.15,121
117,(2022/03/05) 20-21,315.44,41
118,(2022/03/05) 21-22,200.09,66
119,(2022/03/05) 22-23,55.1,201
120,(2022/03/05) 23-24,55.05,140
121,(2022/03/06) 00-01,55.01,147.9
122,(2022/03/06) 01-02,55.03,143.7
123,(2022/03/06) 02-03,54.71,144.7
124,(2022/03/06) 03-04,54.57,143.7
125,(2022/03/06) 04-05,55.01,153
126,(2022/03/06) 05-06,63.59,123
127,(2022/03/06) 06-07,49.71,217
128,(2022/03/06) 07-08,57.12,216.9
129,(2022/03/06) 08-09,83.36,194.2
130,(2022/03/06) 09-10,200,181
131,(2022/03/06) 10-11,120.2,154
132,(2022/03/06) 11-12,119.2,152
133,(2022/03/06) 12-13,119.6,156
134,(2022/03/06) 13-14,118.8,153
135,(2022/03/06) 14-15,113.4,158
136,(2022/03/06) 15-16,115.8,161
137,(2022/03/06) 16-17,122.6,131
138,(2022/03/06) 17-18,200.01,159
139,(2022/03/06) 18-19,200.03,129
140,(2022/03/06) 19-20,315.22,43
141,(2022/03/06) 20-21,316.44,32
142,(2022/03/06) 21-22,238.33,50
143,(2022/03/06) 22-23,68.42,170
144,(2022/03/06) 23-24,55.09,135
145,(2022/03/07) 00-01,55.01,172
146,(2022/03/07) 01-02,54.79,163
147,(2022/03/07) 02-03,54.5,153
148,(2022/03/07) 03-04,54.56,161
149,(2022/03/07) 04-05,55.07,187
150,(2022/03/07) 05-06,105.71,113
151,(2022/03/07) 06-07,81.86,143
152,(2022/03/07) 07-08,80.55,134.8
153,(2022/03/07) 08-09,142.5,94
154,(2022/03/07) 09-10,205.71,61
155,(2022/03/07) 10-11,124.68,29
156,(2022/03/07) 11-12,200.01,26
157,(2022/03/07) 12-13,124.8,32
158,(2022/03/07) 13-14,124.8,32
159,(2022/03/07) 14-15,200.02,27
160,(2022/03/07) 15-16,200.02,28
161,(2022/03/07) 16-17,124,45
162,(2022/03/07) 17-18,83.57,94.3
163,(2022/03/07) 18-19,146.6,93
164,(2022/03/07) 19-20,318.56,13
165,(2022/03/07) 20-21,319.44,5
166,(2022/03/07) 21-22,317.25,22
167,(2022/03/07) 22-23,85.79,111
168,(2022/03/07) 23-24,55.04,150
169,(2022/03/08) 00-01,55.08,173
170,(2022/03/08) 01-02,55.06,173
171,(2022/03/08) 02-03,55.04,168
172,(2022/03/08) 03-04,55.03,158
173,(2022/03/08) 04-05,55.06,189
174,(2022/03/08) 05-06,83.02,103
175,(2022/03/08) 06-07,80.2,126.3
176,(2022/03/08) 07-08,81.02,107.8
177,(2022/03/08) 08-09,128,76
178,(2022/03/08) 09-10,194.76,65.1
179,(2022/03/08) 10-11,125.71,39.3
180,(2022/03/08) 11-12,126.8,23
181,(2022/03/08) 12-13,125.16,47.6
182,(2022/03/08) 13-14,125.37,44.5
183,(2022/03/08) 14-15,125.37,44.5
184,(2022/03/08) 15-16,125.53,42.1
185,(2022/03/08) 16-17,125.29,54.2
186,(2022/03/08) 17-18,84.37,78.4
187,(2022/03/08) 18-19,82.12,72.5
188,(2022/03/08) 19-20,319.44,5
189,(2022/03/08) 20-21,319.44,5
190,(2022/03/08) 21-22,317,24
191,(2022/03/08) 22-23,64.72,105
192,(2022/03/08) 23-24,55.04,103
193,(2022/03/09) 00-01,64.53,154
194,(2022/03/09) 01-02,61.26,172
195,(2022/03/09) 02-03,55.09,181
196,(2022/03/09) 03-04,55.08,176
197,(2022/03/09) 04-05,60.72,188
198,(2022/03/09) 05-06,90.02,87
199,(2022/03/09) 06-07,83.14,115
200,(2022/03/09) 07-08,82.34,97.1
201,(2022/03/09) 08-09,160.1,54.8
202,(2022/03/09) 09-10,194.45,83
203,(2022/03/09) 10-11,135.5,40
204,(2022/03/09) 11-12,138,45
205,(2022/03/09) 12-13,134,45
206,(2022/03/09) 13-14,136.75,50
207,(2022/03/09) 14-15,137.5,50
208,(2022/03/09) 15-16,136.67,55
209,(2022/03/09) 16-17,138.33,50
210,(2022/03/09) 17-18,125,83
211,(2022/03/09) 18-19,82.32,70.5
212,(2022/03/09) 19-20,319.11,8
213,(2022/03/09) 20-21,319.44,5
214,(2022/03/09) 21-22,316.38,29
215,(2022/03/09) 22-23,81.4,105
216,(2022/03/09) 23-24,55.08,118.3
217,(2022/03/10) 00-01,82.98,98
218,(2022/03/10) 01-02,81.76,116
219,(2022/03/10) 02-03,81.01,125
220,(2022/03/10) 03-04,80.96,131
221,(2022/03/10) 04-05,82.05,131
222,(2022/03/10) 05-06,94.93,106
223,(2022/03/10) 06-07,84.42,132
224,(2022/03/10) 07-08,83.49,117.2
225,(2022/03/10) 08-09,161.25,101
226,(2022/03/10) 09-10,193.67,97.4
227,(2022/03/10) 10-11,136.5,60
228,(2022/03/10) 11-12,137.75,65
229,(2022/03/10) 12-13,136,65
230,(2022/03/10) 13-14,138,70
231,(2022/03/10) 14-15,138.25,70
232,(2022/03/10) 15-16,139.75,75
233,(2022/03/10) 16-17,138,70
234,(2022/03/10) 17-18,130.09,111
235,(2022/03/10) 18-19,200.02,90
236,(2022/03/10) 19-20,319.44,5
237,(2022/03/10) 20-21,319.44,5
238,(2022/03/10) 21-22,318.25,14
239,(2022/03/10) 22-23,90.03,30
240,(2022/03/10) 23-24,84.32,38
241,(2022/03/11) 00-01,90.02,44
242,(2022/03/11) 01-02,86.33,63
243,(2022/03/11) 02-03,85.94,76
244,(2022/03/11) 03-04,85.97,86
245,(2022/03/11) 04-05,85.99,89
246,(2022/03/11) 05-06,94.97,78
247,(2022/03/11) 06-07,150.02,108
248,(2022/03/11) 07-08,84.87,97
249,(2022/03/11) 08-09,200.03,74
250,(2022/03/11) 09-10,200.09,44
251,(2022/03/11) 10-11,150.03,29
252,(2022/03/11) 11-12,150.03,27
253,(2022/03/11) 12-13,150.08,10
254,(2022/03/11) 13-14,150.06,20
255,(2022/03/11) 14-15,150.04,24
256,(2022/03/11) 15-16,150.08,7
257,(2022/03/11) 16-17,150.04,23
258,(2022/03/11) 17-18,150.05,78
259,(2022/03/11) 18-19,84.13,75
260,(2022/03/11) 19-20,320,0
261,(2022/03/11) 20-21,320,0
262,(2022/03/11) 21-22,319.5,4
263,(2022/03/11) 22-23,93.04,0
264,(2022/03/11) 23-24,90.04,14
265,(2022/03/12) 00-01,80.1,149.3
266,(2022/03/12) 01-02,80.07,145.5
267,(2022/03/12) 02-03,80.06,145.6
268,(2022/03/12) 03-04,80.05,144.3
269,(2022/03/12) 04-05,80.06,150.4
270,(2022/03/12) 05-06,60.1,99
271,(2022/03/12) 06-07,44.98,149
272,(2022/03/12) 07-08,45.1,138
273,(2022/03/12) 08-09,67.99,109
274,(2022/03/12) 09-10,82.44,76
275,(2022/03/12) 10-11,122.67,51
276,(2022/03/12) 11-12,121.76,55
277,(2022/03/12) 12-13,84.19,77
278,(2022/03/12) 13-14,83.37,84
279,(2022/03/12) 14-15,82.79,89
280,(2022/03/12) 15-16,82.56,91
281,(2022/03/12) 16-17,60.07,100
282,(2022/03/12) 17-18,44.99,132
283,(2022/03/12) 18-19,73.6,116
284,(2022/03/12) 19-20,316,36
285,(2022/03/12) 20-21,316.78,29
286,(2022/03/12) 21-22,190.45,55
287,(2022/03/12) 22-23,85.06,100
288,(2022/03/12) 23-24,92.21,38
289,(2022/03/13) 00-01,80.1,150.8
290,(2022/03/13) 01-02,80.08,147.6
291,(2022/03/13) 02-03,80.06,147.6
292,(2022/03/13) 03-04,80.05,146.5
293,(2022/03/13) 04-05,80.06,154.2
294,(2022/03/13) 05-06,81.42,113
295,(2022/03/13) 06-07,44.97,207
296,(2022/03/13) 07-08,44.97,214
