,0,1,2
0,Date:Time,Price(USD/MWh),Turnover(MWh)
1,(2020/03/01) 00-01,34.2,42
2,(2020/03/01) 01-02,34.07,55.6
3,(2020/03/01) 02-03,34.06,58.9
4,(2020/03/01) 03-04,34.06,58.4
5,(2020/03/01) 04-05,34.5,42
6,(2020/03/01) 05-06,53.24,42
7,(2020/03/01) 06-07,37.2,42
8,(2020/03/01) 07-08,35.32,42
9,(2020/03/01) 08-09,34.29,41
10,(2020/03/01) 09-10,34.08,49
11,(2020/03/01) 10-11,34.07,52.3
12,(2020/03/01) 11-12,34.08,52.3
13,(2020/03/01) 12-13,34.08,50.1
14,(2020/03/01) 13-14,34.1,42.4
15,(2020/03/01) 14-15,34.1,43.3
16,(2020/03/01) 15-16,36.1,43
17,(2020/03/01) 16-17,62.35,43
18,(2020/03/01) 17-18,35.7,43
19,(2020/03/01) 18-19,280.1,19
20,(2020/03/01) 19-20,35,23
21,(2020/03/01) 20-21,157.5,20
22,(2020/03/01) 21-22,60.56,42
23,(2020/03/01) 22-23,53.07,42
24,(2020/03/01) 23-24,50.35,42
25,(2020/03/02) 00-01,34.08,49
26,(2020/03/02) 01-02,34.07,55
27,(2020/03/02) 02-03,34.05,63
28,(2020/03/02) 03-04,34.03,69
29,(2020/03/02) 04-05,34.04,65
30,(2020/03/02) 05-06,33.25,95
31,(2020/03/02) 06-07,64.99,88.9
32,(2020/03/02) 07-08,89.96,133
33,(2020/03/02) 08-09,89.99,97
34,(2020/03/02) 09-10,89.98,111
35,(2020/03/02) 10-11,64.93,162.1
36,(2020/03/02) 11-12,64.93,168
37,(2020/03/02) 12-13,64.93,175.7
38,(2020/03/02) 13-14,64.93,171.6
39,(2020/03/02) 14-15,64.94,154.7
40,(2020/03/02) 15-16,64.95,147.6
41,(2020/03/02) 16-17,64.95,147
42,(2020/03/02) 17-18,64.98,105.4
43,(2020/03/02) 18-19,139.16,60
44,(2020/03/02) 19-20,244.36,60
45,(2020/03/02) 20-21,243.33,50
46,(2020/03/02) 21-22,82.88,72
47,(2020/03/02) 22-23,34.09,46
48,(2020/03/02) 23-24,34.05,63
49,(2020/03/03) 00-01,51.74,41
50,(2020/03/03) 01-02,51.74,41
51,(2020/03/03) 02-03,34.69,46
52,(2020/03/03) 03-04,34.68,48
53,(2020/03/03) 04-05,51.77,41
54,(2020/03/03) 05-06,34.69,44
55,(2020/03/03) 06-07,218.23,41
56,(2020/03/03) 07-08,131,80
57,(2020/03/03) 08-09,172.57,64
58,(2020/03/03) 09-10,173.5,40
59,(2020/03/03) 10-11,64.98,91.5
60,(2020/03/03) 11-12,64.97,106
61,(2020/03/03) 12-13,64.97,106.9
62,(2020/03/03) 13-14,64.98,99.2
63,(2020/03/03) 14-15,64.97,104
64,(2020/03/03) 15-16,64.98,94.5
65,(2020/03/03) 16-17,106.5,73
66,(2020/03/03) 17-18,154.67,24
67,(2020/03/03) 18-19,282,0
68,(2020/03/03) 19-20,282,0
69,(2020/03/03) 20-21,282,0
70,(2020/03/03) 21-22,173.86,26.7
71,(2020/03/03) 22-23,51.87,40
72,(2020/03/03) 23-24,34.69,43.7
73,(2020/03/04) 00-01,50.26,37
74,(2020/03/04) 01-02,42.6,37
75,(2020/03/04) 02-03,34.98,45
76,(2020/03/04) 03-04,34.97,52
77,(2020/03/04) 04-05,34.97,53
78,(2020/03/04) 05-06,33.99,87
79,(2020/03/04) 06-07,64.96,136.7
80,(2020/03/04) 07-08,89.96,137
81,(2020/03/04) 08-09,89.94,143
82,(2020/03/04) 09-10,89.93,152
83,(2020/03/04) 10-11,64.91,165.2
84,(2020/03/04) 11-12,64.91,163.4
85,(2020/03/04) 12-13,64.92,173.2
86,(2020/03/04) 13-14,64.92,170.5
87,(2020/03/04) 14-15,64.92,170.7
88,(2020/03/04) 15-16,64.93,166.9
89,(2020/03/04) 16-17,64.93,174
90,(2020/03/04) 17-18,64.93,178
91,(2020/03/04) 18-19,239.31,42.1
92,(2020/03/04) 19-20,260,40
93,(2020/03/04) 20-21,249.05,40
94,(2020/03/04) 21-22,172.35,60
95,(2020/03/04) 22-23,34.98,47.1
96,(2020/03/04) 23-24,34.89,88
97,(2020/03/05) 00-01,35,35
98,(2020/03/05) 01-02,34.95,88.8
99,(2020/03/05) 02-03,34.94,97.7
100,(2020/03/05) 03-04,34.93,100.7
101,(2020/03/05) 04-05,34.95,88.8
102,(2020/03/05) 05-06,34.95,87.8
103,(2020/03/05) 06-07,64.98,101.5
104,(2020/03/05) 07-08,89.96,124
105,(2020/03/05) 08-09,89.93,151
106,(2020/03/05) 09-10,89.91,172
107,(2020/03/05) 10-11,64.84,175
108,(2020/03/05) 11-12,64.76,181
109,(2020/03/05) 12-13,64.76,192
110,(2020/03/05) 13-14,64.61,181
111,(2020/03/05) 14-15,64.9,188.1
112,(2020/03/05) 15-16,64.91,187.2
113,(2020/03/05) 16-17,64.91,189.9
114,(2020/03/05) 17-18,64.93,161.7
115,(2020/03/05) 18-19,239.45,42.1
116,(2020/03/05) 19-20,249.05,40
117,(2020/03/05) 20-21,270.38,37
118,(2020/03/05) 21-22,153.67,65
119,(2020/03/05) 22-23,34.99,44.9
120,(2020/03/05) 23-24,34.95,80.4
121,(2020/03/06) 00-01,34.98,53
122,(2020/03/06) 01-02,34.97,63
123,(2020/03/06) 02-03,34.96,70
124,(2020/03/06) 03-04,34.96,73
125,(2020/03/06) 04-05,34.97,61
126,(2020/03/06) 05-06,34.94,95.8
127,(2020/03/06) 06-07,64.95,138.8
128,(2020/03/06) 07-08,89.94,157
129,(2020/03/06) 08-09,89.95,146
130,(2020/03/06) 09-10,89.93,180
131,(2020/03/06) 10-11,64.9,221.2
132,(2020/03/06) 11-12,64.9,228.7
133,(2020/03/06) 12-13,64.9,238.5
134,(2020/03/06) 13-14,64.86,235
135,(2020/03/06) 14-15,64.9,239.5
136,(2020/03/06) 15-16,64.91,228.4
137,(2020/03/06) 16-17,64.91,224
138,(2020/03/06) 17-18,64.9,214.3
139,(2020/03/06) 18-19,234.56,44.3
140,(2020/03/06) 19-20,243.87,40.1
141,(2020/03/06) 20-21,244.04,40
142,(2020/03/06) 21-22,152.99,63
143,(2020/03/06) 22-23,34.99,42.9
144,(2020/03/06) 23-24,34.95,81.3
145,(2020/03/07) 00-01,50.39,35
146,(2020/03/07) 01-02,34.57,47.6
147,(2020/03/07) 02-03,34.56,52.1
148,(2020/03/07) 03-04,34.53,61.6
149,(2020/03/07) 04-05,34.56,50.7
150,(2020/03/07) 05-06,57.03,35
151,(2020/03/07) 06-07,57.28,34
152,(2020/03/07) 07-08,64.99,82.7
153,(2020/03/07) 08-09,64.98,86.6
154,(2020/03/07) 09-10,64.97,104
155,(2020/03/07) 10-11,64.95,133.1
156,(2020/03/07) 11-12,64.96,125.4
157,(2020/03/07) 12-13,123.24,26
158,(2020/03/07) 13-14,104.27,36
159,(2020/03/07) 14-15,78.13,36
160,(2020/03/07) 15-16,126.08,21
161,(2020/03/07) 16-17,156.65,5
162,(2020/03/07) 17-18,154.67,12
163,(2020/03/07) 18-19,65,54
164,(2020/03/07) 19-20,275,0
165,(2020/03/07) 20-21,275,0
166,(2020/03/07) 21-22,80.54,36
167,(2020/03/07) 22-23,50.67,36
168,(2020/03/07) 23-24,50.67,36
169,(2020/03/08) 00-01,34.6,33
170,(2020/03/08) 01-02,34.58,41
171,(2020/03/08) 02-03,34.58,41
172,(2020/03/08) 03-04,34.57,47
173,(2020/03/08) 04-05,34.58,44
174,(2020/03/08) 05-06,52.92,32
175,(2020/03/08) 06-07,34.57,44
176,(2020/03/08) 07-08,55.74,36
177,(2020/03/08) 08-09,58.16,35
178,(2020/03/08) 09-10,34.6,36.4
179,(2020/03/08) 10-11,34.6,38.4
180,(2020/03/08) 11-12,34.58,47
181,(2020/03/08) 12-13,34.59,45.1
182,(2020/03/08) 13-14,34.59,40.5
183,(2020/03/08) 14-15,34.59,43
184,(2020/03/08) 15-16,34.59,44.5
185,(2020/03/08) 16-17,55.7,38
186,(2020/03/08) 17-18,155.57,9
187,(2020/03/08) 18-19,271.25,15
188,(2020/03/08) 19-20,275,0
189,(2020/03/08) 20-21,275,0
190,(2020/03/08) 21-22,57.7,33
191,(2020/03/08) 22-23,50.6,33
192,(2020/03/08) 23-24,50.1,33
193,(2020/03/09) 00-01,34.95,86
194,(2020/03/09) 01-02,34.93,102
195,(2020/03/09) 02-03,34.92,113
196,(2020/03/09) 03-04,34.92,116
197,(2020/03/09) 04-05,34.93,104
198,(2020/03/09) 05-06,34.91,117.4
199,(2020/03/09) 06-07,64.93,181.7
200,(2020/03/09) 07-08,89.92,178
201,(2020/03/09) 08-09,89.93,158
202,(2020/03/09) 09-10,89.92,172
203,(2020/03/09) 10-11,64.53,194
204,(2020/03/09) 11-12,64.54,200
205,(2020/03/09) 12-13,64.52,201
206,(2020/03/09) 13-14,64.54,205
207,(2020/03/09) 14-15,64.56,200
208,(2020/03/09) 15-16,64.57,201
209,(2020/03/09) 16-17,64.57,201
210,(2020/03/09) 17-18,64.59,210
211,(2020/03/09) 18-19,234.6,44.3
212,(2020/03/09) 19-20,270.5,36
213,(2020/03/09) 20-21,260,40
214,(2020/03/09) 21-22,172.35,68
215,(2020/03/09) 22-23,34.97,60.9
216,(2020/03/09) 23-24,34.93,106.9
217,(2020/03/10) 00-01,50.02,38
218,(2020/03/10) 01-02,50.02,38
219,(2020/03/10) 02-03,42.01,38
220,(2020/03/10) 03-04,33.97,38
221,(2020/03/10) 04-05,50.05,38
222,(2020/03/10) 05-06,91.29,31
223,(2020/03/10) 06-07,64.99,88.8
224,(2020/03/10) 07-08,89.98,97
225,(2020/03/10) 08-09,89.95,138
226,(2020/03/10) 09-10,89.93,162
227,(2020/03/10) 10-11,64.93,177.5
228,(2020/03/10) 11-12,64.92,185.2
229,(2020/03/10) 12-13,64.92,194.7
230,(2020/03/10) 13-14,64.92,194.6
231,(2020/03/10) 14-15,64.93,180.9
232,(2020/03/10) 15-16,64.94,166.8
233,(2020/03/10) 16-17,64.95,157.2
234,(2020/03/10) 17-18,64.96,128.5
235,(2020/03/10) 18-19,246.3,48.9
236,(2020/03/10) 19-20,271.25,30
237,(2020/03/10) 20-21,267.5,40
238,(2020/03/10) 21-22,173.29,45
239,(2020/03/10) 22-23,50.05,39
240,(2020/03/10) 23-24,34.6,39
241,(2020/03/11) 00-01,33.93,42
242,(2020/03/11) 01-02,33.92,42
243,(2020/03/11) 02-03,33.92,42
244,(2020/03/11) 03-04,33.92,42
245,(2020/03/11) 04-05,33.93,42
246,(2020/03/11) 05-06,33.95,42
247,(2020/03/11) 06-07,64.98,102.7
248,(2020/03/11) 07-08,89.98,105
249,(2020/03/11) 08-09,89.96,128
250,(2020/03/11) 09-10,89.94,149
251,(2020/03/11) 10-11,64.93,171.1
252,(2020/03/11) 11-12,64.92,176.7
253,(2020/03/11) 12-13,64.93,178.9
254,(2020/03/11) 13-14,64.91,202.6
255,(2020/03/11) 14-15,64.93,177.2
256,(2020/03/11) 15-16,64.95,161.3
257,(2020/03/11) 16-17,64.95,155.5
258,(2020/03/11) 17-18,64.94,159.8
259,(2020/03/11) 18-19,246.56,48.8
260,(2020/03/11) 19-20,273.13,15
261,(2020/03/11) 20-21,272.5,20
262,(2020/03/11) 21-22,172.48,69.7
263,(2020/03/11) 22-23,34,43
264,(2020/03/11) 23-24,33.94,43
265,(2020/03/12) 00-01,78.16,42
266,(2020/03/12) 01-02,34.99,58
267,(2020/03/12) 02-03,34.98,67
268,(2020/03/12) 03-04,34.97,71
269,(2020/03/12) 04-05,34.98,59
270,(2020/03/12) 05-06,34.99,62
271,(2020/03/12) 06-07,227.9,30
272,(2020/03/12) 07-08,174.34,19
273,(2020/03/12) 08-09,174.26,21
274,(2020/03/12) 09-10,173.69,37
275,(2020/03/12) 10-11,124.57,55
276,(2020/03/12) 11-12,122.79,63
277,(2020/03/12) 12-13,121.06,71
278,(2020/03/12) 13-14,119.9,75
279,(2020/03/12) 14-15,122.79,63
280,(2020/03/12) 15-16,126.55,48
281,(2020/03/12) 16-17,152.66,47
282,(2020/03/12) 17-18,151.18,59.3
283,(2020/03/12) 18-19,244,50
284,(2020/03/12) 19-20,244,50
285,(2020/03/12) 20-21,244,50
286,(2020/03/12) 21-22,172.23,77.7
287,(2020/03/12) 22-23,59.51,44
288,(2020/03/12) 23-24,79.27,36
289,(2020/03/13) 00-01,77.93,38
290,(2020/03/13) 01-02,35.44,68
291,(2020/03/13) 02-03,35.43,75
292,(2020/03/13) 03-04,35.42,78
293,(2020/03/13) 04-05,35.44,68.2
294,(2020/03/13) 05-06,35.43,73
295,(2020/03/13) 06-07,172.93,78
296,(2020/03/13) 07-08,172.45,69.8
297,(2020/03/13) 08-09,170.45,81
298,(2020/03/13) 09-10,169.26,81
299,(2020/03/13) 10-11,124.39,52.5
300,(2020/03/13) 11-12,122.5,60.5
301,(2020/03/13) 12-13,122,63.3
302,(2020/03/13) 13-14,121.99,62.5
303,(2020/03/13) 14-15,122.84,59.2
304,(2020/03/13) 15-16,124.04,55.2
305,(2020/03/13) 16-17,150.98,58.3
306,(2020/03/13) 17-18,150.98,57.5
307,(2020/03/13) 18-19,235.75,51.9
308,(2020/03/13) 19-20,237.35,51.5
309,(2020/03/13) 20-21,238.45,51.3
310,(2020/03/13) 21-22,173.86,30
311,(2020/03/13) 22-23,82.67,13
312,(2020/03/13) 23-24,80.33,26
313,(2020/03/14) 00-01,82.1,17
314,(2020/03/14) 01-02,35.5,43
315,(2020/03/14) 02-03,35.47,55
316,(2020/03/14) 03-04,35.46,60
317,(2020/03/14) 04-05,35.46,60
318,(2020/03/14) 05-06,35.47,56
319,(2020/03/14) 06-07,29.99,63.8
320,(2020/03/14) 07-08,66.08,85
321,(2020/03/14) 08-09,67.16,84
322,(2020/03/14) 09-10,66.93,79
323,(2020/03/14) 10-11,66.77,79
324,(2020/03/14) 11-12,65.11,80
325,(2020/03/14) 12-13,30,48.5
326,(2020/03/14) 13-14,30,49.8
327,(2020/03/14) 14-15,30,52.9
328,(2020/03/14) 15-16,30,50.7
329,(2020/03/14) 16-17,30,50.7
330,(2020/03/14) 17-18,29.99,54.8
331,(2020/03/14) 18-19,67.86,60
332,(2020/03/14) 19-20,240.02,50.9
333,(2020/03/14) 20-21,200.07,20
334,(2020/03/14) 21-22,82.53,42
