,0,1,2
150,(2021/12/07) 05-06,45.08,169
151,(2021/12/07) 06-07,182.05,166
152,(2021/12/07) 07-08,182.02,108
153,(2021/12/07) 08-09,182.04,91
154,(2021/12/07) 09-10,231.60,68
155,(2021/12/07) 10-11,122.01,56
156,(2021/12/07) 11-12,121.85,59
157,(2021/12/07) 12-13,121.16,72
158,(2021/12/07) 13-14,121.37,68
159,(2021/12/07) 14-15,121.16,72
160,(2021/12/07) 15-16,121.27,70
161,(2021/12/07) 16-17,121.32,69
162,(2021/12/07) 17-18,182.05,104
163,(2021/12/07) 18-19,316.30,37
164,(2021/12/07) 19-20,319.50,5
165,(2021/12/07) 20-21,319.50,5
166,(2021/12/07) 21-22,315.54,58
167,(2021/12/07) 22-23,50.71,159.60
168,(2021/12/07) 23-24,48.82,176
169,(2021/12/08) 00-01,50.64,187.60
170,(2021/12/08) 01-02,50.51,187.30
171,(2021/12/08) 02-03,50.46,183.20
172,(2021/12/08) 03-04,50.50,182.50
173,(2021/12/08) 04-05,50.58,185.20
174,(2021/12/08) 05-06,50.56,136
175,(2021/12/08) 06-07,182.04,164
176,(2021/12/08) 07-08,182.02,101
177,(2021/12/08) 08-09,182,79
178,(2021/12/08) 09-10,182.02,79
179,(2021/12/08) 10-11,112.64,98
180,(2021/12/08) 11-12,96.05,101
181,(2021/12/08) 12-13,81.04,105
182,(2021/12/08) 13-14,81.03,105
183,(2021/12/08) 14-15,81.03,105
184,(2021/12/08) 15-16,81.05,104
185,(2021/12/08) 16-17,81.04,104
186,(2021/12/08) 17-18,178.15,71
187,(2021/12/08) 18-19,262.01,55
188,(2021/12/08) 19-20,319.50,5
189,(2021/12/08) 20-21,319.50,5
190,(2021/12/08) 21-22,316.23,49
191,(2021/12/08) 22-23,50.91,155.70
192,(2021/12/08) 23-24,50.53,154.60
193,(2021/12/09) 00-01,50.67,178
194,(2021/12/09) 01-02,50.08,183.70
195,(2021/12/09) 02-03,50.06,182.50
196,(2021/12/09) 03-04,50.05,175.10
197,(2021/12/09) 04-05,50.06,179.60
198,(2021/12/09) 05-06,45.06,100
199,(2021/12/09) 06-07,182.08,183
200,(2021/12/09) 07-08,182.06,117
201,(2021/12/09) 08-09,231.90,64
202,(2021/12/09) 09-10,234.56,43
203,(2021/12/09) 10-11,122.81,41
204,(2021/12/09) 11-12,122.49,47
205,(2021/12/09) 12-13,122.28,51
206,(2021/12/09) 13-14,121.94,57.30
207,(2021/12/09) 14-15,122.17,53
208,(2021/12/09) 15-16,121.53,65
209,(2021/12/09) 16-17,81.10,105
210,(2021/12/09) 17-18,179.31,83
211,(2021/12/09) 18-19,262.03,55
212,(2021/12/09) 19-20,315.80,42
213,(2021/12/09) 20-21,316.40,36
214,(2021/12/09) 21-22,283.21,77.80
215,(2021/12/09) 22-23,50.10,180
216,(2021/12/09) 23-24,50.05,165.40
217,(2021/12/10) 00-01,50.10,191.60
218,(2021/12/10) 01-02,50.05,190.80
219,(2021/12/10) 02-03,50.04,190.90
220,(2021/12/10) 03-04,50.03,186.70
221,(2021/12/10) 04-05,50.04,184.90
