,0,1,2
0,Date:Time,Price(USD/MWh),Turnover(MWh)
1,(2016/04/01) 00-01,50.99,280
2,(2016/04/01) 01-02,50.99,280
3,(2016/04/01) 02-03,50.99,280
4,(2016/04/01) 03-04,50.99,280
5,(2016/04/01) 04-05,50.99,280
6,(2016/04/01) 05-06,51.73,280
7,(2016/04/01) 06-07,114.69,70
8,(2016/04/01) 07-08,125.43,20
9,(2016/04/01) 08-09,113.96,0
10,(2016/04/01) 09-10,113.96,0
11,(2016/04/01) 10-11,110,49.7
12,(2016/04/01) 11-12,110,49.7
13,(2016/04/01) 12-13,110,49.7
14,(2016/04/01) 13-14,110,49.7
15,(2016/04/01) 14-15,110,49.7
16,(2016/04/01) 15-16,110,49.7
17,(2016/04/01) 16-17,113.96,0
18,(2016/04/01) 17-18,120.09,3
19,(2016/04/01) 18-19,120.86,2
20,(2016/04/01) 19-20,120.86,2
21,(2016/04/01) 20-21,120.86,2
22,(2016/04/01) 21-22,91.11,110
23,(2016/04/01) 22-23,50.99,280
24,(2016/04/01) 23-24,50.99,280
25,(2016/04/02) 00-01,52.11,230
26,(2016/04/02) 01-02,52.11,230
27,(2016/04/02) 02-03,52.11,230
28,(2016/04/02) 03-04,52.11,230
29,(2016/04/02) 04-05,52.11,230
30,(2016/04/02) 05-06,52.11,230
31,(2016/04/02) 06-07,62.77,170
32,(2016/04/02) 07-08,119.76,60
33,(2016/04/02) 08-09,110.08,20
34,(2016/04/02) 09-10,110.08,20
35,(2016/04/02) 10-11,110.07,24.7
36,(2016/04/02) 11-12,110.07,24.7
37,(2016/04/02) 12-13,82.4,203
38,(2016/04/02) 13-14,85.04,232.7
39,(2016/04/02) 14-15,85.04,232.7
40,(2016/04/02) 15-16,85.04,232.7
41,(2016/04/02) 16-17,85.04,232.7
42,(2016/04/02) 17-18,85.06,213
43,(2016/04/02) 18-19,120.08,28.3
44,(2016/04/02) 19-20,120.08,28.3
45,(2016/04/02) 20-21,85.03,300
46,(2016/04/02) 21-22,58.16,179.2
47,(2016/04/02) 22-23,52.11,230
48,(2016/04/02) 23-24,52.11,230
49,(2016/04/03) 00-01,52.08,237.9
50,(2016/04/03) 01-02,52.08,237.9
51,(2016/04/03) 02-03,52.08,237.9
52,(2016/04/03) 03-04,52.08,237.9
53,(2016/04/03) 04-05,52.09,233.7
54,(2016/04/03) 05-06,53.03,230
55,(2016/04/03) 06-07,83.98,150
56,(2016/04/03) 07-08,93.86,133
57,(2016/04/03) 08-09,103.01,93.1
58,(2016/04/03) 09-10,103.01,93.1
59,(2016/04/03) 10-11,68.92,103
60,(2016/04/03) 11-12,68.92,103
61,(2016/04/03) 12-13,68.92,103
62,(2016/04/03) 13-14,68.92,103
63,(2016/04/03) 14-15,68.92,103
64,(2016/04/03) 15-16,68.92,103
65,(2016/04/03) 16-17,68.92,103
66,(2016/04/03) 17-18,85.04,133
67,(2016/04/03) 18-19,114.92,100
68,(2016/04/03) 19-20,114.92,100
69,(2016/04/03) 20-21,111.65,100
70,(2016/04/03) 21-22,57.17,180
71,(2016/04/03) 22-23,52.11,230
72,(2016/04/03) 23-24,52.11,230
73,(2016/04/04) 00-01,52.2,230
74,(2016/04/04) 01-02,52.2,230
75,(2016/04/04) 02-03,52.2,230
76,(2016/04/04) 03-04,52.2,230
77,(2016/04/04) 04-05,52.2,230
78,(2016/04/04) 05-06,52.3,230
79,(2016/04/04) 06-07,107.21,120
80,(2016/04/04) 07-08,178.94,0
81,(2016/04/04) 08-09,146.99,0
82,(2016/04/04) 09-10,146.99,0
83,(2016/04/04) 10-11,111.63,0
84,(2016/04/04) 11-12,107.85,50
85,(2016/04/04) 12-13,107.85,50
86,(2016/04/04) 13-14,107.85,50
87,(2016/04/04) 14-15,107.85,50
88,(2016/04/04) 15-16,107.85,50
89,(2016/04/04) 16-17,107.85,50
90,(2016/04/04) 17-18,151.99,0
91,(2016/04/04) 18-19,178.94,0
92,(2016/04/04) 19-20,178.94,0
93,(2016/04/04) 20-21,127.3,10
94,(2016/04/04) 21-22,81.8,110
95,(2016/04/04) 22-23,52.3,230
96,(2016/04/04) 23-24,52.2,230
97,(2016/04/05) 00-01,52.07,242.9
98,(2016/04/05) 01-02,52.07,242.9
99,(2016/04/05) 02-03,52.07,242.9
100,(2016/04/05) 03-04,52.07,242.9
101,(2016/04/05) 04-05,52.07,242.9
102,(2016/04/05) 05-06,52.69,230
103,(2016/04/05) 06-07,116.96,70
104,(2016/04/05) 07-08,127.92,20
105,(2016/04/05) 08-09,115.12,0
106,(2016/04/05) 09-10,115.12,0
107,(2016/04/05) 10-11,110.08,10.2
108,(2016/04/05) 11-12,110.08,10.2
109,(2016/04/05) 12-13,110.08,10.2
110,(2016/04/05) 13-14,110.08,10.2
111,(2016/04/05) 14-15,110.08,10.2
112,(2016/04/05) 15-16,110.08,10.2
113,(2016/04/05) 16-17,120.86,1.4
114,(2016/04/05) 17-18,120.12,0
115,(2016/04/05) 18-19,133.68,8.7
116,(2016/04/05) 19-20,133.68,8.7
117,(2016/04/05) 20-21,120.12,0
118,(2016/04/05) 21-22,92.45,105.5
