,0,1,2
0,Date:Time,Price(USD/MWh),Turnover(MWh)
1,(2020/12/01) 00-01,50.58,159.6
2,(2020/12/01) 01-02,50.55,173.8
3,(2020/12/01) 02-03,50.55,173.5
4,(2020/12/01) 03-04,50.53,179.8
5,(2020/12/01) 04-05,50.54,178.7
6,(2020/12/01) 05-06,51.67,174
7,(2020/12/01) 06-07,52.05,155
8,(2020/12/01) 07-08,189.09,104
9,(2020/12/01) 08-09,190,76
10,(2020/12/01) 09-10,200.08,78
11,(2020/12/01) 10-11,125.16,67
12,(2020/12/01) 11-12,125.16,67
13,(2020/12/01) 12-13,125.16,67
14,(2020/12/01) 13-14,125.16,67
15,(2020/12/01) 14-15,125.16,67
16,(2020/12/01) 15-16,125.12,66
17,(2020/12/01) 16-17,125.12,66
18,(2020/12/01) 17-18,288.17,58
19,(2020/12/01) 18-19,298.95,60
20,(2020/12/01) 19-20,298.59,60
21,(2020/12/01) 20-21,125.19,40
22,(2020/12/01) 21-22,125.52,59
23,(2020/12/01) 22-23,50.99,220.2
24,(2020/12/01) 23-24,50.57,151.7
25,(2020/12/02) 00-01,50.27,153.7
26,(2020/12/02) 01-02,50.26,151.3
27,(2020/12/02) 02-03,50.26,146.5
28,(2020/12/02) 03-04,50.26,144.1
29,(2020/12/02) 04-05,50.26,148.6
30,(2020/12/02) 05-06,51.23,194
31,(2020/12/02) 06-07,53.05,149.1
32,(2020/12/02) 07-08,187.22,74
33,(2020/12/02) 08-09,187.24,74
34,(2020/12/02) 09-10,189.95,92
35,(2020/12/02) 10-11,124.24,85
36,(2020/12/02) 11-12,124.24,85
37,(2020/12/02) 12-13,124.24,86
38,(2020/12/02) 13-14,124.24,86
39,(2020/12/02) 14-15,124.24,86
40,(2020/12/02) 15-16,124.23,86
41,(2020/12/02) 16-17,124.23,86
42,(2020/12/02) 17-18,285.08,72
43,(2020/12/02) 18-19,299.01,59.4
44,(2020/12/02) 19-20,298.55,60
45,(2020/12/02) 20-21,125.01,40
46,(2020/12/02) 21-22,125.01,73
47,(2020/12/02) 22-23,50.71,258.3
48,(2020/12/02) 23-24,50.31,173.6
49,(2020/12/03) 00-01,50.13,172
50,(2020/12/03) 01-02,50.12,168
51,(2020/12/03) 02-03,50.12,164
52,(2020/12/03) 03-04,50.12,168
53,(2020/12/03) 04-05,50.14,172
54,(2020/12/03) 05-06,51.99,156
55,(2020/12/03) 06-07,53.08,103
56,(2020/12/03) 07-08,185.05,86
57,(2020/12/03) 08-09,185.05,81
58,(2020/12/03) 09-10,185.8,83
59,(2020/12/03) 10-11,120.03,75
60,(2020/12/03) 11-12,120.03,75
61,(2020/12/03) 12-13,120.03,81
62,(2020/12/03) 13-14,120.03,80
63,(2020/12/03) 14-15,120.03,80
64,(2020/12/03) 15-16,120.03,80
65,(2020/12/03) 16-17,120.03,80
66,(2020/12/03) 17-18,279.93,68
67,(2020/12/03) 18-19,298.13,60
68,(2020/12/03) 19-20,280.05,60
69,(2020/12/03) 20-21,120.04,40
70,(2020/12/03) 21-22,120.06,69
71,(2020/12/03) 22-23,50.15,156
72,(2020/12/03) 23-24,50.12,174
73,(2020/12/04) 00-01,50.27,154
74,(2020/12/04) 01-02,50.24,152
75,(2020/12/04) 02-03,50.21,150
76,(2020/12/04) 03-04,50.2,144
77,(2020/12/04) 04-05,50.25,152
78,(2020/12/04) 05-06,50.76,158
79,(2020/12/04) 06-07,53.05,154
80,(2020/12/04) 07-08,184.07,105
81,(2020/12/04) 08-09,184.07,105
82,(2020/12/04) 09-10,185.02,107
83,(2020/12/04) 10-11,118.06,100
84,(2020/12/04) 11-12,118.06,100
85,(2020/12/04) 12-13,118.06,100
86,(2020/12/04) 13-14,118.06,100
87,(2020/12/04) 14-15,118.06,100
88,(2020/12/04) 15-16,118.06,100
89,(2020/12/04) 16-17,118.06,100
90,(2020/12/04) 17-18,278.08,83
91,(2020/12/04) 18-19,297.08,60
92,(2020/12/04) 19-20,278.06,60
93,(2020/12/04) 20-21,118.04,40
94,(2020/12/04) 21-22,118.04,84
95,(2020/12/04) 22-23,50.89,182.5
96,(2020/12/04) 23-24,50.66,197
97,(2020/12/05) 00-01,46.98,120
98,(2020/12/05) 01-02,46.97,120
99,(2020/12/05) 02-03,46.98,120
100,(2020/12/05) 03-04,46.98,120
101,(2020/12/05) 04-05,46.98,120
102,(2020/12/05) 05-06,46.97,120
103,(2020/12/05) 06-07,47,170
104,(2020/12/05) 07-08,60.05,78
105,(2020/12/05) 08-09,60.06,78
106,(2020/12/05) 09-10,60.07,80
107,(2020/12/05) 10-11,60.09,95
108,(2020/12/05) 11-12,60.08,95
109,(2020/12/05) 12-13,50.07,111
110,(2020/12/05) 13-14,50.06,128
111,(2020/12/05) 14-15,50.06,130
112,(2020/12/05) 15-16,50.05,134
113,(2020/12/05) 16-17,50.05,139
114,(2020/12/05) 17-18,50.05,128
115,(2020/12/05) 18-19,64.97,87
116,(2020/12/05) 19-20,150.62,40
117,(2020/12/05) 20-21,50.09,40
118,(2020/12/05) 21-22,50.08,82
119,(2020/12/05) 22-23,50.01,115.7
120,(2020/12/05) 23-24,49.57,117
121,(2020/12/06) 00-01,49.31,117
122,(2020/12/06) 01-02,44.99,117
123,(2020/12/06) 02-03,44.98,117
124,(2020/12/06) 03-04,44.98,117
125,(2020/12/06) 04-05,44.98,117
126,(2020/12/06) 05-06,44.97,117
127,(2020/12/06) 06-07,44.98,168
128,(2020/12/06) 07-08,44.99,168
129,(2020/12/06) 08-09,50.01,162
130,(2020/12/06) 09-10,50.02,146
131,(2020/12/06) 10-11,50.05,140
132,(2020/12/06) 11-12,50.04,142
133,(2020/12/06) 12-13,50.03,154
134,(2020/12/06) 13-14,50,182.8
135,(2020/12/06) 14-15,50,181.8
136,(2020/12/06) 15-16,50.02,170
137,(2020/12/06) 16-17,50.02,163.1
138,(2020/12/06) 17-18,50,182.8
139,(2020/12/06) 18-19,50.01,116
140,(2020/12/06) 19-20,50.07,62
141,(2020/12/06) 20-21,50.05,76
142,(2020/12/06) 21-22,50,120.8
143,(2020/12/06) 22-23,50.01,117.9
144,(2020/12/06) 23-24,44.98,120
145,(2020/12/07) 00-01,50.08,70
146,(2020/12/07) 01-02,50.06,70
147,(2020/12/07) 02-03,50.05,70
148,(2020/12/07) 03-04,50.04,70
149,(2020/12/07) 04-05,50.06,70
150,(2020/12/07) 05-06,51.05,170
151,(2020/12/07) 06-07,53.02,194
152,(2020/12/07) 07-08,180.03,106
153,(2020/12/07) 08-09,180.05,106
154,(2020/12/07) 09-10,180.06,107
155,(2020/12/07) 10-11,115.07,97
156,(2020/12/07) 11-12,115.07,97
157,(2020/12/07) 12-13,115.07,97
158,(2020/12/07) 13-14,115.06,97
159,(2020/12/07) 14-15,115.06,97
160,(2020/12/07) 15-16,115.06,97
161,(2020/12/07) 16-17,115.04,97
162,(2020/12/07) 17-18,259.96,82
163,(2020/12/07) 18-19,290.15,60
164,(2020/12/07) 19-20,290.15,60
165,(2020/12/07) 20-21,115,40
166,(2020/12/07) 21-22,115.05,87
167,(2020/12/07) 22-23,50.48,72
168,(2020/12/07) 23-24,50.03,70
169,(2020/12/08) 00-01,50.61,156
170,(2020/12/08) 01-02,50.46,154
171,(2020/12/08) 02-03,50.44,152
172,(2020/12/08) 03-04,50.4,156
173,(2020/12/08) 04-05,50.59,160
174,(2020/12/08) 05-06,50.15,82
175,(2020/12/08) 06-07,50.14,92
176,(2020/12/08) 07-08,175.06,92
177,(2020/12/08) 08-09,175.06,92
178,(2020/12/08) 09-10,175.06,94
179,(2020/12/08) 10-11,115.11,89
180,(2020/12/08) 11-12,115.11,88
181,(2020/12/08) 12-13,115.11,88
182,(2020/12/08) 13-14,115.1,88
183,(2020/12/08) 14-15,115.1,88
184,(2020/12/08) 15-16,115.09,88
185,(2020/12/08) 16-17,115.09,88
186,(2020/12/08) 17-18,259.03,74
187,(2020/12/08) 18-19,289.5,60
188,(2020/12/08) 19-20,289.5,60
189,(2020/12/08) 20-21,113.07,40
190,(2020/12/08) 21-22,113.07,78
191,(2020/12/08) 22-23,83.14,17
192,(2020/12/08) 23-24,50.75,164.2
193,(2020/12/09) 00-01,50.23,133.3
194,(2020/12/09) 01-02,50.19,133.9
195,(2020/12/09) 02-03,50.19,128.2
196,(2020/12/09) 03-04,50.19,128.2
197,(2020/12/09) 04-05,50.19,133.1
198,(2020/12/09) 05-06,50.16,90
199,(2020/12/09) 06-07,50.14,71
200,(2020/12/09) 07-08,170.1,91
201,(2020/12/09) 08-09,170.09,91
202,(2020/12/09) 09-10,170.09,93
203,(2020/12/09) 10-11,113.1,88
204,(2020/12/09) 11-12,113.1,88
205,(2020/12/09) 12-13,113.1,88
206,(2020/12/09) 13-14,113.1,88
207,(2020/12/09) 14-15,113.1,87
208,(2020/12/09) 15-16,113.1,87
209,(2020/12/09) 16-17,113.1,87
210,(2020/12/09) 17-18,250.06,73
211,(2020/12/09) 18-19,280.01,60
