,0,1,2
0,Date:Time,Price(USD/MWh),Turnover(MWh)
1,(2020/08/01) 00-01,19.98,110
2,(2020/08/01) 01-02,19.97,101
3,(2020/08/01) 02-03,19.96,89
4,(2020/08/01) 03-04,19.96,90
5,(2020/08/01) 04-05,19.98,110
6,(2020/08/01) 05-06,22.91,156
7,(2020/08/01) 06-07,19.99,155
8,(2020/08/01) 07-08,39.93,200
9,(2020/08/01) 08-09,39.97,238
10,(2020/08/01) 09-10,39.95,198
11,(2020/08/01) 10-11,39.95,193
12,(2020/08/01) 11-12,39.95,196
13,(2020/08/01) 12-13,22.94,188
14,(2020/08/01) 13-14,22.91,164
15,(2020/08/01) 14-15,21.45,151
16,(2020/08/01) 15-16,19.99,135
17,(2020/08/01) 16-17,22.92,160
18,(2020/08/01) 17-18,23.17,207
19,(2020/08/01) 18-19,64.92,155
20,(2020/08/01) 19-20,64.9,201
21,(2020/08/01) 20-21,23.19,185
22,(2020/08/01) 21-22,22.94,175
23,(2020/08/01) 22-23,22.93,171
24,(2020/08/01) 23-24,19.99,129
25,(2020/08/02) 00-01,19.97,98
26,(2020/08/02) 01-02,19.97,91
27,(2020/08/02) 02-03,19.96,80
28,(2020/08/02) 03-04,19.95,80
29,(2020/08/02) 04-05,19.97,99
30,(2020/08/02) 05-06,19.99,127
31,(2020/08/02) 06-07,19.97,147
32,(2020/08/02) 07-08,19.99,169
33,(2020/08/02) 08-09,22.93,214
34,(2020/08/02) 09-10,22.95,214
35,(2020/08/02) 10-11,22.95,213
36,(2020/08/02) 11-12,22.92,194
37,(2020/08/02) 12-13,22.92,194
38,(2020/08/02) 13-14,22.9,179
39,(2020/08/02) 14-15,19.99,163
40,(2020/08/02) 15-16,19.98,146
41,(2020/08/02) 16-17,22.9,177
42,(2020/08/02) 17-18,24.65,252
43,(2020/08/02) 18-19,39.94,162
44,(2020/08/02) 19-20,39.93,199
45,(2020/08/02) 20-21,39.9,210
46,(2020/08/02) 21-22,22.99,249
47,(2020/08/02) 22-23,22.92,172
48,(2020/08/02) 23-24,19.97,119
49,(2020/08/03) 00-01,20.93,42
50,(2020/08/03) 01-02,20.93,41
51,(2020/08/03) 02-03,20.93,41
52,(2020/08/03) 03-04,20.93,43
