,year,month,volume_mean,day_of_week,value_mean,price_max,price_min,price_mean,power_max,power_min,power_mean,price_morning_max,price_evening_max,price_standard,off_price_mean,standard_price_mean,morning_price_mean,evening_price_mean,off_hour_mean,standard_hour_mean,morning_hour_mean,evening_hour_mean,off_value,standard_value,morning_value,evening_value,standard_price_max,off_price_max,morning_price_max,evening_price_max,standard_price_min,off_price_min,morning_price_min,evening_price_min,volume,morning_volume,evening_volume,standard_volume,off_volume,value,off_hour_count,standard_hour_count,morning_hour_count,evening_hour_count,price_weight_mean,off_price_weight_mean,standard_price_weight_mean,morning_price_weight_mean,evening_price_weight_mean,off_power,morning_power,standard_power,evening_power,evening_days,morning_days,days
0,2017,4,105.59333333333332,73.2,4124.475600000002,61.667999999999964,39.05999999999998,53.60604999999995,9.400000000000002,1.5666666666666667,4.561611111111114,62.60999999999995,62.60999999999995,57.89999999999996,39.05999999999997,67.31999999999995,67.31999999999996,67.31999999999996,11.233333333333333,10.2,3.0,2.0,123734.26800000005,0.0,0.0,0.0,67.32,39.06,67.32,67.32,67.31999999999998,39.05999999999998,67.32,67.32,3167.7999999999997,0.0,0.0,0.0,3167.7999999999997,123734.26800000005,337,255.0,60.0,40.0,39.060000000000024,39.060000000000024,,,,9.399999999999999,0.0,0.0,0.0,20.0,20.0,30
1,2017,5,107.09677419354838,65.29032258064517,3970.0774193548395,57.67800000000001,37.070000000000014,50.891763440860224,10.0,1.6129032258064515,4.634408602150536,58.67516129032256,58.67516129032256,55.351290322580624,37.070000000000014,61.875925925925905,61.709999999999994,61.70999999999999,10.193548387096774,10.407407407407407,3.0,2.0,117141.20000000001,4077.699999999999,1112.1,741.4,62.83,37.07000000000002,62.830000000000005,62.83,37.07,37.07,37.07,37.07,3320.0,30.0,20.0,110.0,3160.0,123072.40000000002,316,281.0,69.0,46.0,37.07000000000001,37.07,37.06999999999999,37.07,37.07,10.0,0.43478260869565216,0.3914590747330961,0.43478260869565216,23.0,23.0,31
2,2017,6,26.4,78.0,1176.3840000000002,68.36799999999997,64.39999999999996,66.38399999999996,4.4,0.0,1.1733333333333333,74.32,74.32,74.32,44.56,74.31999999999998,74.32,74.32,6.0,10.0,3.0,3.0,2352.7680000000005,0.0,0.0,0.0,74.31999999999998,44.56,74.32,74.32,74.31999999999998,44.56,74.32,74.32,52.8,0.0,0.0,0.0,52.8,2352.7680000000005,12,20.0,6.0,6.0,44.56000000000001,44.56000000000001,,,,4.3999999999999995,0.0,0.0,0.0,2.0,2.0,2
3,2017,7,273.3333333333333,81.33333333333333,11540.133333333333,68.40400000000002,42.22000000000002,54.766500000000015,20.0,6.666666666666667,12.333333333333334,64.04,64.04,53.129999999999995,42.220000000000006,72.90437500000002,74.95,74.95,13.333333333333334,9.0,3.0,3.0,33776.0,844.4,0.0,0.0,74.95000000000002,42.22000000000002,74.95,74.95,70.85875,42.22,74.95,74.95,820.0,0.0,0.0,20.0,800.0,34620.4,40,18.0,3.0,3.0,42.22,42.22,42.22,,,20.0,0.0,1.1111111111111112,0.0,1.0,1.0,3
4,2017,8,380.8333333333333,78.66666666666667,22038.583333333332,75.40000000000002,33.399999999999984,62.785416666666684,20.0,15.833333333333334,17.20138888888889,77.14999999999999,77.14999999999999,68.39999999999999,33.4,84.58749999999999,85.90000000000002,85.90000000000002,10.0,9.6,3.0,3.0,40080.0,61227.5,15462.0,15462.0,85.89999999999999,33.4,85.90000000000002,85.90000000000002,79.33749999999999,33.399999999999984,85.90000000000002,85.90000000000002,2285.0,180.0,180.0,725.0,1200.0,132231.5,60,48.0,12.0,12.0,57.86936542669584,33.4,84.45172413793104,85.9,85.9,20.0,15.0,15.104166666666666,15.0,4.0,4.0,6
5,2017,9,214.0,70.66666666666667,6623.3,56.446000000000026,30.95,48.00045000000003,20.0,2.6666666666666665,9.299999999999999,58.570666666666654,58.570666666666654,53.259,30.950000000000014,62.819999999999986,62.82,62.82,10.7,10.23076923076923,3.0,2.0,198699.0,0.0,0.0,0.0,62.82000000000001,30.950000000000006,62.82,62.82,62.82,30.949999999999992,62.82,62.82,6420.0,0.0,0.0,0.0,6420.0,198699.0,321,266.0,63.0,42.0,30.95,30.95,,,,20.0,0.0,0.0,0.0,21.0,21.0,30
6,2017,10,214.19354838709677,67.61290322580645,6237.316129032259,54.247999999999976,29.119999999999997,45.89733064516126,20.0,3.225806451612903,9.317204301075266,55.46387096774191,55.46387096774191,51.41096774193546,29.12,60.52999999999998,60.52999999999998,60.52999999999998,10.709677419354838,10.384615384615385,3.0,2.0,193356.80000000002,0.0,0.0,0.0,60.52999999999999,29.12,60.53,60.53,60.52999999999998,29.119999999999997,60.53,60.53,6640.0,0.0,0.0,0.0,6640.0,193356.80000000002,332,270.0,66.0,44.0,29.12,29.12,,,,20.0,0.0,0.0,0.0,22.0,22.0,31
7,2017,11,334.6666666666667,68.4,12981.280000000004,51.62800000000002,27.259999999999994,44.20760555555557,20.0,11.333333333333334,14.436111111111106,53.65866666666668,53.65866666666668,49.597333333333346,27.259999999999994,57.72000000000002,57.72000000000002,57.72000000000002,10.4,10.384615384615385,3.0,2.0,170102.40000000005,155844.0,38095.19999999998,25396.800000000007,57.72000000000002,27.26,57.72,57.72,57.72000000000001,27.259999999999994,57.72,57.72,10040.0,660.0,440.0,2700.0,6240.0,389438.40000000014,312,270.0,66.0,44.0,38.78868525896416,27.26000000000001,57.72,57.71999999999997,57.72000000000001,20.0,10.0,10.0,10.0,22.0,22.0,30
8,2017,12,322.92258064516136,72.25806451612904,11881.127999999999,51.97199999999998,26.740000000000002,43.06958064516128,20.0,10.438709677419357,14.097741935483866,53.19290322580644,53.19290322580644,48.10580645161289,26.740000000000006,58.27999999999998,58.27999999999999,58.27999999999999,11.0,10.23076923076923,3.0,2.0,182366.79999999993,133321.328,31576.103999999996,21050.736,58.27999999999999,26.740000000000006,58.28,58.28,58.27999999999998,26.74,58.28,58.28,10010.600000000002,541.8000000000001,361.1999999999999,2287.599999999999,6820.0,368314.96799999994,341,266.0,63.0,42.0,36.79249675344134,26.73999999999999,58.28000000000003,58.27999999999999,58.28000000000002,20.0,8.600000000000001,8.599999999999996,8.599999999999998,21.0,21.0,31
9,2018,1,214.19354838709677,65.29032258064517,6331.561290322582,55.25599999999997,29.559999999999985,46.79427956989246,20.0,3.225806451612903,9.268817204301072,56.49935483870968,56.49935483870968,52.35483870967741,29.80379506641364,59.810582010582024,60.283478260869565,60.283478260869565,10.193548387096774,10.407407407407407,3.0,2.0,184454.40000000005,8868.0,1773.6,1182.3999999999999,61.67999999999999,31.449411764705882,61.68,61.68,29.56,29.559999999999985,29.56,29.56,6640.0,60.0,40.0,300.0,6240.0,196278.40000000005,316,281.0,69.0,46.0,29.56000000000001,29.56000000000001,29.56,29.56,29.559999999999995,19.746835443037973,0.8695652173913043,1.0676156583629892,0.8695652173913043,23.0,23.0,31
