Month,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
1,0,0,0,0,0,0,99.75114456,486.8002796,615.4032235,645.8027437,680.4945068,616.2500714,591.2931925,612.2942476,567.0574878,536.1388382,509.1721456,421.9758114,123.2917766,0,0,0,0,0
2,0,0,0,0,0,0,0,374.4546891,506.7118397,579.2584782,590.4734128,557.5343156,541.2585946,561.1798218,536.2770794,526.8786142,492.0012406,363.3335264,20.51286075,0,0,0,0,0
3,0,0,0,0,0,0,0,482.8135207,629.1364673,651.0124051,672.7800702,650.7784586,645.8723476,623.8369007,629.9030773,606.7394666,574.054617,463.7004725,8.124326393,0,0,0,0,0
4,0,0,0,0,0,0,0,476.4553943,600.1928294,651.4338957,672.7839371,654.9459944,653.2087961,632.4465212,620.890334,586.760236,537.8189999,394.082033,0,0,0,0,0,0
5,0,0,0,0,0,0,0,471.5947192,620.2300633,665.0666004,671.9554569,675.7073025,679.3296075,661.0701743,651.592438,634.7076825,515.1087815,48.29836637,0,0,0,0,0,0
6,0,0,0,0,0,0,0,410.7966455,589.181873,639.7559015,648.8595167,632.9482496,632.8902463,631.2332859,611.1815513,596.5105878,463.3766208,4.17043599,0,0,0,0,0,0
7,0,0,0,0,0,0,0,407.3889527,594.2117243,643.7967968,665.9830523,671.2275157,664.7060134,669.283439,661.6850091,633.0739234,555.6308412,244.2798563,0,0,0,0,0,0
8,0,0,0,0,0,0,0,460.9018141,615.1074067,665.4368547,683.4555743,680.098151,669.647893,666.7235609,648.4873289,609.3409138,548.6791478,376.5205726,0,0,0,0,0,0
9,0,0,0,0,0,0,0,482.6056756,614.4510029,648.7754119,657.3492637,632.3334148,631.2999897,628.2461169,601.4399,553.3783804,484.6425575,340.1119124,0,0,0,0,0,0
10,0,0,0,0,0,0,210.8631987,538.6822821,652.2082395,675.3080466,686.6824903,667.6187448,666.7293612,660.2204262,640.323367,592.408789,520.0806295,362.1135241,0,0,0,0,0,0
11,0,0,0,0,0,0,327.0940424,493.4561563,570.0900927,586.6036272,614.422968,596.8354061,601.7241161,592.4058888,550.2413695,527.3590747,465.0461486,368.7732676,0.18367706,0,0,0,0,0
12,0,0,0,0,0,0,312.4830156,505.569175,590.4221766,615.7116076,644.3468613,622.5820964,601.3644958,606.1942357,576.098266,519.0559049,459.1568821,332.1161599,2.312397517,0,0,0,0,0
