Month,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
1,0,0,0,0,0,0,23,136,181,201,212,213,216,222,209,196,187,154,44,0,0,0,0,0
2,0,0,0,0,0,0,0,122,166,183,194,211,205,197,202,193,184,136,12,0,0,0,0,0
3,0,0,0,0,0,0,0,158,209,226,243,233,233,235,230,222,207,160,0,0,0,0,0,0
4,0,0,0,0,0,0,0,184,237,261,261,244,247,244,240,236,218,163,0,0,0,0,0,0
5,0,0,0,0,0,0,0,185,239,254,261,266,267,264,264,254,210,42,0,0,0,0,0,0
6,0,0,0,0,0,0,0,160,227,241,248,252,252,253,247,240,184,1,0,0,0,0,0,0
7,0,0,0,0,0,0,0,154,235,252,260,265,265,263,265,257,220,94,0,0,0,0,0,0
8,0,0,0,0,0,0,0,156,247,273,279,281,280,278,271,263,232,145,0,0,0,0,0,0
9,0,0,0,0,0,0,0,177,240,258,266,265,266,261,255,246,220,145,0,0,0,0,0,0
10,0,0,0,0,0,0,78,197,242,261,258,259,256,257,254,235,203,135,0,0,0,0,0,0
11,0,0,0,0,0,0,123,178,201,222,229,216,219,211,210,202,182,133,0,0,0,0,0,0
12,0,0,0,0,0,0,99,158,188,201,211,218,225,223,211,196,169,129,2,0,0,0,0,0
