Month,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
1, -   , -   , -   , -   , -   , -   , 64.74 , 251.01 , 420.22 , 594.40 , 663.11 , 695.27 , 694.44 , 690.05 , 619.32 , 569.46 , 465.79 , 391.77 , 73.23 , -   , -   , -   , -   , -   
2, -   , -   , -   , -   , -   , -   , 32.66 , 272.00 , 446.96 , 536.57 , 592.92 , 609.49 , 617.10 , 604.64 , 548.40 , 489.88 , 411.40 , 319.75 , 48.86 , -   , -   , -   , -   , -   
3, -   , -   , -   , -   , -   , -   , 33.31 , 266.18 , 430.56 , 565.10 , 637.30 , 667.87 , 673.28 , 664.47 , 754.48 , 613.51 , 587.64 , 351.35 , 10.26 , -   , -   , -   , -   , -   
4, -   , -   , -   , -   , -   , -   , 14.99 , 325.45 , 517.70 , 603.03 , 651.45 , 661.13 , 671.29 , 697.01 , 701.01 , 714.61 , 696.35 , 226.07 , -   , -   , -   , -   , -   , -   
5, -   , -   , -   , -   , -   , -   , 2.09 , 326.17 , 535.13 , 618.97 , 654.70 , 671.04 , 686.41 , 708.42 , 733.81 , 733.35 , 634.83 , 110.06 , -   , -   , -   , -   , -   , -   
6, -   , -   , -   , -   , -   , -   , 0.26 , 235.21 , 478.73 , 578.47 , 626.41 , 653.07 , 666.96 , 670.63 , 670.90 , 705.19 , 592.29 , 90.03 , -   , -   , -   , -   , -   , -   
7, -   , -   , -   , -   , -   , -   , -   , 205.24 , 465.43 , 574.47 , 620.35 , 640.94 , 661.59 , 684.92 , 707.93 , 717.85 , 652.22 , 139.41 , -   , -   , -   , -   , -   , -   
8, -   , -   , -   , -   , -   , -   , 9.75 , 291.53 , 543.46 , 654.37 , 703.03 , 725.72 , 745.59 , 742.56 , 748.38 , 751.56 , 713.40 , 201.63 , 3.74 , -   , -   , -   , -   , -   
9, -   , -   , -   , -   , -   , -   , 39.47 , 308.81 , 530.23 , 656.86 , 710.45 , 746.52 , 752.15 , 757.40 , 747.31 , 717.62 , 651.79 , 191.26 , 2.57 , -   , -   , -   , -   , -   
10, -   , -   , -   , -   , -   , -   , 127.81 , 404.89 , 596.10 , 702.28 , 761.85 , 773.84 , 774.51 , 765.03 , 748.77 , 640.38 , 585.75 , 215.34 , 0.31 , -   , -   , -   , -   , -   
11, -   , -   , -   , -   , -   , 4.17 , 177.51 , 383.34 , 516.88 , 634.27 , 665.31 , 663.08 , 673.32 , 649.82 , 589.60 , 509.52 , 447.28 , 235.42 , 7.45 , -   , -   , -   , -   , -   
12, -   , -   , -   , -   , -   , 0.16 , 148.00 , 373.78 , 503.12 , 616.56 , 687.82 , 666.60 , 662.72 , 613.24 , 580.02 , 564.57 , 477.37 , 361.95 , 42.40 , -   , -   , -   , -   , -   
