date,hour,price,zamg,volume
01/01/2025,1,96.0,189.0,42.0
01/01/2025,2,95.1,189.1,38.0
01/01/2025,3,95.3,189.2,35.0
01/01/2025,4,94.7,189.2,34.0
01/01/2025,5,92.8,204.0,34.0
01/01/2025,6,96.0,344.9,26.0
01/01/2025,7,92.3,344.9,50.0
01/01/2025,8,81.3,344.9,45.0
01/01/2025,9,76.3,344.9,50.0
01/01/2025,10,45.0,202.4,60.0
01/01/2025,11,34.5,203.2,60.0
01/01/2025,12,34.5,202.8,63.0
01/01/2025,13,34.5,202.2,69.0
01/01/2025,14,34.5,202.4,66.0
01/01/2025,15,34.5,202.9,59.0
01/01/2025,16,75.1,230.3,55.0
01/01/2025,17,76.3,253.7,56.0
01/01/2025,18,287.5,344.9,50.0
01/01/2025,19,291.4,344.9,51.0
01/01/2025,20,292.2,344.9,51.0
01/01/2025,21,101.3,344.9,0.0
01/01/2025,22,98.7,250.0,0.0
01/01/2025,23,97.0,198.9,20.8
01/01/2025,24,96.0,198.8,25.0
02/01/2025,1,96.0,189.0,21.5
02/01/2025,2,96.0,189.1,21.5
02/01/2025,3,96.0,189.1,25.6
02/01/2025,4,96.0,189.2,25.6
02/01/2025,5,91.8,204.0,38.7
02/01/2025,6,288.9,344.9,13.2
02/01/2025,7,121.0,344.9,42.0
02/01/2025,8,69.0,344.9,76.0
02/01/2025,9,69.0,344.9,85.0
02/01/2025,10,49.6,344.9,77.0
02/01/2025,11,49.4,203.8,89.0
02/01/2025,12,49.3,203.6,99.0
02/01/2025,13,49.1,203.2,103.0
02/01/2025,14,49.2,203.4,100.0
02/01/2025,15,49.6,203.9,99.0
02/01/2025,16,86.0,232.9,100.0
02/01/2025,17,86.0,253.7,104.0
02/01/2025,18,121.0,344.9,50.0
02/01/2025,19,344.9,344.9,23.6
02/01/2025,20,344.9,344.9,3.6
02/01/2025,21,295.9,344.9,0.0
02/01/2025,22,249.1,250.0,0.0
02/01/2025,23,99.9,198.9,12.9
02/01/2025,24,96.0,198.8,19.4
03/01/2025,1,115.4,162.4,33.1
03/01/2025,2,116.0,162.4,32.9
03/01/2025,3,115.7,162.4,36.9
03/01/2025,4,106.0,162.4,36.9
03/01/2025,5,106.0,194.5,41.9
03/01/2025,6,116.0,344.9,65.0
03/01/2025,7,116.0,344.9,100.0
03/01/2025,8,106.0,344.9,130.0
03/01/2025,9,69.0,126.0,160.0
03/01/2025,10,68.9,171.0,165.0
03/01/2025,11,55.1,131.0,159.8
03/01/2025,12,55.1,121.0,159.9
03/01/2025,13,55.1,131.0,159.8
03/01/2025,14,55.1,131.0,159.8
03/01/2025,15,55.1,131.0,159.7
03/01/2025,16,55.1,139.0,159.7
03/01/2025,17,86.0,131.0,170.0
03/01/2025,18,121.0,131.0,85.0
03/01/2025,19,344.9,344.9,38.6
03/01/2025,20,344.9,344.9,23.6
03/01/2025,21,344.9,344.9,3.6
03/01/2025,22,244.4,244.4,18.6
03/01/2025,23,131.0,183.3,25.0
03/01/2025,24,120.0,185.0,25.6
04/01/2025,1,97.9,166.0,75.0
04/01/2025,2,99.4,166.0,55.0
04/01/2025,3,95.1,166.0,57.0
04/01/2025,4,97.7,197.5,58.0
04/01/2025,5,101.0,217.0,65.0
04/01/2025,6,101.0,344.9,43.1
04/01/2025,7,97.2,344.9,73.1
04/01/2025,8,91.0,344.9,103.1
04/01/2025,9,86.0,121.0,128.1
04/01/2025,10,86.0,150.0,123.1
04/01/2025,11,48.9,150.0,173.0
04/01/2025,12,48.9,150.0,172.0
04/01/2025,13,45.1,121.0,170.0
04/01/2025,14,45.1,121.0,164.0
04/01/2025,15,45.0,121.0,154.0
04/01/2025,16,45.1,235.0,153.0
04/01/2025,17,45.1,255.0,170.0
04/01/2025,18,111.0,344.9,50.0
04/01/2025,19,344.9,344.9,13.8
04/01/2025,20,344.9,344.9,13.8
04/01/2025,21,344.9,344.9,0.0
04/01/2025,22,248.6,250.0,0.0
04/01/2025,23,111.0,209.5,15.0
04/01/2025,24,101.0,209.5,45.0
05/01/2025,1,101.0,166.0,65.0
05/01/2025,2,101.0,166.0,63.0
05/01/2025,3,101.0,166.0,41.0
05/01/2025,4,97.7,197.5,55.0
05/01/2025,5,95.6,217.0,62.0
05/01/2025,6,101.0,344.9,53.1
05/01/2025,7,101.0,344.9,33.1
05/01/2025,8,91.0,344.9,83.1
05/01/2025,9,86.0,121.0,123.1
05/01/2025,10,86.0,121.0,128.1
05/01/2025,11,45.1,121.0,160.0
05/01/2025,12,45.1,121.0,142.0
05/01/2025,13,45.1,121.0,137.0
05/01/2025,14,45.1,121.0,123.0
05/01/2025,15,45.1,205.0,117.0
05/01/2025,16,45.1,235.0,116.0
05/01/2025,17,86.0,255.0,160.0
05/01/2025,18,111.0,344.9,60.0
05/01/2025,19,344.9,344.9,3.8
05/01/2025,20,344.9,344.9,3.8
05/01/2025,21,344.9,344.9,0.0
05/01/2025,22,248.4,250.0,0.0
05/01/2025,23,121.0,209.5,5.0
05/01/2025,24,103.1,209.5,39.0
06/01/2025,1,101.0,166.0,45.0
06/01/2025,2,97.9,166.0,35.0
06/01/2025,3,100.0,166.0,25.0
06/01/2025,4,98.5,197.5,25.0
06/01/2025,5,97.9,217.0,35.0
06/01/2025,6,121.0,344.9,40.0
06/01/2025,7,101.0,344.9,70.0
06/01/2025,8,121.0,344.9,70.0
06/01/2025,9,111.0,121.0,85.0
06/01/2025,10,101.0,166.0,80.5
06/01/2025,11,55.1,101.0,175.5
06/01/2025,12,55.1,91.0,175.5
06/01/2025,13,55.1,91.0,175.5
06/01/2025,14,55.1,91.0,175.5
06/01/2025,15,55.1,91.0,175.5
06/01/2025,16,86.0,91.0,160.5
06/01/2025,17,86.0,252.4,170.5
06/01/2025,18,111.0,111.0,63.6
06/01/2025,19,344.9,344.9,23.6
06/01/2025,20,344.9,344.9,3.6
06/01/2025,21,344.9,344.9,0.0
06/01/2025,22,248.7,250.0,0.0
06/01/2025,23,111.0,209.5,30.0
06/01/2025,24,102.9,209.5,40.0
07/01/2025,1,91.0,180.5,30.0
07/01/2025,2,91.0,180.5,32.9
07/01/2025,3,91.0,180.5,32.7
07/01/2025,4,91.0,180.5,32.7
07/01/2025,5,91.0,204.5,37.9
07/01/2025,6,121.0,280.0,50.0
07/01/2025,7,101.0,280.0,70.0
07/01/2025,8,71.0,280.0,135.0
07/01/2025,9,71.0,280.0,130.0
07/01/2025,10,68.9,205.0,165.0
07/01/2025,11,55.1,199.0,164.3
07/01/2025,12,55.1,155.0,160.5
07/01/2025,13,55.1,155.0,160.5
07/01/2025,14,55.1,155.0,160.5
07/01/2025,15,55.1,155.0,165.0
07/01/2025,16,55.1,237.5,175.0
07/01/2025,17,55.1,251.4,180.0
07/01/2025,18,91.0,344.9,80.0
07/01/2025,19,344.9,344.9,35.0
07/01/2025,20,344.9,344.9,15.0
07/01/2025,21,259.7,344.9,0.0
07/01/2025,22,222.6,250.0,0.0
07/01/2025,23,97.0,192.5,0.0
07/01/2025,24,93.4,192.5,30.0
08/01/2025,1,93.7,177.5,30.0
08/01/2025,2,93.1,177.5,32.4
08/01/2025,3,92.4,177.5,36.7
08/01/2025,4,93.3,177.5,36.7
08/01/2025,5,92.6,204.5,41.9
