date,hour,zamg,price,volume
01/07/2024,1,119.44,119.44,157.3
01/07/2024,2,119.41,119.41,155.5
01/07/2024,3,119.4,119.4,155.7
01/07/2024,4,119.49,119.49,155.7
01/07/2024,5,119.8,119.8,155.7
01/07/2024,6,240.02,240.02,162.4
01/07/2024,7,264.95,264.95,164
01/07/2024,8,271.88,271.88,161
01/07/2024,9,297.1,297.1,158
01/07/2024,10,255.06,255.06,154
01/07/2024,11,164.93,164.93,157
01/07/2024,12,164.93,164.93,163
01/07/2024,13,164.92,164.92,173
01/07/2024,14,164.93,164.93,170
01/07/2024,15,164.95,164.95,169
01/07/2024,16,164.95,164.95,170
01/07/2024,17,175,175,140
01/07/2024,18,301.38,301.38,74
01/07/2024,19,300.55,300.55,25
01/07/2024,20,255.09,255.09,15
01/07/2024,21,255.06,255.06,14
01/07/2024,22,164.99,164.99,14
01/07/2024,23,119.25,119.25,44
01/07/2024,24,119.13,119.13,84
02/07/2024,1,128.86,128.86,158.4
02/07/2024,2,128.86,128.86,160
02/07/2024,3,131.06,131.06,160
02/07/2024,4,131.06,131.06,160
02/07/2024,5,131.06,131.06,160
02/07/2024,6,240.09,240.09,159.2
02/07/2024,7,272.41,272.41,155
02/07/2024,8,305.28,305.28,161
02/07/2024,9,307.16,307.16,158
02/07/2024,10,240.09,240.09,155
02/07/2024,11,140.01,140.01,158
02/07/2024,12,140.01,140.01,160
02/07/2024,13,140.01,140.01,164
02/07/2024,14,135,135,162
02/07/2024,15,140.02,140.02,162
02/07/2024,16,140.05,140.05,165
02/07/2024,17,205.43,205.43,130
02/07/2024,18,271.65,271.65,63
02/07/2024,19,310.2,310.2,13
02/07/2024,20,308.7,308.7,13
02/07/2024,21,255.09,255.09,13
02/07/2024,22,150.02,150.02,13
02/07/2024,23,127.92,127.92,48
02/07/2024,24,127.13,127.13,98
03/07/2024,1,115.92,115.92,155
03/07/2024,2,115.91,115.91,191
03/07/2024,3,115.92,115.92,206
03/07/2024,4,115.92,115.92,239
03/07/2024,5,115.92,115.92,242
03/07/2024,6,140.06,140.06,233
03/07/2024,7,240.04,240.04,278
03/07/2024,8,240.03,240.03,304
03/07/2024,9,278.11,278.11,256
03/07/2024,10,240.02,240.02,255
03/07/2024,11,140.09,140.09,245
03/07/2024,12,140.09,140.09,224
03/07/2024,13,140.08,140.08,224
03/07/2024,14,140.1,140.1,224
03/07/2024,15,140.08,140.08,221
03/07/2024,16,146,146,222
03/07/2024,17,164.93,164.93,201
03/07/2024,18,279.92,279.92,227
03/07/2024,19,297.09,297.09,185
03/07/2024,20,255.09,255.09,95
03/07/2024,21,255.06,255.06,77
03/07/2024,22,150.08,150.08,132
03/07/2024,23,125.78,125.78,125
03/07/2024,24,120.65,120.65,134
04/07/2024,1,100.04,100.04,198.6
04/07/2024,2,100.03,100.03,240
04/07/2024,3,100.05,100.05,242
04/07/2024,4,100.07,100.07,239
04/07/2024,5,114.91,114.91,239
04/07/2024,6,150.05,150.05,205
04/07/2024,7,240.03,240.03,125
04/07/2024,8,240.03,240.03,126
04/07/2024,9,274.46,274.46,121
04/07/2024,10,164.91,164.91,122
04/07/2024,11,150.02,150.02,124
04/07/2024,12,150.01,150.01,128
04/07/2024,13,150.09,150.09,134
04/07/2024,14,163.14,163.14,135
04/07/2024,15,164.9,164.9,137
04/07/2024,16,164.93,164.93,138
04/07/2024,17,164.96,164.96,145
04/07/2024,18,279.94,279.94,147
04/07/2024,19,297.09,297.09,82.3
04/07/2024,20,255.1,255.1,53
04/07/2024,21,255.06,255.06,50
04/07/2024,22,150.03,150.03,95
04/07/2024,23,114.93,114.93,90
04/07/2024,24,100.09,100.09,122
05/07/2024,1,99.91,99.91,164
05/07/2024,2,99.91,99.91,164
05/07/2024,3,99.91,99.91,164
05/07/2024,4,99.91,99.91,164
05/07/2024,5,99.95,99.95,164
05/07/2024,6,103.8,103.8,164
05/07/2024,7,240.04,240.04,140
05/07/2024,8,240.03,240.03,244
05/07/2024,9,275.01,275.01,260
05/07/2024,10,149.94,149.94,267
05/07/2024,11,140.1,140.1,267
05/07/2024,12,140.1,140.1,237
05/07/2024,13,145.89,145.89,247
05/07/2024,14,146.41,146.41,248
05/07/2024,15,149.92,149.92,251
05/07/2024,16,149.94,149.94,255
05/07/2024,17,149.95,149.95,259
05/07/2024,18,275.09,275.09,353
05/07/2024,19,297.09,297.09,244.1
05/07/2024,20,283.2,283.2,80
05/07/2024,21,255.06,255.06,165
05/07/2024,22,149.91,149.91,228.8
05/07/2024,23,99.88,99.88,128
05/07/2024,24,99.88,99.88,128
06/07/2024,1,75.06,75.06,203.6
06/07/2024,2,75.06,75.06,235
06/07/2024,3,75.05,75.05,240
06/07/2024,4,75.05,75.05,239
06/07/2024,5,75.07,75.07,239
06/07/2024,6,75.1,75.1,235
06/07/2024,7,98.99,98.99,129
06/07/2024,8,98.98,98.98,128
06/07/2024,9,99.98,99.98,129
06/07/2024,10,103.6,103.6,132
06/07/2024,11,125,125,137
06/07/2024,12,125,125,142
06/07/2024,13,98.99,98.99,141
06/07/2024,14,98.99,98.99,136
06/07/2024,15,98.99,98.99,136
06/07/2024,16,99,99,140
06/07/2024,17,103.6,99.01,142
06/07/2024,18,311.14,311.14,84
06/07/2024,19,311.4,311.4,82.3
06/07/2024,20,311.4,311.4,54
06/07/2024,21,194.56,194.56,54
06/07/2024,22,150.02,150.02,64
06/07/2024,23,75.09,75.09,74
06/07/2024,24,75.04,75.04,115
07/07/2024,1,75.06,75.06,130
07/07/2024,2,75.05,75.05,150
07/07/2024,3,75.04,75.04,165
07/07/2024,4,75.05,75.05,165
07/07/2024,5,75.05,75.05,230
07/07/2024,6,75.06,75.06,201
07/07/2024,7,100.9,100.9,131
07/07/2024,8,105.25,105.25,137
07/07/2024,9,104.46,104.46,185
07/07/2024,10,110.22,110.22,181
07/07/2024,11,108.04,108.04,183
07/07/2024,12,110.53,110.53,181
07/07/2024,13,107.11,107.11,189
07/07/2024,14,107.42,107.42,179
07/07/2024,15,107.11,107.11,163
07/07/2024,16,110.84,110.84,155
07/07/2024,17,120.02,120.02,145
07/07/2024,18,144.61,144.61,158
07/07/2024,19,311.41,311.41,140
07/07/2024,20,311.41,311.41,112
07/07/2024,21,187.39,187.39,77
07/07/2024,22,110.84,110.84,97
07/07/2024,23,100.08,100.08,45
07/07/2024,24,75.04,75.04,110
08/07/2024,1,99.07,99.07,159
08/07/2024,2,99.06,99.06,159
08/07/2024,3,99.05,99.05,159
08/07/2024,4,99.07,99.07,159
08/07/2024,5,99.99,99.99,159
08/07/2024,6,100.02,100.02,159
08/07/2024,7,240.06,240.06,137.3
08/07/2024,8,240.04,240.04,150
08/07/2024,9,275,275,147
08/07/2024,10,149.94,149.94,143
08/07/2024,11,200.94,147.5,139
08/07/2024,12,147,147,137
08/07/2024,13,150.03,150.03,135
08/07/2024,14,149.92,149.92,134
08/07/2024,15,149.93,149.93,138
08/07/2024,16,149.97,149.97,140
08/07/2024,17,225.09,225.09,133
08/07/2024,18,275.08,275.08,125
08/07/2024,19,297.09,297.09,92
08/07/2024,20,281.4,281.4,47
08/07/2024,21,255.07,255.07,15
08/07/2024,22,200.96,200.96,25
08/07/2024,23,106.18,106.18,75
08/07/2024,24,99.07,99.07,120
09/07/2024,1,105.02,100.74,139
09/07/2024,2,105.02,99.42,144
09/07/2024,3,105.03,99.34,144
